GLTC Race 2 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,82,Eric Kutil,GLTC - FWD,1:41.335,5,9,,25
2,484,Matan Rosenberg,GLTC - RWD,1:43.165,3,9,15.478,21
3,184,Eric Jensen,GLTC - RWD,1:42.991,4,9,0.792,18
4,330,Eric Magnussen,GLTC - RWD,1:43.119,4,9,1.59,16
5,49,Nicholas Barbato,GLTC - RWD,1:43.376,4,9,1.36,15
6,83,Carlos Mendez,GLTC - RWD,1:43.952,7,9,5.385,14
7,1,Gary Wimble,GLTC - RWD,1:43.546,7,9,0.681,13
8,33,Justin Lee,GLTC - RWD,1:43.751,4,9,8.63,12
9,129,James Cathers,GLTC - RWD,1:43.994,5,9,2.217,11
10,440,Daniel Giraldo,GLTC - RWD,1:45.596,4,9,8.326,10
11,28,Peter Zhang,GLTC - RWD,1:43.501,3,9,0.118,9
12,84,Thomas Lathrop,GLTC - RWD,1:45.426,8,9,7.17,8
13,79,Raul Iriarte,GLTC - RWD,1:46.421,7,9,0.758,7
14,610,Benjamin Swanson,GLTC - AWD,1:46.167,6,9,2.61,6
15,369,Zachary Mortimer,GLTC - RWD,1:45.695,7,9,0.85,5
16,159,Joshua Rubenstein,GLTC - RWD,1:45.590,6,9,1.611,4
17,17,Tony Marchev,GLTC - RWD,1:46.704,3,9,0.697,3
18,137,Ian Balestra,GLTC - FWD,1:45.816,6,9,0.812,2
19,200,Ronald Till,GLTC - RWD,1:46.382,4,9,3.495,1
20,9,Luke Wilwert,GLTC - FWD,1:46.987,3,9,2.419,0
21,27,Robert Rosa,GLTC - RWD,1:47.627,3,9,4.952,0
22,257,Andrew Nabb,GLTC - FWD,1:48.442,7,9,5.548,0
23,89,Tom Panzarella,GLTC - FWD,1:47.746,9,9,1.205,0
24,131,Lisa Keyes,GLTC - FWD,1:47.958,5,8,1 Lap,0
25,193,Jon Braun,GLTC - FWD,1:54.920,2,8,45.962,0
26,222,Kyle Hale,GLTC - RWD,1:43.056,4,5,3 Laps,0
27,71,Joel Morrison,GLTC - RWD,1:45.142,4,4,1 Lap,0
28,23,Brian Santiago,GLTC - FWD,1:52.462,3,3,1 Lap,0
DQ,57,Christian Aranha,GLTC - RWD,1:44.135,3,8,,0
"Penalty, Car 57: Incident Responsibility - Disqualified",,,,,,,,
