TrackBattle Practice 2 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,6,Michael Aumick,STREET MOD - AWD,1:32.797,IMPREZA
2,14,Kal Fortner,STREET MOD - RWD,1:33.471,AMG GT S
3,89,Brandon Hodge,TRACK MOD - RWD,1:33.833,GR SUPRA
4,22,Team VitourP1.com,UNLIMITED - RWD,1:34.006,RX-8
5,57,Mike Dusold,UNLIMITED - RWD,1:34.086,CAMARO
6,121,Ryan Mathews,STREET MOD - RWD,1:34.241,CORVETTE
7,314,Michael Puglisi,TRACK MOD - AWD,1:34.306,LANCER
8,84,Ido Waksman,STREET GT - RWD,1:34.382,CORVETTE
9,299,Colton Drescosky,TRACK MOD - RWD,1:34.487,VIPER
10,389,Koby Shield,TRACK MOD - RWD,1:34.589,CORVETTE
11,29,Kyle Mckiou,STREET MOD - RWD,1:34.704,GR SUPRA
12,250,Brownfield Andrew,STREET MOD - RWD,1:34.851,GR SUPRA
13,34,Andy Voelkel,STREET GT - RWD,1:35.045,CORVETTE
14,606,Allen Patten,STREET MOD - RWD,1:35.213,GR SUPRA
15,174,David Calzada,UNLIMITED - RWD,1:35.644,
16,297,Brian Van Orsdol,STREET MOD - RWD,1:35.748,GR SUPRA
17,364,Nicholas Hendrix,STREET GT - RWD,1:35.838,CORVETTE
18,777,Joshua Halka,STREET - AWD,1:36.332,IMPREZA
19,104,Ben Lin,STREET - AWD,1:36.538,
20,187,Keenan Prusank,STREET GT - RWD,1:36.810,CAMARO
21,555,Joe Mielke,STREET - AWD,1:37.058,WRX STI
22,98,Steven Stewart,TRACK MOD - AWD,1:37.455,IMPREZA
23,822,Team P1.tires,STREET GT - RWD,1:38.073,Z06
24,404,David Bamforth,TRACK MOD - RWD,1:38.077,CAYMAN
25,727,Mario Mirone,CLUB TR - FWD,1:38.833,CIVIC
26,41,James Houghton,CLUB TR - FWD,1:39.080,TSX
27,326,Stan Fayngold,CLUB TR - RWD,1:39.468,86
28,310,Mike Coons,STREET - AWD,1:39.608,IMPREZA
29,193,Brad Moore,STREET - RWD,1:39.648,718 CAYMAN
30,511,Peter Granberg,CLUB TR - RWD,1:39.671,BRZ
31,625,Sam Bosnian,STREET - RWD,1:39.755,350Z
32,595,Dustin Williams,STREET - FWD,1:39.821,CIVIC TYPE R
33,71,Kevin Horn,STREET GT - RWD,1:40.153,CAMARO
34,114,Bronson Mcnemar,TRACK MOD - RWD,1:40.331,MX-5 MIATA
35,470,Eddy Segal,STREET - FWD,1:40.638,CIVIC
36,654,Nick Aegerter,STREET - AWD,1:40.674,FOCUS
37,54,Zachary Moore,STREET MOD - RWD,1:40.731,CORVETTE
38,13,Jerami Bailey,CLUB TR - RWD,1:41.182,FR-S
39,571,John Laughlin,STREET GT - RWD,1:41.205,RC
40,733,Edvinas Cinga,UNLIMITED - RWD,1:41.383,M3
41,33,Chris Boersma,TRACK MOD - FWD,1:41.477,CIVIC
42,39,Gregory Formosa,STREET - AWD,1:41.583,LANCER
43,194,Mike Callaway,STREET - AWD,1:42.241,IMPREZA
44,61,Fez Babar,CLUB TR - RWD,1:42.420,GR86
45,50,Azmath Mohammed,CLUB TR - RWD,1:42.433,MR2
46,961,John Veloso,STREET GT - RWD,1:42.503,GR SUPRA
47,80,Chris Nahill,CLUB TR - RWD,1:42.615,BRZ
48,289,Michael Fitzpatrick,TRACK MOD - RWD,1:42.711,CORVETTE
49,11,Graham Gaylord,CLUB TR - AWD,1:42.875,COROLLA
50,123,Whiskey Danger Racing,CLUB TR - RWD,1:42.879,S2000
