"TrackBattle Qualifying 1 Results (all groups, by class)",,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
89,370,Sam Deuling,SUNDAE CUP - FWD,1:51.932,FIT
90,130,James Smith,SUNDAE CUP - FWD,1:51.966,FIT
91,915,Dylan Rodgers,CLUB TR - RWD,1:52.183,MX-5 MIATA
92,707,Piotr Boczek,SUNDAE CUP - FWD,1:52.307,FIT
93,88,Collin Ryser,SUNDAE CUP - FWD,1:52.336,COOPER
94,411,Chris Rice,SUNDAE CUP - FWD,1:52.359,FIT
95,156,Mike Janssen,SUNDAE CUP - FWD,1:52.676,COOPER
96,134,David Best,SUNDAE CUP - FWD,1:52.738,FIT
97,181,Joseph King,SUNDAE CUP - FWD,1:54.200,PROTEGE
98,122,Jason Davidson,SUNDAE CUP - FWD,1:55.984,FIT
99,216,Nickolas Berg,SUNDAE CUP - FWD,1:56.093,CIVIC
100,373,Benjamin Smolen,CLUB TR - FWD,1:56.714,JETTA
101,357,Team CSA4,SUNDAE CUP - FWD,1:56.808,FIT
102,823,Erin Weaver,CLUB TR - RWD,1:56.914,MX-5 MIATA
103,654,Nick Aegerter,STREET - AWD,1:58.602,FOCUS
104,717,Scott Hollingsworth,SUNDAE CUP - FWD,1:59.034,FIT
105,322,Justin Okamoto,CLUB TR - RWD,1:59.437,318I
106,729,Chris Murray,SUNDAE CUP - RWD,,MX-5 MIATA
107,314,Michael Puglisi,TRACK MOD - AWD,,LANCER
