Heat 7 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,460,Grant Walker,TRACK MOD - RWD,1:28.638,Miata
2,30,Steve Luca,UNLIMITED - RWD,1:28.707,Mustang
3,991,Jimmy Rauck,TRACK MOD - RWD,1:29.333,GT2RS
4,121,Ryan Mathews,STREET MOD - RWD,1:30.540,Corvette
5,80,Damian Dabrowski,UNLIMITED - RWD,1:31.621,350z
6,70,Dewey DeWitt,STREET MOD - AWD,1:32.650,Impreza L (Boogeyman)
7,248,Mike Kang,STREET MOD - RWD,1:33.209,Supra
8,441,Adam Ulrich,STREET MOD - RWD,1:33.357,Corvette
9,52,Nicholas Gardner,UNLIMITED - RWD,1:33.498,GT500
10,114,Bronson McNemar,TRACK MOD - RWD,1:33.637,Miata
11,197,Kendall Samuel,UNLIMITED - AWD,1:33.652,Impreza
12,7,Joshua Halka,STREET - AWD,1:33.671,Impreza WRX
13,96,Johnny Cichowski,UNLIMITED - RWD,1:33.782,Miata
14,35,Alex Westergaard,STREET MOD - RWD,1:34.682,S2000
15,61,Steven Greene,STREET GT - RWD,1:34.761,Corvette GS
16,834,Andrew Voelkel,STREET GT - RWD,1:34.797,Corvette C8
17,28,Peter Zhang,STREET MOD - AWD,1:34.923,Impreza WRX
18,63,Luca Barberis,STREET MOD - AWD,1:35.097,Lancer Evolution 9
19,155,Joseph Mielke,STREET - AWD,1:35.200,Impreza WRX STi
20,386,Jackie Ding,STREET - AWD,1:35.272,Model 3 Performance
21,333,Tony Barber,STREET - AWD,1:35.338,Model 3
22,87,Team Twitch,STREET - RWD,1:35.443,M3
23,335,Christopher Bickford,STREET GT - RWD,1:35.697,Corvette
24,65,Ben Lin,STREET - AWD,1:35.965,Evo
25,575,Clay Davidson,STREET MOD - RWD,1:36.812,Mustang
26,74,Grant Davidson,CLUB TR - FWD,1:36.853,Integra
27,76,David Ottobre,UNLIMITED - RWD,1:37.625,Mustang
28,94,Nicholas Phillips,STREET GT - RWD,1:37.648,Corvette Z06
29,4,Matt Williams,CLUB TR - RWD,1:37.686,RX7
30,39,Graham Gaylord,TRACK MOD - RWD,1:37.786,C8
31,511,Peter Granberg,STREET MOD - RWD,1:37.820,BRZ
