RUSH SR Race 2 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,8,Blair Hosie,SR,2:28.139,4,6,,25
2,7,Nico Bratz,SR,2:28.412,5,6,3.238,21
3,114,Bryce Mersberger,SR,2:27.655,2,6,7.697,18
4,25,Mark Charnogorsky,SR,2:29.698,4,6,1.796,16
5,74,Jason Oehler,SR,2:29.569,5,6,0.184,15
6,190,John Robinson,SR,2:29.077,5,6,3.363,14
7,48,Brandon Schwarz,SR,2:28.152,4,6,1.081,13
8,111,Ellis Spiezia,SR,2:29.763,2,6,0.113,12
9,121,Aryton Grim,SR,2:28.764,5,6,0.89,11
10,9,Nicholas Billingsley,SR,2:31.054,5,6,3.578,10
11,188,Matt Wilson,SR,2:30.777,4,6,0.609,9
12,144,Nate Hamilton,SR,2:29.961,4,6,0.01,8
13,51,Gage Hughes,SR,2:32.555,4,6,8.778,7
14,88,Jaylen Battely,SR,2:30.027,4,6,1.579,6
15,256,Samuel Reed,SR,2:32.457,3,6,2.325,5
16,253,Hasan Ahmed,SR,2:32.719,4,6,1.59,4
17,19,Kelsey Billingsley,SR,2:33.250,3,6,0.615,3
18,115,Ethan Hardesty,SR,2:32.431,6,6,0.679,2
19,28,Tj Hunt,SR,2:32.871,5,6,4.879,1
20,39,Michael Neff,SR,2:33.559,2,6,1.488,0
21,99,Jared Anderson,SR,2:33.856,2,6,1.443,0
22,77,Jake Sanders,SR,2:34.773,2,6,0.211,0
23,59,Larry Brady,SR,2:35.282,3,6,1.988,0
24,128,Jeff Hardesty,SR,2:34.760,4,6,1.58,0
25,60,Adam Spence,SR,2:33.629,4,6,1.556,0
26,117,Kevin Kirkwood,SR,2:34.892,3,6,1.09,0
27,107,Leah Bauer,SR,,0,6,2.223,0
28,113,Tim Burkard,SR,2:33.562,4,6,0.001,0
29,75,Tom Kersting,SR,2:35.059,3,6,0.482,0
30,20,Bill Dorrance,SR,2:36.216,4,6,24.194,0
31,22,Jeremy Boysen,SR,2:34.680,4,6,0.915,0
32,35,Jd Krull,SR,2:38.960,3,6,5.189,0
33,38,Luke Krepsky,SR,2:39.851,3,6,3.835,0
34,29,Team End Alzheimers Motorsports,SR,2:41.356,4,6,7.456,0
35,17,John Howe,SR,2:41.993,2,6,41.681,0
36,244,Robert Andrews,SR,2:43.246,2,6,1.719,0
37,56,Ryan Leach,SR,2:27.888,5,5,1 Lap,0
38,70,James French,SR,2:27.332,4,5,4:41.196,0
39,33,Ethan Alexander,SR,2:29.103,4,4,1 Lap,0
40,30,Vilas Saldanha,SR,2:33.028,2,4,28.53,0
41,34,Andy Voelkel,SR,2:28.534,2,2,2 Laps,0
42,12,Andor  Tobelem,SR,2:30.692,2,2,8.896,0
43,211,Travis Pendelton,SR,2:33.059,2,2,12.32,0
44,18,Darius Garcia,SR,,0,,2 Laps,0
DQ,227,Aj Campo,SR,2:39.346,4,6,,0
"Incident between cars 34 and 8 has been reviewed - No action, inconclusive",,,,,,,,
Penalty Car 227: Pass Under Yellow - DQ,,,,,,,,
Penalty Car 70: Incident with 56 - Warning,,,,,,,,
,,,,,,,,Official Results Posted 7/26/25 18:00
