Heat 2 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartoumy,UNLIMITED - RWD,1:25.112,Corvette
2,991,Jimmy Rauck,TRACK MOD - RWD,1:30.839,GT2RS
3,212,Shawn Krebsbach,STREET MOD - AWD,1:32.587,Evo
4,80,Damian Dabrowski,UNLIMITED - RWD,1:35.613,350z
5,155,Joseph Mielke,STREET - AWD,1:36.763,Impreza WRX STi
6,77,Alex Artayet,STREET GT - RWD,1:36.923,M3
7,35,Alex Westergaard,STREET MOD - RWD,1:36.960,S2000
8,174,David Calzada,UNLIMITED - RWD,1:37.170,Miata
9,79,Nicholas Kohrs,STREET MOD - FWD,1:37.603,Civic Si
10,87,Team Twitch,STREET - RWD,1:37.618,M3
11,623,Stan Fayngold,STREET - AWD,1:37.819,EVO X
12,63,Luca Barberis,STREET MOD - AWD,1:38.213,Lancer Evolution 9
13,441,Adam Ulrich,STREET MOD - RWD,1:38.305,Corvette
14,7,Joshua Halka,STREET - AWD,1:38.368,Impreza WRX
15,386,Jackie Ding,STREET - AWD,1:38.376,Model 3 Performance
16,19,Scott Hollingsworth,STREET MOD - RWD,1:38.576,S2000
17,128,Joshua Hanger,STREET MOD - RWD,1:38.838,RX-7
18,36,Ben Mich,STREET MOD - RWD,1:39.045,RX-7
19,55,Charles Miller,STREET - AWD,1:39.108,Evo 9
20,335,Christopher Bickford,STREET GT - RWD,1:39.161,Corvette
21,4,Matt Williams,CLUB TR - RWD,1:39.255,RX7
22,827,Vito Jin,STREET GT - RWD,1:39.356,M4
23,52,Nicholas Gardner,UNLIMITED - RWD,1:39.761,GT500
24,66,Ben Thorn,CLUB TR - FWD,1:40.001,Civic
25,340,Brian Leazenby,STREET GT - RWD,1:40.015,Mustang
26,74,Grant Davidson,STREET - FWD,1:40.033,Integra
27,10,Kyoo Lee,STREET - AWD,1:40.253,Evo
28,12,Andrew Sonnevil,TRACK MOD - RWD,1:40.324,Miata
29,511,Peter Granberg,STREET MOD - RWD,1:40.537,BRZ
30,531,Evan Weider,CLUB TR - FWD,1:40.814,Civic
31,575,Clay Davidson,STREET MOD - RWD,1:40.951,Mustang
32,109,Dana Basinski,CLUB TR - RWD,1:41.557,Brz
33,310,Mike Coons,STREET - AWD,1:41.637,Impreza WRX STI
34,70,Dewey DeWitt,STREET MOD - AWD,1:41.754,Impreza L (Boogeyman)
35,226,Jerry Liu,STREET GT - RWD,1:42.211,Supra
36,334,Jim Smitholene,CLUB TR - RWD,1:42.307,S2000
37,106,Jason Kanakry,STREET GT - RWD,1:42.348,M3
38,470,Edward Segal,STREET - FWD,1:42.500,Civic Type R
39,495,Richard Cho,STREET - RWD,1:42.744,370Z
40,437,Cory Ross,TRACK MOD - RWD,1:43.036,M3
41,321,Teagan Thostenson,STREET - AWD,1:43.095,STi
42,31,Bart Goldenbald,TRACK MOD - RWD,1:43.177,Miata
43,255,Ryan Seiler,CLUB TR - RWD,1:43.682,S2000
44,14,Kal Fortner,STREET MOD - AWD,1:44.378,S4
45,605,Ted Vartabedian,TRACK MOD - RWD,1:44.436,911 GT3 RS
46,557,Patrick Daugherty,STREET - FWD,1:44.664,CIVIC TYPE R
47,527,Jackson Jensen,CLUB TR - RWD,1:44.980,S2000
48,224,Charlie Whitney,UNLIMITED - FWD,1:45.402,Festiva
49,700,Tom Halka,STREET - AWD,1:45.452,2.5 RS
50,424,Michael Norman,STREET - AWD,1:45.458,STI Hatchback
51,514,Evan Mclaren,CLUB TR - FWD,1:45.602,Integra
52,238,Garrett Gloceri,CLUB TR - RWD,1:45.658,RX-8
53,610,Fez Babar,CLUB TR - RWD,1:45.731,FRS
54,234,Brad Riemann,STREET - AWD,1:45.836,Focus RS
55,189,Team Jakoby,CLUB TR - RWD,1:47.236,S2000
56,736,Cody Smith,STREET MOD - RWD,1:47.284,Cutlass
57,373,Ivan Onofriiciuc,STREET MOD - RWD,1:47.322,370z
58,726,Jacob Abbott,CLUB TR - AWD,1:49.219,Impreza
59,124,PhD Racing V-Lobster,STREET - FWD,1:49.376,Veloster N
60,105,Chris Smith,STREET MOD - RWD,1:51.294,135
61,167,Taylor Allen,UNLIMITED - RWD,1:52.667,Corvette Z06
62,48,Torry Skurski,STREET - RWD,1:52.973,328i
63,68,Daniel Montanez,CLUB TR - RWD,1:54.204,BRZ
64,139,Kevin Head,SUNDAE CUP - FWD,1:54.215,Fit
65,411,Hard Times Racing,SUNDAE CUP - FWD,1:54.922,Fit
66,142,Juan Johnson,CLUB TR - RWD,1:57.602,S2000
67,716,Mike Mills,SUNDAE CUP - FWD,1:58.882,Fiesta
68,600,Dalton Klein,SUNDAE CUP - FWD,1:59.340,Fit
69,47,Nicholas Lucchesi,STREET - FWD,2:01.140,Civic
70,595,Dustin Williams,SUNDAE CUP - FWD,2:04.015,Civic
71,440,Taylor Steck,STREET - RWD,2:04.914,350z
72,969,Peter Lindberg,SUNDAE CUP - FWD,2:04.982,FIT
73,270,Max Rooney,CLUB TR - FWD,,Civic Si
74,28,Peter Zhang,STREET MOD - AWD,,Impreza WRX
75,442,Logan Geyer,CLUB TR - RWD,,BRZ
