GLTC Race 1 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,330,Eric Magnussen,M3,1:38.939,5,9,,25
2,484,Matan Rosenberg,CORVETTE,1:39.154,2,9,0.756,21
3,82,Eric Kutil,CIVIC,1:39.136,5,9,0.606,18
4,3,Erik Meadows,CORVETTE,1:39.268,4,9,6.761,16
5,212,Andy Smedegard,GT86.24,1:39.823,4,9,3.437,15
6,55,Paul Darling,M3,1:39.909,5,9,2.247,14
7,90,Matt Waldbaum,S2000,1:39.722,4,9,2.129,13
8,17,Tony Marchev,S2000,1:39.900,7,9,0.326,12
9,109,Dana Basinski,BRZ,1:39.934,7,9,1.672,11
10,614,Blake Korth,CAYMAN,1:40.671,5,9,0.347,10
11,917,Lena Chin,S2000,1:40.972,8,9,2.336,9
12,80,Robert Thorne,S2000,1:40.526,9,9,1.104,8
13,85,Samuel Scott,MX-5 MIATA,1:41.127,8,9,3.167,7
14,28,Peter Zhang,FR-S,1:40.484,6,9,0.198,6
15,86,Jackie Ding,M2,1:41.301,7,9,1.34,5
16,865,Ryan Power,86,1:41.174,6,9,4.636,4
17,129,James Cathers,M3,1:41.889,7,9,0.105,3
18,184,Eric Jensen,FR-S,1:41.582,3,9,9.173,2
19,111,Jack Wischmeyer,CIVIC,1:41.937,6,9,1.707,1
20,42,Zac Lovoy,M3,1:42.007,3,9,0.848,0
21,130,James Smith,S2000,1:40.737,6,9,0.308,0
22,26,Louis Chatroop,3 SERIES,1:42.224,5,9,0.806,0
23,74,Erik Dallariva,CSX,1:42.506,8,9,0.234,0
24,83,Carlos Mendez,3 SERIES,1:41.938,4,9,0.94,0
25,71,Joel Morrison,S2000,1:42.680,7,9,0.218,0
26,43,Joe Tullo,325I,1:43.016,5,9,2.304,0
27,222,Kyle Hale,M3,1:41.569,7,9,0.361,0
28,84,Thomas Lathrop,3 SERIES,1:42.761,6,9,0.992,0
29,171,Clayton Fitzpatrick,CORVETTE,1:43.186,6,9,6.156,0
30,44,Kerry James,MX-5 MIATA,1:44.672,6,9,6.131,0
31,541,Seth Gale,INTEGRA,1:44.573,9,9,0.596,0
32,888,Dai Nguyen,BRZ,1:44.147,6,9,0.709,0
33,313,Chandler Roe,CIVIC,1:43.653,7,9,0.062,0
34,50,Azmath Mohammed,MR2,1:44.216,7,9,2.737,0
35,462,Natalie Latoz,MX-5 MIATA,1:44.108,8,9,3.838,0
36,94,Jonathan Lugod,DEL SOL,1:43.543,9,9,0.42,0
37,944,Dan Precourt,944,1:47.359,3,9,28.722,0
38,155,Michael Pagano,116I,1:42.096,3,6,3 Laps,0
39,440,Daniel Giraldo,IS,1:43.330,3,3,3 Laps,0
40,2,Aryton Grim,MX-5 MIATA,1:44.914,2,2,1 Lap,0
41,715,Salil Shukla,M3,1:46.948,1,1,1 Lap,0
"Penalty Car 715: Incident Responsibility, Minor with Car 109 - Loss of 10 finishing positions",,,,,,,,
"Penalty Car 130: Incident Responsibility, Minor with Car 185 - Loss of 5 finishing positions",,,,,,,,
,,,,,,,,"Official results posted at 20:50, 06/06/2025"
