Heat 6 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,30,Steven Luca,UNLIMITED - RWD,2:06.804,Mustang
2,150,Alexander Moss,STREET MOD - RWD,2:11.308,S2000
3,460,Grant Walker,TRACK MOD - RWD,2:12.617,Miata
4,87,Team Twitch,STREET - RWD,2:13.884,M3
5,79,Nicholas Kohrs,STREET MOD - FWD,2:14.114,Civic
6,180,Dallas Reed,UNLIMITED - RWD,2:14.455,RX-8
7,52,Nicholas Gardner,UNLIMITED - RWD,2:14.596,GT500
8,176,Jacob Hunt,STREET GT - RWD,2:14.917,Corvette Grand Sport
9,7,Joshua Halka,STREET - AWD,2:15.714,Impreza WRX
10,2,Ryan Dussex,UNLIMITED - AWD,2:16.577,Impreza
11,335,Christopher Bickford,STREET GT - RWD,2:16.792,Corvette
12,77,Alex Artayet,STREET GT - RWD,2:17.606,M3
13,63,Luca Barberis,STREET MOD - AWD,2:18.127,Lancer Evolution 9
14,65,Ben Lin,STREET - AWD,2:18.585,Evo
15,9,Not Drew Turner,CLUB TR - RWD,2:18.868,S2000
16,10,Kyoo Lee,STREET - AWD,2:19.448,Evo
17,705,Patrick Daugherty,STREET - FWD,2:19.651,Type R
18,64,Grant Mullet,STREET GT - RWD,2:20.501,Corvette
19,83,Shane Duncan,STREET - RWD,2:20.796,S2000
20,39,Graham Gaylord,TRACK MOD - RWD,2:21.212,C8
21,495,Richard Cho,STREET - RWD,2:21.631,370Z
22,920,Mary Valdez,STREET - FWD,2:21.638,Civic Type R
23,441,Adam Ulrich,STREET MOD - RWD,2:21.792,Corvette
24,189,Jakob Boedenauer,CLUB TR - RWD,2:22.385,S2000
25,808,Chong Lor,STREET - FWD,2:22.445,Type R
26,27,Ken Devriese,CLUB TR - RWD,2:23.312,S2000
27,4,Matt Williams,CLUB TR - RWD,2:23.669,RX7
28,510,Piero Pucci,STREET MOD - AWD,2:23.831,Evolution 8
29,98,Keyin Ding,STREET - FWD,2:24.218,Focus RS
30,700,Tom Halka,STREET - AWD,2:24.803,Impreza WRX
31,195,Mike Jannsen,STREET - FWD,2:25.065,Civic
32,29,Kevin Tanakhone,CLUB TR - RWD,2:25.087,S2000
33,148,Barry Ehrnschwender,STREET GT - RWD,2:25.163,Corvette Grand Sport
34,177,Michael Neat,STREET MOD - RWD,2:25.458,FR-S
35,113,David Walker,STREET - RWD,2:27.236,FRS
36,46,Nehru Cheddie,STREET - RWD,2:27.263,M3
37,203,Austin Leiphart,CLUB TR - RWD,2:27.670,Mx-5
38,141,Lisa Keyes,STREET - FWD,2:28.460,Civic Si
39,206,Dalton Klein,TRACK MOD - RWD,2:29.057,Camaro
40,602,Daniel Chun,CLUB TR - FWD,2:29.978,Civic SI
41,28,Peter Zhang,CLUB TR - RWD,2:31.319,FRS
42,221,Joseph King,TRACK MOD - FWD,2:32.779,Festiva
43,129,Matt Williams,SUNDAE CUP - FWD,2:36.457,Fit
44,395,Michael Smith,SUNDAE CUP - FWD,2:39.164,Fit
45,292,Charity Thompson,STREET MOD - RWD,2:39.340,86
46,139,Team Brap,SUNDAE CUP - FWD,2:42.763,Fit
47,142,Juan Johnson,STREET MOD - RWD,2:42.971,S2000
48,373,Ivan Onofriiciuc,STREET - RWD,2:45.188,370z
49,411,Kyle Carstens,SUNDAE CUP - FWD,2:48.031,Fit
50,255,Ryan Seiler,CLUB TR - RWD,,S2000
