RUSH Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,5,Rob Radmann,RUSH SRX - RWD,1:38.895,1,8,0.921,25
2,8,Blair Hosie,RUSH SRX - RWD,1:47.491,1,6,2 Laps,21
3,2,Michael Schneider,RUSH SRX - RWD,1:43.212,2,5,1 Lap,18
1,56,Ryan Leach,RUSH SR - RWD,1:41.390,3,8,,25
2,33,Ethan Alexander,RUSH SR - RWD,1:41.889,4,8,0.476,21
3,88,Jaylan Battley,RUSH SR - RWD,1:44.092,4,8,2.194,18
4,70,James French,RUSH SR - RWD,1:41.465,3,8,0.090,16
5,18,Darius Garcia,RUSH SR - RWD,1:43.894,3,8,2.127,15
6,34,Andy Voelkel,RUSH SR - RWD,1:41.081,4,8,3.750,14
7,74,Jason Oehler,RUSH SR - RWD,1:45.337,4,8,0.356,13
8,28,Tj Hunt,RUSH SR - RWD,1:45.823,2,8,0.220,12
9,144,Nate Hamilton,RUSH SR - RWD,1:45.732,4,8,1.492,11
10,30,Vilas Saldanha,RUSH SR - RWD,1:45.625,3,8,0.092,10
11,53,Evan Shanks,RUSH SR - RWD,1:45.929,2,8,0.372,9
12,22,Jeremy Boysen,RUSH SR - RWD,1:47.912,2,8,1.168,8
13,253,Hasan Ahmed,RUSH SR - RWD,1:42.894,3,8,0.746,7
14,12,Bret Digiacomo,RUSH SR - RWD,1:46.620,2,8,0.981,6
15,188,Matt Wilson,RUSH SR - RWD,1:44.953,2,8,0.856,5
16,51,Jeff Hughes,RUSH SR - RWD,1:47.206,3,8,1.096,4
17,227,Aj Campo,RUSH SR - RWD,1:52.118,2,8,1.017,3
18,17,John Howe,RUSH SR - RWD,1:53.531,2,8,2.334,2
19,256,Samuel Reed,RUSH SR - RWD,1:46.010,3,8,0.943,1
20,133,Grant Anderson,RUSH SR - RWD,1:50.289,2,8,3.875,0
21,199,Michael Neff,RUSH SR - RWD,1:58.068,3,8,3.968,0
22,333,Andrew Lee,RUSH SR - RWD,1:58.592,3,8,1.531,0
23,190,John Robinson,RUSH SR - RWD,1:59.603,2,2,3 Laps,0
Official Results Published - 5/10/25 13:12,,,,,,,,
