Results Overall - All Groups,,,,,
Pos,No.,Name,Class,Overall BestTm,Model/Engine
91,614,Eric Knerr,CLUB TR - RWD,1:49.377,MX-5
92,440,Taylor Steck,STREET - RWD,1:49.520,350z
93,85,Tim Beek,STREET - RWD,1:51.330,Cobalt
94,129,Matt Williams,SUNDAE CUP - FWD,1:52.615,Fit
95,729,Gregg Diehl,CLUB TR - AWD,1:52.626,Impreza
96,154,Jeff Franson,STREET MODIFIED - AWD,1:52.629,Pulsar GTIR
97,130,James Smith,SUNDAE CUP - FWD,1:52.981,Fit
98,826,Jacob Abbott,SUNDAE CUP - FWD,1:53.239,Fit
99,47,Nicholas Lucchesi,STREET - FWD,1:53.525,Civic
100,411,Anthony Novelli,SUNDAE CUP - FWD,1:53.569,Fit
101,771,Aric Streeter,SUNDAE CUP - FWD,1:54.278,Cooper
102,716,Mike Mills,SUNDAE CUP - FWD,1:54.791,Fiesta
103,139,Kevin Head,SUNDAE CUP - FWD,1:54.816,Fit
104,926,James Morgan,SUNDAE CUP - FWD,1:54.958,Fit
105,412,Joe Sabol,STREET - RWD,1:55.469,TSX
106,909,Becky Burton,SUNDAE CUP - FWD,1:56.591,2
107,969,Pete Lindberg,SUNDAE CUP - FWD,1:57.138,
108,800,The Bens,SUNDAE CUP - FWD,1:57.882,Fit
109,433,Bob Miller,SUNDAE CUP - FWD,1:58.081,Rio
110,801,Daniel Malloy,SUNDAE CUP - FWD,1:58.288,2
111,121,Joseph King,SUNDAE CUP - FWD,1:58.388,Protege
112,42,Brandt Vircks,CLUB TR - FWD,1:58.723,Veloster Turbo R Spec
