Heat 6 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,1,Solo Motorsports,TRACK MODIFIED - AWD,2:05.693,Evo
2,122,Brad/Matt Yonkers/DeReus,STREET MODIFIED - RWD,2:05.759,M3
3,283,Jess Moeding,TRACK MODIFIED - RWD,2:07.498,Corvette
4,86,Jackie Ding,STREET - RWD,2:09.279,S2000
5,61,Anthony Cuthbert,STREET - FWD,2:10.453,Type R
6,70,Eric DeWitt,STREET - AWD,2:11.588,STI
7,5,Luke McGrew,STREET - AWD,2:12.628,Sti
8,88,Mark Brylo,STREET MODIFIED - AWD,2:12.922,Lancer Evo
9,23,Shawn Krebsbach,STREET MODIFIED - AWD,2:14.266,Lancer evolution 9
10,17,Robert Dice,UNLIMITED - RWD,2:14.382,240sx
11,55,Charles Miller,STREET - AWD,2:16.326,Evo IX
12,13,William Au-Yeung,UNLIMITED - FWD,2:17.504,RSX
13,169,Angel Roman,STREET MODIFIED - AWD,2:20.136,WRX STI
14,42,Blake cameron,STREET - AWD,2:22.634,Sti
15,46,Nikolai Delov,STREET MODIFIED - RWD,2:25.358,M3-C
16,52,Billy Ball,TRACK MODIFIED - RWD,2:28.439,Evo RS
17,621,Troy Mass,STREET - RWD,2:29.704,BRZ
18,129,Matt Williams,SPEC FIT / ECO CUP - FWD,2:30.398,Fit
19,27,Noah Lucads,STREET MODIFIED - FWD,2:30.646,Civic
20,317,Nishanth Samala,STREET - RWD,2:32.692,BRZ
21,74,Chris Neuman,STREET - RWD,2:34.032,M3
22,33,Brayden Connolly,STREET MODIFIED - RWD,2:34.928,X1/9
23,34,austin hertel,STREET - RWD,2:35.393,370z
24,969,Shane Mitchell,STREET MODIFIED - AWD,2:35.838,Evolution
25,151,David McCallister,TRACK MODIFIED - AWD,2:42.055,Evo IX
26,111,Julian Mancuso,STREET - RWD,2:51.661,FRS
27,154,Jordan Nichols,STREET - RWD,3:45.786,Boxster
