GLGT Race 2 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,41,James Houghton,CIVIC TYPE R,56.402,4,15,,25
2,24,Aj Hartman,MUSTANG,56.172,4,15,0.182,21
3,40,Chris Delucia,3 SERIES,57.736,11,15,19.953,18
4,165,Eric Thompson,CELICA,58.450,4,15,9.833,16
5,62,Jeffrey Zissulis,3 SERIES,1:00.319,13,14,1 Lap,15
6,61,Alex Peitz,CORVETTE,1:00.989,3,14,10.789,14
7,404,David Bamforth,CAYMAN,58.422,4,6,8 Laps,13
8,77,Hans Horpedahl,S2000,58.714,4,5,1 Lap,12
,,,,,,,,Official results 8/16 11:57
