Q4 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,6,RICHARD BOAKE,UNLIMITED - AWD,1:03.172,SUBARU
2,41,James Houghton,UNLIMITED - FWD,1:04.061,Acura
3,199,Andy Smedegard,UNLIMITED - AWD,1:05.423,Mitsubishi
4,921,Aaron Byram,UNLIMITED - AWD,1:09.172,Subaru
5,33,Eric Fleming,TRACK MODIFIED - RWD,1:09.304,Chevrolet
6,22,Jason Harding,TRACK MODIFIED - RWD,1:09.552,Chevrolet
7,66,Chris Boersma,TRACK MODIFIED - FWD,1:09.846,Honda
8,13,Andrew Stittle,TRACK MODIFIED - FWD,1:10.615,Suzuki
9,0,Michael Puglisi,TRACK MODIFIED - AWD,1:11.026,Mitsubishi
10,30,David Calzada,UNLIMITED - RWD,1:11.120,Mazda
11,14,Ronnie Soliman,TRACK MODIFIED - AWD,1:11.508,Mitsubishi
12,107,Eric Dewitt,STREET MODIFIED - AWD,1:11.690,Subaru
13,45,Dan Kroll,UNLIMITED - AWD,1:12.042,Subaru
14,24,Tyler Pappas,UNLIMITED - RWD,1:12.607,BMW
15,50,Michael Aumick,STREET MODIFIED - AWD,1:12.814,Subaru
16,460,Grant Walker,UNLIMITED - RWD,1:12.916,Mazda
17,70,Bob Meyer,UNLIMITED - RWD,1:13.038,Cheverolet
18,412,Sally McNulty,STREET MODIFIED - AWD,1:13.196,Subaru
19,1,Jeremy Boysen,STREET MODIFIED - RWD,1:13.572,Porsche
20,100,Shilun Wu,STREET MODIFIED - RWD,1:13.627,Ford
21,777,Joshua and Thomas Halka,STREET - AWD,1:14.099,Subaru
22,52,James Houghton,STREET - FWD,1:14.168,Honda
23,34,Austin Hertel,STREET - RWD,1:14.333,Nissan
24,62,Brian Blaine,TRACK MODIFIED - RWD,1:14.427,Mazda
25,2,Jonathan Finstrom,UNLIMITED - AWD,1:14.448,Subaru
26,200,Andy Smedegard,STREET - RWD,1:14.474,Honda
27,15,Mongha Molitor,TRACK MODIFIED - AWD,1:14.641,Subaru
28,759,Darby Barber,STREET MODIFIED - RWD,1:14.892,Mazda
29,150,Anthony Leclerc,STREET - RWD,1:16.533,Alfa Romeo
30,666,Chris Kennealy,STREET - AWD,1:17.402,Ford
31,625,Sam Bosnian,STREET - RWD,1:17.699,Nissan
32,7,Armin von Czarnowski,STREET - RWD,1:17.713,mazda
33,555,Joe Mielke,STREET - AWD,1:17.773,Subaru
34,87,Johnny Rose,STREET - RWD,1:18.194,Mazda
35,101,Jason Owens,STREET - FWD,1:18.979,Honda
36,55,Matt Christie,STREET - RWD,1:20.158,Ford
37,135,Chris Smith,STREET - RWD,1:21.825,BMW
38,4,Ceso Bagay,STREET MODIFIED - AWD,1:24.663,Mitsubishi
39,32,Simone Eid,STREET - RWD,1:25.130,Mazda
40,440,Taylor Steck,STREET - RWD,1:25.373,Nissan
41,69,Zack Hinsperger,STREET MODIFIED - RWD,,bmw
42,42,James Houghton,UNLIMITED - AWD,,Mitsubishi
43,88,Fiona Lou,STREET MODIFIED - RWD,,Honda
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,,,,,
