GLTC Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,41,James Houghton,GLTC - FWD,1:42.825,7,7,,25
2,7,Luke McGrew,GLTC - RWD,1:41.637,7,7,0.204,21
3,45,Paul Curley,GLTC - RWD,1:43.140,6,7,3.454,18
4,3,Jeremy Swenson,GLTC - RWD,1:43.294,2,7,3.179,16
5,98,Andrew Rains,GLTC - RWD,1:44.097,4,7,0.517,15
6,11,Jon Kozlow,GLTC - RWD,1:44.716,7,7,6.554,14
7,484,Matan Rosenberg,GLTC - RWD,1:44.129,6,7,1.100,13
8,14,Carlos Mendez,GLTC - RWD,1:45.237,7,7,1.094,12
9,17,Tony Marchev,GLTC - RWD,1:44.133,4,7,0.534,11
10,917,Lena Chin,GLTC - RWD,1:44.718,4,7,1.328,10
11,159,Joshua Rubenstein,GLTC - RWD,1:45.651,6,7,8.236,9
12,99,Ronnie Vajdak,GLTC - FWD,1:44.669,3,7,2.659,8
13,32,Eddie Nakato,GLTC - RWD,1:45.369,6,7,1.901,7
14,213,Scott Robertson,GLTC - RWD,1:46.343,6,7,1.400,6
15,18,Colton Wade,GLTC - RWD,1:46.237,7,7,5.045,5
16,33,Justin Lee,GLTC - RWD,1:45.966,7,7,1.470,4
17,184,Eric Jensen,GLTC - RWD,1:48.506,5,7,4.924,3
18,182,Ethan Swindel,GLTC - FWD,1:48.164,7,7,0.885,2
19,163,Andy Funston,GLTC - RWD,1:50.102,2,7,15.606,1
20,165,Carter Hollis,GLTC - FWD,1:51.402,4,7,7.017,0
21,6,Robert McDaniels,GLTC - RWD,1:51.083,4,7,2.999,0
22,56,Bob Ross,GLTC - RWD,1:52.182,6,7,0.629,0
23,171,Clayton Fitzpatrick,GLTC - RWD,1:51.978,6,7,3.780,0
24,71,Joel Morrison,GLTC - RWD,1:44.654,2,4,3 Laps,0
25,42,Zac Lovoy,GLTC - RWD,1:45.850,3,4,15.809,0
26,4,Adam Ulrich,GLTC - RWD,1:46.068,4,4,0.931,0
27,88,Jacob Poole,GLTC - FWD,1:53.227,4,4,27.729,0
28,91,Michael Kramer,GLTC - FWD,1:53.983,2,3,1 Lap,0
29,888,Dai Nguyen,GLTC - RWD,1:50.675,2,2,1 Lap,0
30,90,Matt Waldbaum,GLTC - RWD,1:52.322,1,1,1 Lap,0
31,767,Wes Case,GLTC - RWD,,0,,1 Lap,0
32,106,Justin Thompson,GLTC - FWD,,0,,0.007,0
