GLTC Race 1 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,3,Jeremy Swenson,GLTC - RWD,1:41.913,4,7,,25
2,7,Luke McGrew,GLTC - RWD,1:42.056,4,7,0.258,21
3,90,Matt Waldbaum,GLTC - RWD,1:43.066,2,7,12.345,18
4,484,Matan Rosenberg,GLTC - RWD,1:43.455,3,7,0.116,16
5,1,Gary Wimble,GLTC - RWD,1:43.594,6,7,2.785,15
6,41,James Houghton,GLTC - FWD,1:42.802,7,7,0.448,14
7,98,Andrew Rains,GLTC - RWD,1:44.978,2,7,5.893,13
8,17,Tony Marchev,GLTC - RWD,1:44.874,5,7,0.919,12
9,129,James Cathers,GLTC - RWD,1:44.529,7,7,0.629,11
10,11,Jon Kozlow,GLTC - RWD,1:44.368,6,7,0.940,10
11,71,Joel Morrison,GLTC - RWD,1:44.249,7,7,0.221,9
12,32,Eddie Nakato,GLTC - RWD,1:45.504,6,7,4.013,8
13,159,Joshua Rubenstein,GLTC - RWD,1:45.045,5,7,0.427,7
14,99,Ronnie Vajdak,GLTC - FWD,1:44.340,7,7,8.062,6
15,45,Paul Curley,GLTC - RWD,1:43.685,6,7,3.319,5
16,14,Carlos Mendez,GLTC - RWD,1:46.008,4,7,0.313,4
17,4,Adam Ulrich,GLTC - RWD,1:45.730,4,7,2.414,3
18,106,Justin Thompson,GLTC - FWD,1:46.777,4,7,0.206,2
19,767,Wes Case,GLTC - RWD,1:46.784,7,7,3.678,1
20,917,Lena Chin,GLTC - RWD,1:47.361,7,7,1.057,0
21,23,Brian Tyson,GLTC - FWD,1:47.604,3,7,2.156,0
22,33,Justin Lee,GLTC - RWD,1:46.101,6,7,3.821,0
23,213,Scott Robertson,GLTC - RWD,1:47.316,7,7,14.676,0
24,18,Colton Wade,GLTC - RWD,1:46.393,3,7,6.851,0
25,562,Doug Geiger,GLTC - RWD,1:51.571,5,7,2.198,0
26,91,Michael Kramer,GLTC - FWD,1:51.836,3,7,0.451,0
27,182,Ethan Swindel,GLTC - FWD,1:51.080,3,7,0.006,0
28,888,Dai Nguyen,GLTC - RWD,1:50.454,2,7,0.673,0
29,163,Andy Funston,GLTC - RWD,1:50.724,7,7,0.702,0
30,66,Vytis Aranauskas,GLTC - RWD,1:49.614,6,7,2.402,0
31,6,Robert McDaniels,GLTC - RWD,1:52.339,6,7,5.788,0
32,165,Carter Hollis,GLTC - FWD,1:51.714,4,7,4.500,0
33,56,Bob Ross,GLTC - RWD,1:54.013,6,7,11.057,0
34,171,Clayton Fitzpatrick,GLTC - RWD,1:54.566,5,7,10.112,0
35,47,Ryan Power,GLTC - RWD,1:45.077,2,5,2 Laps,0
36,42,Zac Lovoy,GLTC - RWD,5:50.146,1,1,4 Laps,0
