Heat 6 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,459,Brad Perkins,UNLIMITED - RWD,1:38.823,M3
2,86,Jackie Ding,STREET MOD - RWD,1:39.090,Supra #TA90
3,6,Michael Aumick,STREET MOD - AWD,1:39.338,Sti
4,302,Dan Ropar,UNLIMITED - RWD,1:42.691,Corvette
5,28,Peter Zhang,STREET MOD - AWD,1:43.227,Impreza WRX
6,437,Cory Ross,TRACK MOD - RWD,1:43.320,M3
7,7,Joshua Halka,STREET - AWD,1:44.751,Impreza WRX
8,63,Luca Barberis,STREET MOD - AWD,1:45.876,Lancer Evolution 9
9,191,Andy Hollis,STREET - FWD,1:46.048,CRX
10,55,Charles Miller,STREET - AWD,1:46.345,Evo 9
11,255,Ryan Seiler,CLUB TR - RWD,1:47.060,S2000
12,109,Dana Basinski,CLUB TR - RWD,1:47.304,Brz
13,10,Kyoo Lee,STREET - AWD,1:47.384,Evo
14,717,Drew Cleaver,TRACK MOD - AWD,1:47.625,Model 3 performance
15,737,Alex Lundeen,STREET - FWD,1:48.001,Mazdaspeed3
16,900,Ian Creps,STREET - FWD,1:48.597,Type R
17,207,Adam Wood,STREET - AWD,1:49.097,Impreza
18,310,Mike Coons,STREET - AWD,1:49.510,Impreza WRX STI
19,700,Tom Halka,STREET - AWD,1:49.763,2.5 RS
20,299,John Hunter,STREET - RWD,1:49.795,Miata
21,527,Jackson Jensen,CLUB TR - RWD,1:49.931,S2000
22,736,Cody Smith,STREET MOD - RWD,1:52.309,Cutlass
23,70,Dewey DeWitt,STREET MOD - AWD,1:52.833,Impreza L (Boogeyman)
24,424,Michael Norman,STREET - AWD,1:53.697,STI Hatchback
25,46,Nehru Cheddie,TRACK MOD - RWD,1:54.161,M3
26,22,Luke Records,STREET - RWD,1:54.252,Solstice GXP
27,540,Douglas Hills,TRACK MOD - FWD,1:54.375,Civic
28,21,Austin Covey,STREET MOD - RWD,1:55.261,Corvette
29,809,Team MVP,CLUB TR - RWD,1:58.884,FRS
30,48,Torry Skurski,STREET - RWD,1:59.801,328i
31,930,Paul Nixon,STREET - RWD,1:59.878,350Z
32,129,Matt Williams,SUNDAE CUP - FWD,2:00.494,Fit
33,411,Hard Times Racing,SUNDAE CUP - FWD,2:01.858,Fit
34,139,Team Brap,SUNDAE CUP - FWD,2:02.830,Fit
35,594,Rory Lonergan,SUNDAE CUP - FWD,2:05.307,Fit
36,702,IR Racing,SUNDAE CUP - FWD,2:06.287,Fit
37,600,Dalton Klein,SUNDAE CUP - FWD,2:08.998,Fit
