Heat 4 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,257,Mike Dusold,UNLIMITED - RWD,2:11.542,Camaro
2,86,Jimmy Diggs,TRACK MOD - RWD,2:15.411,Supra
3,338,Ernestas Puzelis,UNLIMITED - RWD,2:16.026,Corvette
4,121,Ryan Mathews,STREET MOD - RWD,2:19.076,Corvette
5,336,James Clay,STREET MOD - RWD,2:19.666,M4
6,27,Brad Perkins,UNLIMITED - RWD,2:20.967,M3
7,52,Nicholas Gardner,UNLIMITED - RWD,2:21.188,SHELBY GT500
8,171,Andrius Bertulis,UNLIMITED - RWD,2:21.889,RCF
9,14,Kal Fortner,STREET MOD - RWD,2:22.336,AMG GT S
10,174,David Calzada,UNLIMITED - RWD,2:23.857,Miata
11,79,Nick Kohrs,STREET MOD - FWD,2:25.662,CIVIC
12,570,Kyle Magnuson,STREET GT - RWD,2:25.743,718 CAYMAN
13,480,Ravi Tomerlin,TRACK MOD - FWD,2:26.345,Civic
14,82,Jaime Santos,STREET MOD - RWD,2:26.610,135I
15,437,Cory Ross,TRACK MOD - RWD,2:27.430,M3
16,206,Dalton Klein,TRACK MOD - RWD,2:28.261,Corvette
17,426,Alex Roy,TRACK MOD - RWD,2:28.524,M3
18,55,Charles Miller,STREET - AWD,2:28.688,LANCER
19,226,Jerry Liu,STREET GT - RWD,2:28.729,Cayman
20,63,Luca Barberis,STREET - AWD,2:28.753,LANCER
21,511,Peter Granberg,CLUB TR - RWD,2:33.188,BRZ
22,625,Sam Bosnian,STREET - RWD,2:34.026,350Z
23,17,Peter Zhang,STREET GT - RWD,2:34.245,M3
24,77,Jason Kanakry,TRACK MOD - RWD,2:37.118,720S
25,736,Cody Smith,STREET MOD - RWD,2:40.582,CUTLASS
26,515,Jared Garcia,CLUB TR - RWD,2:41.797,S2000
27,46,Nehru Cheddie,CLUB TR - AWD,2:52.360,GR COROLLA
28,209,Kevin Wendt,CLUB TR - FWD,3:02.003,CRX
29,131,Sterling Cole,SUPER UNLIMITED - RWD,,RX7
30,314,Michael Puglisi,TRACK MOD - AWD,,LANCER
