GLTC Race 2 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,484,Matan Rosenberg,GLTC - RWD,1:40.137,5,7,,25
2,82,Eric Kutil,GLTC - FWD,1:40.164,5,7,0.265,21
3,7,Luke Mcgrew,GLTC - RWD,1:40.448,5,7,0.431,18
4,41,James Houghton,GLTC - FWD,1:40.184,6,7,0.618,16
5,90,Matt Waldbaum,GLTC - RWD,1:40.836,5,7,1.428,15
6,3,Erik Meadows,GLTC - RWD,1:41.041,6,7,1.009,14
7,715,Salil Shukla,GLTC - RWD,1:41.372,6,7,2.255,13
8,42,Zac Lovoy,GLTC - RWD,1:41.462,6,7,1.132,12
9,184,Eric Jensen,GLTC - RWD,1:41.333,6,7,0.847,11
10,917,Lena Chin,GLTC - RWD,1:41.433,6,7,0.218,10
11,98,Andrew Rains,GLTC - RWD,1:41.711,7,7,1.334,9
12,207,Adam Wood,GLTC - AWD,1:41.853,7,7,0.893,8
13,1,Gary Wimble,GLTC - RWD,1:40.993,6,7,1.845,7
14,26,Louis Chatroop,GLTC - RWD,1:42.382,6,7,1.544,6
15,84,Thomas Lathrop,GLTC - RWD,1:42.386,7,7,0.749,5
16,52,Mackenzie Korince,GLTC - FWD,1:42.195,7,7,0.434,4
DQ,32,Jake Joraanstad,GLTC - RWD,1:40.748,7,7,1.594,3
18,330,Eric Magnussen,GLTC - RWD,1:42.608,7,7,1.178,2
19,28,Peter Zhang,GLTC - RWD,1:41.160,5,7,0.537,1
20,86,Jackie Ding,GLTC - FWD,1:44.054,4,7,3.125,0
21,55,Paul Darling,GLTC - RWD,1:42.881,6,7,0.99,0
22,43,Joe Tullo,GLTC - RWD,1:43.505,6,7,0.221,0
23,71,Joel Morrison,GLTC - RWD,1:42.593,7,7,1.37,0
24,109,Dana Basinski,GLTC - RWD,1:42.465,6,7,0.866,0
25,17,Tony Marchev,GLTC - RWD,1:43.461,6,7,0.058,0
26,44,Kerry James,GLTC - RWD,1:41.878,7,7,1.169,0
27,24,Dustin Bartee,GLTC - FWD,1:43.144,7,7,2.279,0
28,2,Aryton Grim,GLTC - RWD,1:42.943,7,7,0.302,0
29,5,Kevin Bandy,GLTC - RWD,1:43.762,7,7,2.336,0
30,85,Samuel Scott,GLTC - RWD,1:44.302,7,7,1.085,0
31,202,Jacob Price,GLTC - RWD,1:42.926,5,7,0.018,0
32,57,Jorge Ortiz,GLTC - RWD,1:44.715,7,7,1.248,0
33,11,Jeremy Zeitler,GLTC - FWD,1:45.426,7,7,1.872,0
34,618,Bob Dice,GLTC - FWD,1:43.692,7,7,2.901,0
35,888,Dai Nguyen,GLTC - RWD,1:42.970,7,7,1.19,0
36,222,Kyle Hale,GLTC - RWD,1:43.902,6,7,2.268,0
37,714,Tony Barber,GLTC - RWD,1:47.556,5,7,1.373,0
38,77,Hans Horpedahl,GLTC - RWD,1:45.776,6,7,0.742,0
39,328,Ryan Schabel,GLTC - RWD,1:45.946,5,7,0.34,0
40,541,Seth Gale,GLTC - FWD,1:44.667,7,7,3.966,0
41,546,Andy Sundeen,GLTC - RWD,1:45.274,7,7,0.387,0
42,171,Clayton Fitzpatrick,GLTC - RWD,1:44.819,6,7,0.295,0
43,51,David Rudzinski,GLTC - RWD,,0,7,8.322,0
44,860,Nathan Manning,GLTC - RWD,1:48.704,4,7,4.323,0
45,308,Kyle Malarkey,GLTC - RWD,1:51.885,7,7,17.457,0
46,521,Sean Macneil,GLTC - FWD,1:51.430,5,5,2 Laps,0
47,78,Jason Kanakry,GLTC - RWD,1:45.472,5,5,3:33.705,0
48,311,Jose Santacruz,GLTC - FWD,2:21.087,1,3,2 Laps,0
49,83,Carlos Mendez,GLTC - RWD,,0,,3 Laps,0
50,350,Julio Crispin,GLTC - RWD,,0,,0.79,0
51,337,Bryan Leonard,GLTC - RWD,,0,,,0
DQ,89,Steve Pruden,GLTC - RWD,1:42.903,7,7,,0
