GLTC Race 1 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,484,Matan Rosenberg,GLTC - RWD,1:40.160,8,8,,25
2,82,Eric Kutil,GLTC - FWD,1:39.994,8,8,0.42,21
3,41,James Houghton,GLTC - FWD,1:40.540,3,8,2.656,18
4,7,Luke Mcgrew,GLTC - RWD,1:40.793,2,8,0.115,16
5,3,Erik Meadows,GLTC - RWD,1:40.894,8,8,0.527,15
6,32,Jake Joraanstad,GLTC - RWD,1:41.050,8,8,0.619,14
7,90,Matt Waldbaum,GLTC - RWD,1:40.813,8,8,0.598,13
8,184,Eric Jensen,GLTC - RWD,1:41.724,8,8,1.152,12
9,715,Salil Shukla,GLTC - RWD,1:41.649,8,8,0.398,11
10,917,Lena Chin,GLTC - RWD,1:41.680,8,8,0.655,10
11,42,Zac Lovoy,GLTC - RWD,1:41.455,8,8,0.761,9
12,83,Carlos Mendez,GLTC - RWD,1:42.075,8,8,1.124,8
13,350,Julio Crispin,GLTC - RWD,1:42.752,8,8,1.078,7
14,1,Gary Wimble,GLTC - RWD,1:42.719,8,8,1.134,6
15,109,Dana Basinski,GLTC - RWD,1:43.251,8,8,0.261,5
16,26,Louis Chatroop,GLTC - RWD,1:43.448,8,8,0.539,4
17,89,Steve Pruden,GLTC - RWD,1:43.019,8,8,0.208,3
18,330,Eric Magnussen,GLTC - RWD,1:42.185,7,8,1.575,2
19,207,Adam Wood,GLTC - AWD,1:42.143,7,8,0.548,1
20,86,Jackie Ding,GLTC - FWD,1:42.565,8,8,3.02,0
21,98,Andrew Rains,GLTC - RWD,1:42.487,7,8,1.942,0
22,84,Thomas Lathrop,GLTC - RWD,1:43.071,8,8,0.371,0
23,202,Jacob Price,GLTC - RWD,1:43.857,8,8,0.95,0
24,71,Joel Morrison,GLTC - RWD,1:43.032,8,8,0.164,0
25,52,Mackenzie Korince,GLTC - FWD,1:43.759,8,8,0.462,0
26,24,Dustin Bartee,GLTC - FWD,1:44.975,7,8,3.488,0
27,44,Kerry James,GLTC - RWD,1:44.404,8,8,0.629,0
28,85,Samuel Scott,GLTC - RWD,1:44.717,8,8,1.639,0
29,2,Aryton Grim,GLTC - RWD,1:43.745,8,8,0.359,0
30,57,Jorge Ortiz,GLTC - RWD,1:44.397,7,8,0.964,0
31,43,Joe Tullo,GLTC - RWD,1:44.291,7,8,1.247,0
32,5,Kevin Bandy,GLTC - RWD,1:44.765,8,8,2.529,0
33,78,Jason Kanakry,GLTC - RWD,1:44.973,8,8,2.663,0
34,17,Tony Marchev,GLTC - RWD,1:44.947,8,8,1.586,0
35,714,Tony Barber,GLTC - RWD,1:47.290,8,8,0.191,0
36,77,Hans Horpedahl,GLTC - RWD,1:46.854,8,8,0.669,0
37,541,Seth Gale,GLTC - FWD,1:46.688,8,8,1.957,0
38,328,Ryan Schabel,GLTC - RWD,1:46.290,8,8,0.164,0
39,618,Bob Dice,GLTC - FWD,1:45.523,8,8,0.172,0
40,11,Jeremy Zeitler,GLTC - FWD,1:46.480,8,8,0.585,0
41,860,Nathan Manning,GLTC - RWD,1:48.098,7,8,3.502,0
42,546,Andy Sundeen,GLTC - RWD,1:47.448,7,8,0.474,0
43,521,Sean Macneil,GLTC - FWD,1:49.682,8,8,4.884,0
44,888,Dai Nguyen,GLTC - RWD,1:44.500,7,8,2.207,0
45,308,Kyle Malarkey,GLTC - RWD,1:54.337,8,8,16.426,0
46,55,Paul Darling,GLTC - RWD,1:42.808,3,6,2 Laps,0
47,28,Peter Zhang,GLTC - RWD,1:44.044,3,5,1 Lap,0
48,95,Robbie Vierhout,GLTC - RWD,1:50.078,1,1,4 Laps,0
DQ,222,Kyle Hale,GLTC - RWD,1:44.530,8,8,,0
DQ,171,Clayton Fitzpatrick,GLTC - RWD,1:46.082,8,8,,0
