Heat 4 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,5,Luke McGrew,TRACK MODIFIED - RWD,1:29.554,Viper ACR
2,221,shawn krebsbach,STREET MODIFIED - AWD,1:30.808,Lancer Evolution 9
3,71,Joel Morrison,TRACK MODIFIED - RWD,1:30.995,s2000
4,86,Jackie Ding,STREET MODIFIED - RWD,1:31.513,S2000
5,667,Mike Hryckiewicz,UNLIMITED - RWD,1:32.233,Corvette
6,70,"Eric """"Dewey"""""" DeWitt""",STREET MODIFIED - AWD,1:32.424,Impreza L
7,21,Evolve Autosport,STREET MODIFIED - RWD,1:33.007,M3
8,357,Dan Lewis,STREET MODIFIED - RWD,1:33.236,S2000
9,0,Cars and Coffee Survivor Racing,STREET GT - RWD,1:33.416,Mustang
10,130,Coby Shield,STREET GT - RWD,1:33.992,Camaro
11,74,Chris Neuman,STREET - RWD,1:34.027,M3
12,34,Austin Hertel,STREET - RWD,1:34.577,370z
13,984,Stan Fayngold,STREET MODIFIED - RWD,1:35.008,FR-S
14,62,Brian Blaine,TRACK MODIFIED - RWD,1:35.035,Rx7
15,420,levi brown,TRACK MODIFIED - FWD,1:35.849,civic
16,575,Clay Davidson,STREET MODIFIED - RWD,1:35.895,Mustang
17,110,Chinchi Chiang,STREET MODIFIED - FWD,1:35.917,Civic Type-R
18,706,Dan Simms,STREET GT - RWD,1:36.279,Corvette
19,625,Sam Bosnian,STREET - RWD,1:36.525,350z Nismo
20,174,James Rauck,STREET - FWD,1:36.720,Type R
21,88,Fiona Lou,STREET MODIFIED - RWD,1:36.788,S2000
22,55,Michael Pagano,STREET MODIFIED - RWD,1:36.801,330ci
23,150,Anthony Leclerc,STREET - RWD,1:37.076,4C
24,330,Vladimir Skirda,STREET MODIFIED - AWD,1:37.114,STi
25,36,Ben Mich,STREET MODIFIED - RWD,1:37.395,RX-7
26,96,Nigel Teags,STREET MODIFIED - AWD,1:37.450,Impreza WRX
27,46,Nehru Cheddie,STREET - RWD,1:37.847,M3
28,555,Dainius Radzevicius,STREET - AWD,1:37.940,Impreza wrx sti
29,35,Alex Westergaard,STREET MODIFIED - RWD,1:37.954,S2000
30,28,Peter Zhang,STREET MODIFIED - AWD,1:37.962,WRX
31,12,Andrew Sonnevil,ROADSTER MODIFIED - RWD,1:38.357,Miata
32,106,Peitz Performance,TRACK MODIFIED - RWD,1:38.418,Corvette
33,94,Brandon Johnson,STREET - RWD,1:38.646,350Z
34,56,Charles Miller,STREET - AWD,1:39.158,Evo IX
35,621,Troy Mass,STREET - RWD,1:39.447,BRZ
36,75,Ryan Gaydos,STREET - RWD,1:39.588,S2000
37,321,Teagan Thostenson,STREET - AWD,1:39.781,STI
38,917,Alex MacAllister,STREET GT - RWD,1:40.258,Mustang
39,314,Michael Puglisi,TRACK MODIFIED - AWD,1:40.510,Evolution
40,133,Corrin Tyson,STREET - FWD,1:41.124,Civic Type R
41,154,Jan Guzman,TRACK MODIFIED - RWD,1:41.407,135i
42,60,Mark Brylo,STREET - AWD,1:41.635,Lancer Evolution
43,24,Les Epps,STREET - FWD,1:41.850,Teggy
44,211,Troy Videkovich,STREET MODIFIED - AWD,1:42.208,WRX
45,259,Nathan Park,STREET MODIFIED - AWD,1:42.215,Evo X
46,441,Walter Smith,STREET - RWD,1:42.729,S2000
47,362,Hard Times,TRACK MODIFIED - FWD,1:42.974,Fit
48,31,BART GOLDENBELD,ROADSTER MODIFIED - RWD,1:43.491,Miata
49,89,James Kelly,STREET - RWD,1:43.827,BRZ
50,218,Derrick Maske,STREET MODIFIED - RWD,1:43.892,S2000
51,42,Ben Bulthuis,TRACK MODIFIED - FWD,1:44.136,CRX
52,14,Kal Fortner,STREET MODIFIED - AWD,1:44.202,S4
53,323,Michael Peters,STREET - RWD,1:44.617,S2000
54,125,Andrew Molique,STREET - FWD,1:47.612,Integra
55,48,Torry Skurski,TRACK MODIFIED - RWD,1:49.336,328i
56,44,Joel Phillips,ROADSTER MODIFIED - RWD,1:51.457,Miata
57,93,Alexander Mishra,SUNDAE CUP / SPECFIT - FWD,1:53.185,Fit
58,15,Mark Bucheit,SUNDAE CUP / SPECFIT - FWD,1:54.507,Fit
59,185,Kyle Champine,STREET - FWD,1:55.660,Civic
61,,,,,
62,,,,,
63,,,,,
64,,,,,
65,,,,,
66,,,,,
67,,,,,
68,,,,,
69,,,,,
70,,,,,
71,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
78,,,,,
79,,,,,
80,,,,,
