GLGT Race 4 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,21,Collin King,CORVETTE,2:26.729,2,3,,25
2,7,Jordan Wiseley,Ionic5 N,2:33.357,3,3,15.233,21
3,61,Alex Peitz,CORVETTE,2:47.141,2,3,38.444,18
4,174,David Calzada,MX-5 MIATA,2:38.140,1,1,2 Laps,16
,,,,,,,,Provisional results posted 07/27/25 15:00
