GLGT Qualifying Results,,,,,
Pos,No.,Name,Model,Best Tm,Points
1,66,Aaron Leichty,CORVETTE,2:25.093,3
2,21,Collin King,CORVETTE,2:27.839,2
3,6,Charlesandre Bilodeau,M4,2:28.116,1
4,174,David Calzada,MX-5 MIATA,2:29.238,0
5,7,Jordan Wiseley,Ionic5 N,2:29.979,0
6,77,Hans Horpedahl,CORVETTE,,0
,,,,,Official Results Published 7/25/25 20:00
