GLTC Race 2 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,55,Paul Darling,M3,57.944,7,14,,25
2,212,Andy Smedegard,GT86.24,57.770,3,14,0.275,21
3,82,Eric Kutil,CIVIC,58.085,7,14,0.161,18
4,66,Aaron Leichty,CORVETTE,58.028,4,14,0.942,16
5,374,Emile Tabb,MX-5 MIATA,58.547,4,14,0.409,15
6,90,Matt Waldbaum,S2000,58.566,4,14,0.420,14
7,49,Nicholas Barbato,M3,58.696,5,14,0.132,13
8,330,Eric Magnussen,M3,58.706,8,14,1.511,12
9,917,Lena Chin,S2000,59.047,7,14,0.337,11
10,484,Matan Rosenberg,Corvette,59.410,9,14,0.189,10
11,444,John Gaydos,3 SERIES,59.492,9,14,0.080,9
12,715,Salil Shukla,M3,59.708,8,14,0.141,8
13,28,Peter Zhang,FR-S,59.778,7,14,0.558,7
14,202,Jake Price,MX-5 MIATA,59.640,7,14,0.533,6
15,74,Erik Dallariva,CSX,59.768,6,14,0.665,5
16,50,Azmath Mohammed,MR2,59.728,9,14,0.292,4
17,109,Dana Basinski,BRZ,59.143,4,14,0.132,3
18,83,Carlos Mendez,3 SERIES,59.471,6,14,0.433,2
19,84,Thomas Lathrop,3 SERIES,1:01.140,5,14,1.255,1
20,85,Samuel Scott,MX-5 MIATA,58.725,3,14,0.162,0
21,404,Donald Lui,BRZ,1:00.114,7,14,1.074,0
22,155,Michael Pagano,116I,59.818,7,14,1.115,0
23,313,Chandler Roe,CIVIC,1:00.740,5,14,0.590,0
24,515,Thomas Moss,MX-5 MIATA,1:00.769,8,14,0.651,0
25,8,Jeff Wasilko,MX-5 MIATA,1:00.929,4,14,0.731,0
26,888,Dai Nguyen,BRZ,1:00.903,8,14,0.525,0
27,105,Brandon Ganem,RX-8,59.406,9,14,0.641,0
28,30,Dakotta Pionek,CIVIC,1:00.999,8,14,0.440,0
29,462,Natalie Latoz,MX-5 MIATA,1:01.145,6,14,0.528,0
30,440,Daniel Giraldo,IS,1:00.553,8,14,0.231,0
31,179,Patrick Huxley,CIVIC,1:02.095,9,14,0.406,0
32,528,Richard Sawicki,MX-5 MIATA,1:01.425,7,14,0.172,0
33,131,Lisa Keyes,CIVIC,1:03.446,7,13,1 Lap,0
34,79,Raul Iriarte,BRZ,59.736,5,7,6 Laps,0
35,243,Kevin Zhu,CIVIC,,0,,7 Laps,0
,,,,,,,,Official resutls 8/16 11:52
