Heat 4 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,525,Jeremy Lowder,UNLIMITED - RWD,1:33.023,Camaro
2,325,Erin Sanford,TRACK MOD - RWD,1:33.814,240sx
3,29,Kyle McKiou,STREET MOD - RWD,1:33.826,GR Supra
4,687,Jackie Ding,STREET GT - RWD,1:35.143,MR
5,307,Andy Hsiao,STREET MOD - RWD,1:36.592,Corvette
6,333,Tony Barber,STREET - AWD,1:37.200,Model 3
7,115,Phillip Glass-Hess,TRACK MOD - RWD,1:37.260,Miata
8,40,Ben Bulthuis,STREET GT - RWD,1:37.782,Supra
9,570,Kyle Magnuson,STREET GT - RWD,1:38.138,Cayman
10,18,Kevin Vue,CLUB TR - FWD,1:38.904,Integra
11,713,Matt Rouse,STREET GT - RWD,1:39.102,Corvette
12,781,Lyle Zyra,CLUB TR - RWD,1:39.504,GR86
13,882,Mark Kilgore,STREET GT - RWD,1:39.799,M4
14,402,Anthony Lusano,CLUB TR - FWD,1:39.826,Civic
15,693,Alex Schwartz,TRACK MOD - AWD,1:40.379,Golf R
16,13,Jerami Bailey,CLUB TR - RWD,1:40.572,FR-S
17,732,Chris Harper,STREET GT - RWD,1:40.697,440i
18,23,Rick Stengard,STREET GT - RWD,1:40.897,Camaro
19,47,Kerry Kerr,UNLIMITED - RWD,1:41.695,M3
20,161,Todd Kaley,CLUB TR - RWD,1:41.824,S2000
21,232,Brian Tyson,CLUB TR - AWD,1:41.827,Focus RS
22,281,Randy Reeves,STREET MOD - RWD,1:41.929,Miata
23,674,David Entz,STREET GT - RWD,1:42.013,Cayman GT4
24,375,Jason Brumfield,STREET GT - RWD,1:43.113,M3
25,461,Josh McQuaid,CLUB TR - RWD,1:43.708,S2000
26,329,Cameron Hall,CLUB TR - RWD,1:45.065,Miata
27,414,Julio Perez,CLUB TR - RWD,1:45.201,Z3
28,7,Halka Racing,STREET - AWD,1:46.895,Impreza
29,331,David Neil,CLUB TR - RWD,1:49.538,Miata
30,919,Xianwei Hou,STREET - RWD,1:51.562,370Z
31,934,Cameron Boers,STREET - FWD,1:53.033,GTI
32,125,Kevin Head,CLUB TR - RWD,1:53.832,RX7
33,91,Chris Rice,SUNDAE CUP - FWD,1:54.248,Fit
34,147,Brett Whisenant,CLUB TR - FWD,1:55.208,Fiesta ST
35,122,Jason Davidson,SUNDAE CUP - RWD,1:59.076,Fit
36,143,Michael Robinson,CLUB TR - RWD,,323i
