RUSH SR Race 1 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,114,Bryce Mersberger,SR,1:34.540,7,9,,25
2,74,Jason Oehler,SR,1:34.390,4,9,0.897,21
3,88,Jaylan Battley,SR,1:35.442,1,9,0.914,18
4,33,Evan Pecore,SR,1:35.375,5,9,0.647,16
5,81,Robert Desjardins,SR,1:35.338,4,9,1.073,15
6,13,Lee Kellert,SR,1:35.632,5,9,0.572,14
7,125,Max Krause,SR,1:35.836,6,9,1.384,13
8,128,Jeff Hardesty,SR,1:36.782,3,9,0.584,12
9,256,Samuel Reed,SR,1:36.835,5,9,0.807,11
10,115,Ethan Hardesty,SR,1:36.235,6,9,1.369,10
11,82,Pat Brady,SR,1:38.431,6,9,1.25,9
12,117,Kevin Kirkwood,SR,1:36.996,2,9,1.348,8
13,113,Tim Burkard,SR,1:41.639,3,9,7.785,7
14,55,Chuck Desjardins,SR,1:41.397,6,9,1.102,6
15,444,Fred Thomas,SR,1:42.364,6,9,0.805,5
16,227,Aj Campo,SR,1:41.294,3,8,1 Lap,4
17,71,Paul Klich,SR,1:51.130,3,8,3.266,3
18,22,Jeremy Boysen,SR,1:36.065,4,6,2 Laps,2
,,,,,,,,Official Results Published - 6/28/25 12:25
