Heat 4 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,49,Micaiah Hackbarth,STREET MODIFIED - AWD,2:57.351,TTRS
2,60,Mark Brylo,STREET - AWD,3:04.533,Evo
3,7,Joshua Halka,STREET - AWD,3:04.580,Impreza WRX
4,298,Orange Crush Racing,STREET MODIFIED - AWD,3:04.869,WRX STI
5,303,Ryan Dussex,UNLIMITED - AWD,3:05.841,WRX
6,118,Jason Owens,STREET - FWD,3:09.443,Civic Si
7,66,Ben Thorn,STREET - FWD,3:10.266,Civic
8,717,Drew Cleaver,STREET GT - AWD,3:12.395,Model 3
9,211,Troy Videkovich,STREET MODIFIED - AWD,3:12.683,WRX
10,62,Brian Blaine,TRACK MODIFIED - RWD,3:13.645,Rx7
11,22,Jeremy Boysen,STREET GT - RWD,3:14.166,C8
12,495,Richard Cho,STREET - RWD,3:15.597,370z
13,426,Adam Wood,STREET - AWD,3:17.697,Impreza
14,48,Torry Skurski,STREET - RWD,3:20.785,328i
15,52,Nicholas Gardner,TRACK MODIFIED - RWD,3:21.134,Shelby GT500
16,324,Garrett Tkach,STREET GT - RWD,3:23.087,C5 Z06
17,76,David Ottobre,STREET MODIFIED - RWD,3:23.157,240sx
18,46,Nehru Cheddie,STREET - RWD,3:24.016,M3
19,270,Max Rooney,STREET - FWD,14:07.263,Civic Si
20,115,Electron Sport,STREET MODIFIED - RWD,14:42.388,Corvette
