GLTC Race 2 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,82,Eric Kutil,GLTC - FWD,1:41.830,5,8,,25
2,7,Luke Mcgrew,GLTC - RWD,1:42.140,5,8,0.104,21
3,41,James Houghton,GLTC - FWD,1:42.096,5,8,0.122,18
4,484,Matan Rosenberg,GLTC - RWD,1:42.481,3,8,4.274,16
5,99,Ronnie Vajdak,GLTC - FWD,1:42.894,5,8,2.573,15
6,90,Matt Waldbaum,GLTC - RWD,1:42.513,4,8,0.007,14
7,236,Jon Kozlow,GLTC - RWD,1:43.095,8,8,1.341,13
8,129,James Cathers,GLTC - RWD,1:43.238,5,8,8.854,12
9,184,Eric Jensen,GLTC - RWD,1:44.421,6,8,3.18,11
10,212,Andy Smedegard,GLTC - RWD,1:44.146,5,8,4.35,10
11,166,Ben Thorn,GLTC - FWD,1:44.896,3,8,0.861,9
12,917,Lena Chin,GLTC - RWD,1:43.828,5,8,0.66,8
13,330,Eric Magnussen,GLTC - RWD,1:45.237,2,8,0.39,7
14,715,Salil Shukla,GLTC - RWD,1:44.958,3,8,0.606,6
15,83,Carlos Mendez,GLTC - RWD,1:44.539,6,8,1.009,5
16,72,Dj Alessandrini,GLTC - RWD,1:44.988,5,8,0.125,4
17,204,Lealand Wamboldt,GLTC - FWD,1:44.490,5,8,0.539,3
18,1,Gary Wimble,GLTC - RWD,1:44.921,2,8,0.345,2
19,98,Andrew Rains,GLTC - RWD,1:45.026,4,8,0.462,1
20,33,Justin Lee,GLTC - RWD,1:44.087,6,8,0.031,0
21,71,Joel Morrison,GLTC - RWD,1:45.980,6,8,6.02,0
22,4,Adam Ulrich,GLTC - RWD,1:46.697,8,8,7.801,0
23,69,James Forbis,GLTC - RWD,1:46.533,6,8,0.466,0
24,84,Thomas Lathrop,GLTC - RWD,1:46.624,6,8,0.541,0
25,159,Joshua Rubenstein,GLTC - RWD,1:46.698,5,8,5.747,0
26,886,Jason Nguyen,GLTC - RWD,1:46.459,5,8,1.414,0
27,38,Ernestas Puzelis,GLTC - RWD,1:46.923,6,8,0.664,0
28,171,Clayton Fitzpatrick,GLTC - RWD,1:46.595,7,8,0.549,0
29,10,Brian Tyson,GLTC - FWD,1:47.245,7,8,2.766,0
30,136,Austin Cobb,GLTC - RWD,1:46.732,6,8,1.272,0
31,888,Dai Nguyen,GLTC - RWD,1:46.253,8,8,0.229,0
32,124,Peter Collins,GLTC - RWD,1:45.254,7,8,1.967,0
33,87,Nicholas Stentiford,GLTC - RWD,1:44.880,7,8,2.904,0
34,515,Thomas Moss,GLTC - RWD,1:47.522,5,8,9.467,0
35,62,Doug Geiger,GLTC - RWD,1:49.984,7,8,3.095,0
36,5,Kevin Bandy,GLTC - RWD,1:49.500,8,8,0.97,0
37,56,Bob Ross,GLTC - RWD,1:50.664,8,8,8.229,0
38,100,Andrew Cowden,GLTC - RWD,1:50.288,8,8,4.282,0
39,521,Sean Macneil,GLTC - FWD,1:50.502,4,8,3.338,0
40,860,Nathan Manning,GLTC - RWD,1:51.417,6,8,2.756,0
41,165,Carter Hollis,GLTC - FWD,1:51.692,7,8,1.95,0
42,16,Robert Mcdaniels,GLTC - RWD,1:53.146,8,8,7.036,0
43,28,Peter Zhang,GLTC - RWD,1:48.003,4,4,4 Laps,0
44,337,Bryan Leonard,GLTC - RWD,1:47.125,3,3,1 Lap,0
45,9,Adam Griffith,GLTC - RWD,1:46.295,3,8,0.493,0
46,92,Marcus Luttrell,GLTC - RWD,1:50.800,2,2,1 Lap,0
