GLTC Race 1 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,7,Luke Mcgrew,GLTC - RWD,2:28.873,5,6,,25
2,3,Jeremy Swenson,GLTC - RWD,2:29.202,4,6,4.954,21
3,190,Aaron Leichty,GLTC - RWD,2:30.485,4,6,2.901,18
4,41,James Houghton,GLTC - FWD,2:30.739,3,6,2.609,16
5,82,Eric Kutil,GLTC - FWD,2:30.251,6,6,0.326,15
6,484,Matan Rosenberg,GLTC - RWD,2:30.727,3,6,1.610,14
7,94,Andy Smedegard,GLTC - RWD,2:30.572,6,6,0.490,13
8,34,Austin Hertel,GLTC - RWD,2:31.080,4,6,3.907,12
9,1,Gary Wimble,GLTC - RWD,2:31.915,5,6,5.888,11
10,447,Micaiah Hackbarth,GLTC - RWD,2:32.239,6,6,1.937,10
11,325,Robert Manouchehri,GLTC - RWD,2:31.851,6,6,0.548,9
12,90,Matt Waldbaum,GLTC - RWD,2:32.486,6,6,0.105,8
13,2,Erik Meadows,GLTC - RWD,2:33.710,5,6,10.864,7
14,184,Eric Jensen,GLTC - RWD,2:35.808,6,6,3.302,6
15,42,Zac Lovoy,GLTC - RWD,2:34.590,2,6,0.233,5
16,13,Ryan Upham,GLTC - RWD,2:34.488,3,6,0.783,4
17,26,Louis Chatroop,GLTC - RWD,2:36.223,3,6,9.290,3
18,51,Carlos Mendez,GLTC - RWD,2:36.213,4,6,4.692,2
19,213,Robertson Racing,GLTC - RWD,2:36.352,6,6,2.079,1
20,917,Lena Chin,GLTC - RWD,2:36.701,6,6,1.471,0
21,33,Thing 3 Racing,GLTC - RWD,2:36.831,6,6,2.217,0
22,527,Jackson Jensen,GLTC - RWD,2:36.300,6,6,0.718,0
23,77,Hans Horpedahl,GLTC - RWD,2:35.441,6,6,0.144,0
24,40,Jeremy Boysen,GLTC - FWD,2:37.868,2,6,3.626,0
25,202,Jacob Price,GLTC - RWD,2:38.510,6,6,1.012,0
26,18,Colton Wade,GLTC - RWD,2:38.074,6,6,0.045,0
27,113,Wesley Penn,GLTC - RWD,2:38.424,6,6,1.319,0
28,187,Chris Adams,GLTC - RWD,2:36.449,4,6,0.040,0
29,207,Adam Wood,GLTC - RWD,2:38.401,6,6,1.464,0
30,177,Justin Lautz,GLTC - RWD,2:37.548,6,6,7.060,0
31,150,Alex Moss,GLTC - RWD,2:38.158,6,6,1.698,0
32,146,Bill Griffin,GLTC - RWD,2:42.887,4,6,15.141,0
33,43,Joe Tullo,GLTC - RWD,2:42.132,6,6,0.949,0
34,320,Chris Murray,GLTC - RWD,2:41.248,3,6,7.342,0
35,504,Karl Hertel,GLTC - FWD,2:46.432,6,6,15.846,0
36,71,Joel Morrison,GLTC - RWD,2:35.499,3,4,2 Laps,0
37,95,Robert Vierhout,GLTC - RWD,2:42.472,3,4,28.939,0
38,23,Brian Tyson,GLTC - FWD,2:36.532,3,3,1 Lap,0
39,4,Adam Ulrich,GLTC - RWD,2:40.574,2,3,32.380,0
40,17,Tony Marchev,GLTC - RWD,2:34.913,2,2,1 Lap,0
41,132,Jake Joraanstad,GLTC - RWD,2:44.680,2,2,6.283,0
42,546,Andy Sundeen,GLTC - RWD,2:48.859,1,1,1 Lap,0
43,36,Tyler Starr,GLTC - RWD,,0,,1 Lap,0
