GLTC Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,19,Aaron Leichty,GLTC - RWD,2:29.808,2,6,,25
2,3,Jeremy Swenson,GLTC - RWD,2:30.252,2,6,3.669,21
3,484,Matan Rosenberg,GLTC - RWD,2:29.937,6,6,4.185,18
4,34,Austin Hertel,GLTC - RWD,2:30.366,5,6,3.155,16
5,447,Micaiah Hackbarth,GLTC - RWD,2:30.676,5,6,0.710,15
6,325,Robert Manouchehri,GLTC - RWD,2:31.072,6,6,0.322,14
7,94,Andy Smedegard,GLTC - RWD,2:31.050,6,6,3.225,13
8,17,Tony Marchev,GLTC - RWD,2:32.423,5,6,8.035,12
9,1,Gary Wimble,GLTC - RWD,2:31.811,2,6,0.678,11
10,71,Joel Morrison,GLTC - RWD,2:32.492,6,6,3.232,10
11,90,Matt Waldbaum,GLTC - RWD,2:32.499,2,6,0.204,9
12,13,Ryan Upham,GLTC - RWD,2:33.685,5,6,3.603,8
13,7,Luke Mcgrew,GLTC - RWD,2:30.378,6,6,0.512,7
14,2,Erik Meadows,GLTC - RWD,2:33.346,6,6,0.383,6
15,187,Chris Adams,GLTC - RWD,2:34.578,5,6,4.744,5
16,26,Louis Chatroop,GLTC - RWD,2:35.627,6,6,2.301,4
17,40,Jeremy Boysen,GLTC - FWD,2:37.108,2,6,5.144,3
18,132,Jake Joraanstad,GLTC - RWD,2:34.739,4,6,0.298,2
19,42,Zac Lovoy,GLTC - RWD,2:34.521,5,6,0.562,1
20,917,Lena Chin,GLTC - RWD,2:35.406,4,6,0.077,0
21,202,Jacob Price,GLTC - RWD,2:35.185,6,6,0.071,0
22,23,Brian Tyson,GLTC - FWD,2:34.232,5,6,6.292,0
23,33,Thing 3 Racing,GLTC - RWD,2:36.277,5,6,3.911,0
24,18,Colton Wade,GLTC - RWD,2:36.652,6,6,0.315,0
25,207,Adam Wood,GLTC - RWD,2:37.430,5,6,4.815,0
26,150,Alex Moss,GLTC - RWD,2:38.511,5,6,1.046,0
27,177,Justin Lautz,GLTC - RWD,2:38.277,6,6,6.736,0
28,320,Chris Murray,GLTC - RWD,2:38.314,6,6,1.237,0
29,113,Wesley Penn,GLTC - RWD,2:39.096,6,6,3.042,0
30,77,Hans Horpedahl,GLTC - RWD,2:36.336,5,6,0.417,0
31,43,Joe Tullo,GLTC - RWD,2:41.202,4,6,6.638,0
32,146,Bill Griffin,GLTC - RWD,2:41.447,3,6,3.911,0
33,504,Karl Hertel,GLTC - FWD,2:44.243,6,6,15.669,0
34,82,Eric Kutil,GLTC - FWD,2:32.669,2,2,4 Laps,0
35,4,Adam Ulrich,GLTC - RWD,2:38.733,2,2,17.860,0
36,36,Tyler Starr,GLTC - RWD,2:43.263,2,2,9.585,0
37,527,Jackson Jensen,GLTC - RWD,2:47.157,1,1,1 Lap,0
38,184,Eric Jensen,GLTC - RWD,2:46.010,1,1,0.661,0
39,14,Carlos Mendez,GLTC - RWD,,0,,1 Lap,0
RVS,41,James Houghton,GLTC - FWD,2:30.018,2,6,,18
DQ,213,Robertson Racing,GLTC - RWD,2:37.661,6,6,,0
