Heat 4 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,106,Jason Kanakry,STREET MODIFIED - RWD,1:28.145,600LT
2,307,Andy Hsiao,STREET MODIFIED - RWD,1:28.719,Corvette Z06
3,7,Tony Barber,STREET - AWD,1:29.571,Impreza WRX
4,23,Chris Sewell,STREET MODIFIED - RWD,1:29.782,370z
5,42,David Marcus,STREET GT - RWD,1:29.872,Supra
6,53,Robert Rushton,STREET - FWD,1:30.023,Civic Type R
7,531,Evan Weider,CLUB TR - FWD,1:31.105,Civic
8,555,Patrick Daugherty,STREET - FWD,1:31.642,Type R
9,9,Drew Turner,CLUB TR - RWD,1:32.285,S2000
10,272,Brad Balkham,STREET MODIFIED - AWD,1:32.540,EVO X
11,311,Berk Cerci,STREET GT - RWD,1:33.473,Mustang GT
12,232,Rod Summers,STREET MODIFIED - RWD,1:33.734,G35
13,222,Meredith Najewicz,CLUB TR - RWD,1:33.921,BRZ
14,5,Zachary Anderson,CLUB TR - RWD,1:34.290,FR-S
15,373,Ivan Onofriiciuc,STREET - RWD,1:34.657,370z
16,110,William Gravely,STREET - RWD,1:35.103,911
17,74,Grant Davidson,CLUB TR - FWD,1:35.302,Integra GSR
18,540,Douglas Hills,TRACK MODIFIED - FWD,1:35.458,Civic
19,91,Chris Rice,STREET GT - RWD,1:36.276,Mustang Shelby GT
20,933,Grant Murphy,CLUB TR - RWD,1:36.542,FR-S
21,142,Juan Johnson,CLUB TR - RWD,1:36.959,S2000
22,20,Ryan Zupancic,CLUB TR - RWD,1:37.740,Miata
23,75,Jerome Cahuzac,STREET GT - RWD,1:37.756,M2
24,193,Mark Kilgore,STREET MODIFIED - RWD,1:38.064,135i
25,18,Kevin Vue,CLUB TR - FWD,1:38.368,Integra
26,780,Mark Johnson,STREET - RWD,1:38.903,Miata
27,474,Derek Durkee,CLUB TR - FWD,1:38.934,Cooper S
28,144,Jonathan Wheeler,STREET MODIFIED - RWD,1:39.127,370z Nismo
29,696,Fernando Granados,STREET GT - RWD,1:39.912,Supra
30,934,Cameron Boers,STREET - FWD,1:39.983,GTI
31,129,Matt Williams,SUNDAE CUP - RWD,1:40.825,Fit
32,231,Frank Schwartz,SUNDAE CUP - FWD,1:41.482,Cooper
33,395,Michael Smith,SUNDAE CUP - FWD,1:42.211,Fit
34,130,James Smith,SUNDAE CUP - RWD,1:42.600,Fit
35,24,Anthony Lusano,CLUB TR - FWD,1:42.604,Civic
36,139,Kevin Head,SUNDAE CUP - FWD,1:42.788,Fit
37,713,Fernando Dahbura,SUNDAE CUP - FWD,1:44.335,Cooper
38,175,Cortland Bailey,STREET MODIFIED - RWD,1:44.404,325is
39,201,Faaez Dar,SUNDAE CUP - FWD,1:44.469,Fit
40,616,Nathan Valdez,STREET - AWD,1:45.149,A3
41,301,Stewart Storm,SUNDAE CUP - FWD,1:45.740,Fit
42,8,Christopher Wolf,SUNDAE CUP - FWD,1:46.010,Fit
43,42,Brandt Vircks,SUNDAE CUP - FWD,1:46.244,Cobalt
44,411,Kyle Carstens,SUNDAE CUP - FWD,1:46.263,Fit
45,235,Anthony Novelli,SUNDAE CUP - FWD,1:46.353,Fit
46,926,James Morgan,SUNDAE CUP - FWD,1:46.420,Fit
47,959,James Wood,TRACK MODIFIED - RWD,1:47.728,318i
48,725,Erik Voelkle,SUNDAE CUP - FWD,1:51.762,Fit
49,277,Brandon Luethye,STREET - AWD,,Golf R
50,93,Derick Hohenshilt,TRACK MODIFIED - FWD,,CR-X
51,137,Lisa Keys,STREET MODIFIED - FWD,,Civic
