RUSH SR Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,56,Ryan Leach,RUSH - RWD,1:38.423,5,5,,25
2,34,Andy Voelkel,RUSH - RWD,1:38.356,5,5,0.569,21
3,7,Nico Bratz,RUSH - RWD,1:39.162,5,5,1.367,18
4,70,James French,RUSH - RWD,1:39.767,5,5,2.802,16
5,33,Ethan Alexander,RUSH - RWD,1:40.364,5,5,0.638,15
6,88,Jaylan Battley,RUSH - RWD,1:40.864,5,5,0.625,14
7,188,Matt Wilson,RUSH - RWD,1:42.481,5,5,0.752,13
8,133,Grant Anderson,RUSH - RWD,1:42.906,5,5,2.695,12
9,58,Bill Wright,RUSH - RWD,1:44.434,5,5,3.016,11
10,53,Evan Shanks,RUSH - RWD,1:44.311,5,5,0.37,10
11,77,Jake Sanders,RUSH - RWD,1:45.379,5,5,2.868,9
12,29,Team End Alzheimers Motorsports,RUSH - RWD,1:46.090,4,5,2.34,8
13,22,Jeremy Boysen,RUSH - RWD,1:47.115,5,5,0.373,7
14,59,Larry Brady,RUSH - RWD,1:45.939,4,5,0.15,6
15,129,Alex Ziegenfus,RUSH - RWD,1:48.130,4,5,1.524,5
DQ,51,Gage Hughes,RUSH - RWD,1:41.846,5,5,2.635,4
17,333,Andrew Lee,RUSH - RWD,1:47.648,5,5,0.617,3
18,300,Grant Ellis,RUSH - RWD,1:52.482,4,5,12.398,2
19,227,Aj Campo,RUSH - RWD,1:51.535,4,5,0.434,1
20,12,Bret Digiacomo,RUSH - RWD,1:43.284,4,5,13.138,0
21,28,Tj Hunt,RUSH - RWD,,0,,5 Laps,0
22,256,Samuel Reed,RUSH - RWD,,0,,0.2,0
DQ,144,Nate Hamilton,RUSH - RWD,1:42.622,4,4,,0
DQ,17,John Howe,RUSH - RWD,,0,,,0
"Penalty, Car 17: Incident Responsibility Major - Disqualified",,,,,,,,
"Penalty, Car 51: Incident Responsibility Minor - Loss of 10 finishing positions",,,,,,,,
"Penalty, Car 144: Incident Responsibility Minor - Loss of 10 finishing positions",,,,,,,,
