RUSH SR Race 2 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,56,Ryan Leach,RUSH - RWD,1:38.009,6,8,,25
2,34,Andy Voelkel,RUSH - RWD,1:38.224,6,8,1.793,21
3,7,Nico Bratz,RUSH - RWD,1:38.378,8,8,0.671,18
4,70,James French,RUSH - RWD,1:39.027,7,8,6.631,16
5,33,Ethan Alexander,RUSH - RWD,1:39.195,6,8,0.095,15
6,88,Jaylan Battley,RUSH - RWD,1:38.840,6,8,0.218,14
7,144,Nate Hamilton,RUSH - RWD,1:41.559,5,8,9.918,13
8,51,Gage Hughes,RUSH - RWD,1:40.295,7,8,0.835,12
9,188,Matt Wilson,RUSH - RWD,1:40.959,7,8,0.676,11
10,12,Bret Digiacomo,RUSH - RWD,1:39.974,8,8,0.167,10
11,28,Tj Hunt,RUSH - RWD,1:42.326,8,8,5.365,9
12,133,Grant Anderson,RUSH - RWD,1:42.061,8,8,0.675,8
13,256,Samuel Reed,RUSH - RWD,1:42.245,8,8,0.18,7
14,53,Evan Shanks,RUSH - RWD,1:42.035,6,8,1.194,6
15,58,Bill Wright,RUSH - RWD,1:42.878,6,8,8.313,5
16,77,Jake Sanders,RUSH - RWD,1:44.061,8,8,4.372,4
17,22,Jeremy Boysen,RUSH - RWD,1:45.031,8,8,0.684,3
18,59,Larry Brady,RUSH - RWD,1:43.560,7,8,0.947,2
19,129,Alex Ziegenfus,RUSH - RWD,1:43.907,5,8,2.426,1
20,333,Andrew Lee,RUSH - RWD,1:45.772,7,8,10.252,0
21,17,John Howe,RUSH - RWD,1:48.652,5,8,13.96,0
22,300,Grant Ellis,RUSH - RWD,1:50.480,8,8,0.955,0
23,227,Aj Campo,RUSH - RWD,1:50.475,5,8,24.539,0
24,29,Team End Alzheimers Motorsports,RUSH - RWD,1:52.606,1,1,7 Laps,0
"Penalty, Car 59 - Incident responsibility - 5 grid spot penalty for Race 3",,,,,,,,
"Penalty, Car 34 - Improper Pace Lap Procedure - Warning",,,,,,,,
