RUSH SR Race 1 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,56,Ryan Leach,RUSH - RWD,1:43.245,7,7,,25
2,34,Andy Voelkel,RUSH - RWD,1:44.689,4,7,0.744,21
3,7,Nico Bratz,RUSH - RWD,1:44.774,6,7,1.946,18
4,33,Ethan Alexander,RUSH - RWD,1:45.260,4,7,7.353,16
5,51,Gage Hughes,RUSH - RWD,1:46.042,6,7,3.804,15
6,144,Nate Hamilton,RUSH - RWD,1:48.022,5,7,22.713,14
7,59,Larry Brady,RUSH - RWD,1:48.410,4,7,2.828,13
8,28,Tj Hunt,RUSH - RWD,1:46.390,5,7,28.706,12
9,53,Evan Shanks,RUSH - RWD,1:47.548,7,7,4.239,11
10,133,Grant Anderson,RUSH - RWD,1:47.631,6,7,9.537,10
11,77,Jake Sanders,RUSH - RWD,1:54.276,7,7,17.675,9
12,88,Jaylan Battley,RUSH - RWD,1:56.923,7,7,3.923,8
13,17,John Howe,RUSH - RWD,1:56.682,7,7,12.043,7
14,29,Team End Alzheimers Motorsports,RUSH - RWD,1:55.587,5,6,1 Lap,6
15,70,James French,RUSH - RWD,2:00.538,5,6,2.316,5
16,333,Andrew Lee,RUSH - RWD,2:04.108,5,6,17.101,4
17,256,Samuel Reed,RUSH - RWD,2:02.928,6,6,2.519,3
18,12,Bret Digiacomo,RUSH - RWD,2:07.065,6,6,19.108,2
19,188,Matt Wilson,RUSH - RWD,2:02.944,6,6,9.565,1
20,22,Jeremy Boysen,RUSH - RWD,2:04.683,6,6,0.865,0
21,300,Grant Ellis,RUSH - RWD,2:10.138,6,6,3.506,0
22,129,Alex Ziegenfus,RUSH - RWD,2:11.421,2,3,3 Laps,0
23,227,Aj Campo,RUSH - RWD,,0,,3 Laps,0
