GLTC Race 3 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,7,Luke Mcgrew,GLTC - RWD,2:31.908,5,6,,25
2,19,Aaron Leichty,GLTC - RWD,2:32.924,5,6,0.979,21
3,3,Erik Meadows,GLTC - RWD,2:32.624,5,6,0.575,18
4,330,Eric Magnussen,GLTC - RWD,2:32.412,5,6,0.404,16
5,41,James Houghton,GLTC - FWD,2:31.773,5,6,3.854,15
6,212,Andy Smedegard,GLTC - RWD,2:33.752,4,6,0.418,14
7,109,Dana Basinski,GLTC - RWD,2:33.173,5,6,0.742,13
8,90,Matt Waldbaum,GLTC - RWD,2:34.788,5,6,5.859,12
9,10,Brian Tyson,GLTC - FWD,2:34.783,4,6,0.208,11
10,72,Scott Heckert,GLTC - RWD,2:33.793,3,6,4.627,10
11,17,Tony Marchev,GLTC - RWD,2:34.158,3,6,0.005,9
12,83,Carlos Mendez,GLTC - RWD,2:34.145,4,6,0.326,8
13,374,Emile Tabb,GLTC - RWD,2:33.780,3,6,0.309,7
14,715,Salil Shukla,GLTC - RWD,2:34.944,6,6,0.744,6
15,40,Jeremy Boysen,GLTC - RWD,2:34.515,3,6,0.675,5
16,46,Ryan Kristoff,GLTC - FWD,2:34.795,4,6,0.622,4
17,28,Peter Zhang,GLTC - RWD,2:34.864,4,6,1.663,3
18,82,Eric Kutil,GLTC - FWD,2:33.728,6,6,0.157,2
19,98,Andrew Rains,GLTC - RWD,2:34.841,5,6,0.158,1
20,917,Lena Chin,GLTC - RWD,2:35.220,6,6,1.37,0
21,4,Adam Ulrich,GLTC - RWD,2:34.822,6,6,1.486,0
22,77,Hans Horpedahl,GLTC - RWD,2:35.602,6,6,1.325,0
23,337,Bryan Leonard,GLTC - RWD,2:36.815,3,6,3.201,0
24,144,Vytis Aranauskas,GLTC - RWD,2:36.079,6,6,1.767,0
25,71,Joel Morrison,GLTC - RWD,2:35.568,3,6,1.278,0
26,241,Tyler Pappas,GLTC - RWD,2:36.431,5,6,2.143,0
27,150,Alex Moss,GLTC - RWD,2:37.798,5,6,1.267,0
28,26,Louis Chatroop,GLTC - RWD,2:37.343,5,6,0.652,0
29,222,Kyle Hale,GLTC - RWD,2:35.914,4,6,1.959,0
30,630,Roy Dietsch,GLTC - RWD,2:37.363,5,6,0.044,0
31,888,Dai Nguyen,GLTC - RWD,2:37.217,4,6,0.067,0
32,162,Eddie Nakato,GLTC - RWD,2:38.780,4,6,10.795,0
33,84,Thomas Lathrop,GLTC - RWD,2:37.982,6,6,2.284,0
34,25,Nicolas Fuller,GLTC - RWD,2:39.341,6,6,1.998,0
35,78,Jason Kanakry,GLTC - RWD,2:39.440,6,6,0.93,0
36,161,Larry Luck,GLTC - RWD,2:41.225,5,6,6.362,0
37,546,Andy Sundeen,GLTC - RWD,2:38.979,4,6,13.785,0
38,11,Jeremy Zeitler,GLTC - FWD,2:41.638,6,6,0.836,0
39,5,Kevin Bandy,GLTC - RWD,2:41.884,5,6,0.125,0
40,860,Nathan Manning,GLTC - RWD,2:46.642,3,6,7.065,0
41,881,Christian Duchesne,GLTC - FWD,2:47.432,5,6,5.199,0
42,177,Justin Lautz,GLTC - RWD,2:39.137,5,5,1 Lap,0
43,202,Jake Price,GLTC - RWD,2:34.806,4,4,1 Lap,0
44,136,Austin Cobb,GLTC - RWD,2:36.907,4,4,5.391,0
45,69,James Forbis,GLTC - RWD,2:49.945,2,2,1 Lap,0
46,155,Michael Pagano,GLTC - RWD,2:49.464,2,2,0.261,0
DQ,245,Ryan Power,GLTC - RWD,2:33.116,6,6,,0
48,43,Joe Tullo,GLTC - RWD,2:41.979,3,3,1 Lap,0
