GLTC/B Race 1 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,86,Jackie Ding,GLTC - FWD,1:00.940,12,12,,3
2,5,Kevin Bandy,GLTC - RWD,1:00.794,11,12,0.43,2
3,159,Joshua Rubenstein,GLTC - RWD,1:00.303,11,12,0.352,1
4,886,Jason Nguyen,GLTC - RWD,1:00.666,11,12,0.661,0
5,404,Donald Lui,GLTC - RWD,1:01.409,4,12,2.298,0
6,105,Brandon Ganem,GLTC - RWD,1:00.451,6,12,0.043,0
7,26,Louis Chatroop,GLTC - RWD,1:02.205,11,12,3.095,0
8,992,Azim Aliriza,GLTC - RWD,1:02.227,12,12,0.45,0
9,515,Thomas Moss,GLTC - RWD,1:01.150,5,12,0.172,0
10,8,Jeff Wasilko,GLTC - RWD,1:01.286,6,12,0.301,0
11,42,Zac Lovoy,GLTC - RWD,1:01.226,3,12,0.318,0
12,51,David Rudzinski,GLTC - FWD,1:02.372,12,12,1.314,0
13,714,Tony Barber,GLTC - RWD,1:01.877,2,12,0.847,0
14,84,Thomas Lathrop,GLTC - RWD,1:02.406,12,12,0.285,0
15,25,Nicolas Fuller,GLTC - RWD,1:02.855,5,12,2.649,0
16,161,Larry Luck,GLTC - RWD,1:03.791,3,12,4.764,0
17,179,Patrick Huxley,GLTC - FWD,1:03.294,4,12,0.189,0
18,120,Cyndie Picotte,GLTC - FWD,1:12.264,5,11,1 Lap,0
19,65,Eric Thompson,GLTC - AWD,1:01.404,3,3,8 Laps,0
20,311,Jose Santacruz,GLTC - FWD,1:12.216,3,3,12:03.452,0
21,162,Eddie Nakato,GLTC - RWD,1:04.107,2,2,1 Lap,0
22,131,Lisa Keyes,GLTC - FWD,1:12.206,1,1,1 Lap,0
23,205,Matias Arias,GLTC - FWD,1:13.479,1,1,1.835,0
