GLTC/A Race 1 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,41,James Houghton,GLTC - FWD,58.803,9,13,,25
2,484,Matan Rosenberg,GLTC - RWD,58.834,10,13,0.195,21
3,17,Tony Marchev,GLTC - RWD,58.981,9,13,3.178,18
4,49,Nicholas Barbato,GLTC - RWD,59.161,10,13,0.992,16
5,917,Lena Chin,GLTC - RWD,59.059,10,13,1.02,15
6,99,Ronnie Vajdak,GLTC - FWD,59.121,11,13,0.851,14
7,374,Emile Tabb,GLTC - RWD,59.575,11,13,3.171,13
8,90,Matt Waldbaum,GLTC - RWD,59.092,13,13,1.072,12
9,184,Eric Jensen,GLTC - RWD,59.456,13,13,0.748,11
10,72,Scott Heckert,GLTC - RWD,1:00.121,4,13,3.847,10
11,28,Peter Zhang,GLTC - RWD,1:00.063,3,13,1.034,9
12,715,Salil Shukla,GLTC - RWD,1:00.408,4,13,0.645,8
13,3,Erik Meadows,GLTC - RWD,1:00.114,4,13,0.882,7
14,77,Hans Horpedahl,GLTC - RWD,1:00.514,4,13,0.095,6
15,241,Tyler Pappas,GLTC - RWD,1:00.198,3,13,0.101,5
16,83,Carlos Mendez,GLTC - RWD,1:00.259,3,13,0.51,4
17,52,Mackenzie Korince,GLTC - FWD,1:00.498,4,13,0.638,3
18,330,Eric Magnussen,GLTC - RWD,1:00.364,4,13,0.501,2
19,85,Samuel Scott,GLTC - RWD,1:00.165,4,13,0.24,1
20,213,Scott Robertson,GLTC - RWD,1:00.615,4,13,0.349,0
21,212,Andy Smedegard,GLTC - RWD,1:00.207,4,13,4.202,0
22,155,Michael Pagano,GLTC - RWD,1:00.289,3,13,3.719,0
23,45,Colton Wade,GLTC - RWD,59.959,13,13,2.428,0
24,82,Eric Kutil,GLTC - FWD,59.901,4,11,2 Laps,0
25,202,Jake Price,GLTC - RWD,59.883,4,5,6 Laps,0
26,55,Paul Darling,GLTC - RWD,59.248,3,3,2 Laps,0
27,204,Lealand Wamboldt,GLTC - FWD,,0,,3 Laps,0
DQ,243,Kevin Zhu,GLTC - FWD,59.521,10,13,,0
