GLTC/B Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,886,Jason Nguyen,GLTC - RWD,1:00.131,7,9,,3
2,42,Zac Lovoy,GLTC - RWD,1:00.546,6,9,0.697,2
3,515,Thomas Moss,GLTC - RWD,1:00.523,6,9,3.23,1
4,330,Eric Magnussen,GLTC - RWD,59.635,8,9,2.097,0
5,714,Tony Barber,GLTC - RWD,1:01.648,7,9,1.835,0
6,26,Louis Chatroop,GLTC - RWD,1:02.273,8,9,2.261,0
7,11,Jeremy Zeitler,GLTC - FWD,1:02.156,8,9,0.146,0
8,992,Azim Aliriza,GLTC - RWD,1:01.887,8,9,3.094,0
9,39,Christopher Schooler,GLTC - RWD,1:01.491,8,9,0.046,0
10,84,Thomas Lathrop,GLTC - RWD,1:02.640,9,9,1.958,0
11,161,Larry Luck,GLTC - RWD,1:02.665,9,9,0.812,0
12,8,Jeff Wasilko,GLTC - RWD,1:02.558,9,9,0.095,0
13,25,Nicolas Fuller,GLTC - RWD,1:02.813,9,9,0.559,0
14,179,Patrick Huxley,GLTC - FWD,1:02.625,9,9,0.992,0
15,120,Cyndie Picotte,GLTC - FWD,1:08.978,9,9,28.637,0
16,83,Carlos Mendez,GLTC - RWD,1:03.397,6,6,1 Lap,0
17,5,Kevin Bandy,GLTC - RWD,,0,,6 Laps,0
DQ,205,Matias Arias,GLTC - FWD,1:02.418,8,9,0.248,0
DQ,51,David Rudzinski,GLTC - FWD,1:02.555,8,9,2.328,0
DQ,311,Jose Santacruz,GLTC - FWD,1:02.690,9,9,0.531,0
DQ,37,Bryan Leonard,GLTC - RWD,59.579,8,9,0.041,0
DQ,162,Eddie Nakato,GLTC - RWD,1:01.051,7,9,2.432,0
DQ,243,Kevin Zhu,GLTC - FWD,1:00.452,6,7,2 Laps,0
