GLTC Race 2 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,41,James Houghton,GLTC - FWD,1:35.750,2,7,,25
2,3,Jeremy Swenson,GLTC - RWD,1:35.586,3,7,0.950,21
3,7,Luke Mcgrew,GLTC - RWD,1:36.154,3,7,0.852,18
4,90,Matt Waldbaum,GLTC - RWD,1:36.366,2,7,1.158,16
5,34,Austin Hertel,GLTC - RWD,1:36.294,2,7,1.208,15
6,129,James Cathers,GLTC - RWD,1:36.671,2,7,2.203,14
7,55,Paul Darling,GLTC - RWD,1:36.961,2,7,0.828,13
8,1,Gary Wimble,GLTC - RWD,1:36.829,3,7,1.425,12
9,99,Ronnie Vajdak,GLTC - FWD,1:36.982,2,7,0.812,11
10,2,Erik Meadows,GLTC - RWD,1:37.617,3,7,1.379,10
11,132,Jake Joraanstad,GLTC - RWD,1:37.564,3,7,0.608,9
12,374,Emile Tabb,GLTC - RWD,1:37.149,3,7,0.903,8
13,917,Lena Chin,GLTC - RWD,1:37.526,3,7,0.875,7
14,42,Zac Lovoy,GLTC - RWD,1:37.633,3,7,1.081,6
15,17,Tony Marchev,GLTC - RWD,1:37.896,3,7,0.613,5
16,166,Ben Thorn,GLTC - FWD,1:38.029,3,7,0.914,4
17,184,Eric Jensen,GLTC - RWD,1:37.964,3,7,1.588,3
18,410,Shukla Salil,GLTC - RWD,1:38.766,3,7,1.169,2
19,202,Jacob Price,GLTC - RWD,1:38.499,2,7,0.733,1
20,4,Adam Ulrich,GLTC - RWD,1:38.541,3,7,0.749,0
21,71,Joel Morrison,GLTC - RWD,1:39.027,3,7,0.845,0
22,40,Jeremy Boysen,GLTC - FWD,1:38.636,3,7,2.010,0
23,207,Adam Wood,GLTC - AWD,1:38.961,3,7,1.774,0
24,14,Carlos Mendez,GLTC - RWD,1:39.484,3,7,1.080,0
25,85,Samuel Scott,GLTC - RWD,1:40.888,3,7,0.830,0
26,911,Julio Crispin,GLTC - RWD,1:40.360,3,7,0.668,0
27,243,Kevin Zhu,GLTC - FWD,1:40.690,3,7,1.637,0
28,187,Chris Adams,GLTC - RWD,1:40.642,3,7,0.624,0
29,52,Mackenzie Korince,GLTC - FWD,1:40.068,3,7,1.626,0
30,546,Andy Sundeen,GLTC - RWD,1:40.600,3,7,0.912,0
31,169,Derek King,GLTC - RWD,1:40.625,3,7,1.232,0
32,171,Clayton Fitzpatrick,GLTC - RWD,1:41.724,3,7,1.642,0
33,203,Austin Leiphart,GLTC - RWD,1:44.980,1,7,1.002,0
34,860,Nathan Manning,GLTC - RWD,1:44.227,2,7,1.277,0
35,888,Dai Nguyen,GLTC - RWD,1:43.409,3,7,1.794,0
36,261,Brad Kosiba,GLTC - RWD,1:41.654,3,7,0.987,0
37,77,Myriad Motorsports,GLTC - RWD,1:42.167,1,6,1 Lap,0
38,32,Regular Guy Racing,GLTC - RWD,1:46.184,1,4,2 Laps,0
39,515,Thomas Moss,GLTC - RWD,1:41.151,3,7,0.960,0
40,541,Seth Gale,GLTC - FWD,1:43.901,1,1,3 Laps,0
DQ,484,Matan Rosenberg,GLTC - RWD,1:35.767,3,7,,0
