Heat 2 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartoumy,UNLIMITED - RWD,2:10.374,Corvette
2,86,Jackie Ding,STREET MOD - RWD,2:18.077,Supra #TA90
3,30,Steve Luca,UNLIMITED - RWD,2:19.199,Mustang
4,45,Dan Kroll,UNLIMITED - AWD,2:21.337,STi
5,460,Grant Walker,TRACK MOD - RWD,2:22.152,Miata
6,991,Jimmy Rauck,TRACK MOD - RWD,2:22.388,GT2RS
7,52,Nicholas Gardner,UNLIMITED - RWD,2:23.275,GT500
8,140,Arthur Soltys,Unlimited -,2:23.374,CS
9,150,Alex Moss,STREET MOD - RWD,2:26.219,S2000
10,79,Nicholas Kohrs,STREET MOD - FWD,2:27.859,Civic Si
11,123,Christopher Bickford,UNLIMITED - RWD,2:28.762,Camaro ZL1 1LE
12,242,Erik Pylypchuk,UNLIMITED - RWD,2:29.101,335i
13,6,Michael Aumick,STREET MOD - AWD,2:29.273,Sti
14,77,Alex Artayet,STREET GT - RWD,2:30.392,M3
15,87,Team Twitch,STREET - RWD,2:31.595,M3
16,437,Cory Ross,TRACK MOD - RWD,2:32.487,M3
17,199,Jess Moeding,SUPER UNLIMITED - RWD,2:32.628,ASA
18,120,Steve Loudin,TRACK MOD - RWD,2:32.728,Corvette ZR1
19,575,Clay Davidson,STREET MOD - RWD,2:32.794,Mustang
20,814,Matt Samojedny,TRACK MOD - RWD,2:33.583,M3
21,773,Keenan Prusank,STREET GT - RWD,2:33.643,CAMARO SS 1LE
22,55,Charles Miller,STREET - AWD,2:34.086,Evo 9
23,44,Joel Phillips,TRACK MOD - RWD,2:34.145,991
24,625,samel meseljevic,STREET - RWD,2:34.203,350Z Nismo
25,171,ANDRIUS BERTULIS,UNLIMITED - RWD,2:34.246,RC F
26,942,Zachary Lovoy,TRACK MOD - RWD,2:34.319,M3
27,346,Nick Piper,TRACK MOD - RWD,2:34.725,M3
28,363,Michael Kubiak,STREET GT - RWD,2:35.236,Corvette Z06
29,931,Brad Moore,STREET GT - RWD,2:35.410,M2
30,351,Michael Barnes,STREET GT - RWD,2:36.132,Shelby GT350
31,226,Jerry Liu,STREET GT - RWD,2:36.198,Supra
32,255,Ryan Seiler,CLUB TR - RWD,2:36.499,S2000
33,2,Ryan Dussex,UNLIMITED - AWD,2:37.712,Impreza
34,241,Lali Nyiri,Track Mod -,2:37.742,GTR
35,9,Drew Turner,CLUB TR - RWD,2:38.677,S2000
36,27,Ken Devriese,CLUB TR - RWD,2:38.817,S2000
37,629,Jiaqi Li,STREET GT - RWD,2:39.041,Giulia
38,194,Christopher Mayfield,TRACK MOD - RWD,2:39.268,S2000
39,13,Jerami Bailey,STREET MOD - RWD,2:40.373,Frs
40,107,Andre Wenzel,STREET MOD - RWD,2:40.432,Rx7
41,270,Max Rooney,CLUB TR - FWD,2:41.190,Civic Si
42,900,Ian Creps,STREET - FWD,2:41.783,Type R
43,7,Joshua Halka,STREET - AWD,2:41.888,Impreza WRX
44,527,Jackson Jensen,CLUB TR - RWD,2:42.110,S2000
45,207,Adam Wood,STREET - AWD,2:42.681,Impreza
46,38,Ernestas Puzelis,TRACK MOD - RWD,2:43.252,370Z
47,373,Ivan Onofriiciuc,STREET MOD - RWD,2:43.334,370z
48,621,Troy Mass,STREET - RWD,2:43.370,BRZ
49,106,Jason Kanakry,STREET GT - RWD,2:43.623,M3
50,777,Team D Squared,CLUB TR - RWD,2:44.456,BRZ
51,46,Nehru Cheddie,STEET - RWD,2:45.120,e46 M3
52,510,Piero Pucci,STREET MOD - AWD,2:45.355,Evolution 8
53,700,Tom Halka,STREET - AWD,2:45.372,2.5 RS
54,941,Justin Tilus,CLUB TR - FWD,2:45.637,Civic Si
55,747,John Butler,STREET - RWD,2:45.707,M3
56,234,Brad Riemann,STREET - AWD,2:46.592,Focus RS
57,623,Stan Fayngold,STREET - RWD,2:47.729,370Z
58,177,Michael Neat,STREET MOD - RWD,2:48.561,FR-S
59,203,Austin Leiphart,CLUB TR - RWD,2:50.052,Mx-5
60,726,Jacob Abbott,CLUB TR - AWD,2:51.222,Impreza
61,124,PhD Racing V-Lobster,STREET - FWD,2:51.910,Veloster N
62,48,Torry Skurski,STREET - RWD,2:56.050,328i
63,230,Team NRB,CLUB TR - FWD,2:56.459,Celica
64,47,Nicholas Lucchesi,STREET - FWD,3:00.017,Civic
65,440,Taylor Steck,STREET - RWD,3:01.237,350z
66,411,Hard Times Racing,SUNDAE CUP - FWD,3:01.795,Fit
67,395,Michael Smith,SUNDAE CUP - FWD,3:01.865,Fit
68,474,Derek Durkee,Club TR - AWD,3:05.354,CooperS
69,969,Peter Lindberg,SUNDAE CUP - FWD,3:06.680,FIT
70,594,Rory Lonergan,SUNDAE CUP - FWD,3:07.792,Fit
71,926,James Morgan,SUNDAE CUP - FWD,3:08.038,Fit
72,716,Mike Mills,SUNDAE CUP - FWD,3:08.828,Fiesta
73,139,Team Brap,SUNDAE CUP - FWD,3:10.087,Fit
74,433,Bob Miller,SUNDAE CUP - FWD,3:10.899,Rio
75,675,Adam Jabaay,SUNDAE CUP - FWD,3:11.007,Fit
76,145,Devin Hoffman,STREET MOD - AWD,,WRX STI
77,62,Brian Blaine,TRACK MOD - RWD,,Rx7
78,35,Alex Westergaard,STREET MOD - RWD,,S2000
79,571,Mike DuSold,UNLIMITED - RWD,,Camaro
