GLTC Race 2 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,41,James Houghton,GLTC - FWD,1:55.357,4,7,,25
2,212,Team ASM,GLTC - RWD,1:55.473,2,7,1.417,21
3,484,Matan Rosenberg,GLTC - RWD,1:55.456,5,7,0.465,18
4,3,Erik Meadows,GLTC - RWD,1:56.590,4,7,4.321,16
5,17,Tony Marchev,GLTC - RWD,1:56.330,4,7,0.269,15
6,90,Matt Waldbaum,GLTC - RWD,1:56.629,4,7,2.799,14
7,184,Eric Jensen,GLTC - RWD,1:56.562,5,7,2.557,13
8,129,James Cathers,GLTC - RWD,1:57.223,3,7,2.883,12
9,74,Erik Dallariva,GLTC - FWD,1:57.383,5,7,4.423,11
10,374,Emile Tabb,GLTC - RWD,1:57.500,5,7,1.042,10
11,28,Peter Zhang,GLTC - RWD,1:57.604,2,7,1.805,9
12,1,Gary Wimble,GLTC - RWD,1:57.411,3,7,0.643,8
13,50,Tony Barber,GLTC - RWD,1:58.531,4,7,6.755,7
14,824,Bryan Hedian,GLTC - RWD,1:58.243,4,7,0.328,6
15,49,Nicholas Barbato,GLTC - RWD,1:58.448,4,7,0.274,5
16,42,Zac Lovoy,GLTC - RWD,1:59.206,4,7,2.071,4
17,159,Joshua Rubenstein,GLTC - RWD,1:59.213,5,7,0.492,3
18,83,Carlos Mendez,GLTC - RWD,1:59.678,6,7,2.544,2
19,144,Vytis Aranauskas,GLTC - RWD,1:59.834,4,7,1.348,1
20,99,Ronnie Vajdak,GLTC - RWD,1:58.534,4,7,0.428,0
21,77,Hans Horpedahl,GLTC - RWD,1:58.524,4,7,4.728,0
22,213,Scott Robertson,GLTC - RWD,1:59.538,4,7,0.659,0
23,46,Ryan Kristoff,GLTC - FWD,1:58.834,4,7,0.348,0
24,204,Lealand Wamboldt,GLTC - FWD,1:58.889,7,7,4.528,0
25,78,Jason Kanakry,GLTC - RWD,2:00.087,4,7,2.240,0
26,917,Lena Chin,GLTC - RWD,1:58.701,4,7,0.010,0
27,84,Thomas Lathrop,GLTC - RWD,2:00.663,5,7,3.624,0
28,25,Nicolas Fuller,GLTC - RWD,2:01.683,4,7,4.325,0
29,11,Jeremy Zeitler,GLTC - FWD,2:01.678,6,7,0.299,0
30,888,Dai Nguyen,GLTC - RWD,1:59.919,7,7,2.510,0
31,40,Jeremy Boysen,GLTC - RWD,1:58.584,5,7,1.986,0
32,100,Andrew Cowden,GLTC - RWD,2:04.827,5,7,11.636,0
33,594,Rory Lonergan,GLTC - RWD,2:03.895,7,7,2.281,0
34,121,Daniel Dennehy,GLTC - FWD,2:08.686,7,7,28.330,0
35,82,Eric Kutil,GLTC - FWD,1:56.754,3,6,1 Lap,0
36,541,Matthew Harbert,GLTC - FWD,2:05.871,3,5,1 Lap,0
37,131,Lisa Keyes,GLTC - FWD,2:04.345,4,4,1 Lap,0
38,515,Thomas Moss,GLTC - RWD,2:03.790,3,3,1 Lap,0
39,243,Kevin Zhu,GLTC - FWD,1:59.415,2,2,1 Lap,0
40,85,Samuel Scott,GLTC - RWD,2:07.665,1,1,1 Lap,0
41,715,Team Quality Time Racing,GLTC - RWD,,0,,1 Lap,0
