TrackBattle Heat 3 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,921,Jim Rauck,UNLIMITED - FWD,52.586,CIVIC
2,150,Alex Moss,STREET MOD - RWD,55.450,S2000
3,212,Chris Smith,TRACK MOD - RWD,55.464,1 SERIES
4,33,Chris Boersma,TRACK MOD - FWD,55.698,CIVIC
5,70,Dewey Dewitt,STREET MOD - AWD,55.785,IMPREZA
6,93,John Veloso,SUPER UNLIMITED - RWD,56.498,NSX
7,379,Jake Ertel,UNLIMITED - RWD,56.624,CORVETTE
8,369,Igor Kesilyov,TRACK MOD - AWD,56.641 DQ,MODEL S
9,14,Kal Fortner,STREET MOD - RWD,56.765,MERCEDES-AMG GT
10,114,Bronson Mcnemar,TRACK MOD - RWD,57.274,MX-5 MIATA
11,125,Jeremy Lowder,UNLIMITED - RWD,57.648,CAMARO
12,540,Bucky Lasek,TRACK MOD - AWD,57.713,WRX
13,211,Ryan Mathews,STREET GT - RWD,57.804,CORVETTE
14,511,Peter Granberg,CLUB TR - RWD,57.977,BRZ
15,909,Mark Kilgore,STREET GT - RWD,58.195,M4
16,514,Evan Mclaren,CLUB TR - FWD,58.366,INTEGRA
17,777,Joshua Halka,STREET - AWD,58.875,IMPREZA
18,230,Daniel Persing,CLUB TR - RWD,59.772,BRZ
19,997,Jason Gaydos,CLUB TR - RWD,59.773,BRZ
20,13,Jerami Bailey,CLUB TR - RWD,59.921,FR-S
21,868,Steven Cheng,STREET GT - RWD,1:00.071,M3
22,327,Daley Pagano,STREET GT - RWD,1:00.200,M4
23,244,Mike Burroughs,TRACK MOD - RWD,1:00.269,244 GTK
24,15,Adam Wrobel,CLUB TR - FWD,1:00.282,INTEGRA
25,241,Dariush Lotfi,CLUB TR - RWD,1:00.482,MX-5 MIATA
26,387,Clay Coughlin,SUPER UNLIMITED - RWD,1:00.713,Cardinal
27,470,Eddy Segal,STREET - FWD,1:00.721,CIVIC TYPE R
28,442,Logan Geyer,CLUB TR - RWD,1:00.929,BRZ
29,145,Devin Hofmann,STREET MOD - AWD,1:00.955,WRX
30,218,Jason Mulderig,CLUB TR - RWD,1:01.007,S2000
31,238,Garrett Gloceri,CLUB TR - RWD,1:01.091,RX-8
32,69,Cody Umbaugh,STREET - FWD,1:01.115,CIVIC TYPE R
33,40,Ben Bulthuis,STREET GT - RWD,1:01.189,GR SUPRA
34,76,Ethan Brown,STREET MOD - FWD,1:01.325,GTI
35,156,Mike Janssen,STREET GT - AWD,1:01.389,M3
36,669,Carlos Alvarez,STREET GT - RWD,1:01.545,M2
37,127,Mark Johnson,UNLIMITED - RWD,1:01.776,CIVIC
38,80,Chris Nahill,STREET - FWD,1:01.866,CIVIC
39,2,Connor Gallagher,STREET GT - AWD,1:01.977,GT-R
40,541,Chuck Mayer,STREET - AWD,1:02.230,IMPREZA
41,203,Christopher Gaydos,UNLIMITED - RWD,1:02.349,M3
42,71,Kevin Horn,CLUB TR - RWD,1:02.398,FR-S
43,48,Jeremy Hensley,STREET - AWD,1:02.633,IMPREZA
44,67,Jonathan Denk,STREET MOD - FWD,1:02.741,CIVIC
45,915,Dylan Rodgers,CLUB TR - RWD,1:02.818,MX-5 MIATA
46,432,Connor Omara,CLUB TR - AWD,1:02.969,R32
47,401,Sean Sullivan,STREET - FWD,1:02.979,GOLF GTI
48,7,Thomas Halka,STREET - AWD,1:03.213,IMPREZA
49,198,Bruce Yhun,CLUB TR - FWD,1:03.285,CIVIC
50,534,Max Gourley,STREET MOD - AWD,1:03.443,WRX
51,818,Jonny Grunwald,TRACK MOD - RWD,1:04.036,RX-7
52,370,Sam Deuling,CLUB SC - FWD,1:04.582,FIT
53,412,Austin Obrien,CLUB SC - FWD,1:04.625 DQ,FIT
54,357,Luis Rodriguez,CLUB SC - FWD,1:05.355,FIT
55,328,Dominick Tucci,STREET MOD - FWD,1:06.223,FIESTA
56,981,Tim Pforzheimer,CLUB SC - FWD,1:06.494,FIT
57,122,Jason Davidson,CLUB SC - FWD,1:06.532,FIT
58,744,Ian Stone,CLUB SC - FWD,1:07.128,FIT
59,986,Jeff Daniels,STREET MOD - AWD,1:07.680,OUTBACK
60,888,Amos Winter,STREET - RWD,1:08.384,911 SC
61,167,Michael Kosior,STREET MOD - AWD,,LANCER
Penalty Car 412: Failure to Self Report for 4-wheels Off - Invalidate all session times *rescinded,,,,,
Penalty Car 357: Failure to Self Report for 4-wheels Off - Invalidate all session times *rescinded,,,,,
Penalty Car 494: Change of chassis and class - Invalidate all times Heat 1-5,,,,,
"Penalty Car 412: Impound Violation, Class Compliance - Invalidate all times Heat 1-5",,,,,
"Penalty Car 369: Impound Violation, Class Compliance - Invalidate all times Heat 1-5",,,,,
,,,,,Official Results 8/16 9:42
