TrackBattle Heat 1 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,687,Jackie Ding,TRACK MOD - RWD,54.186,M2
2,921,Jim Rauck,UNLIMITED - FWD,DQ 54.313,CIVIC
3,70,Dewey Dewitt,STREET MOD - AWD,54.648,IMPREZA
4,33,Chris Boersma,TRACK MOD - FWD,55.264,CIVIC
5,369,Igor Kesilyov,TRACK MOD - AWD,56.08 DQ,MODEL S
6,14,Kal Fortner,STREET MOD - RWD,56.264,MERCEDES-AMG GT
7,212,Chris Smith,TRACK MOD - RWD,56.39,1 SERIES
8,379,Jake Ertel,UNLIMITED - RWD,56.416,CORVETTE
9,150,Alex Moss,STREET MOD - RWD,56.442,S2000
10,364,Nicholas Hendrix,STREET GT - RWD,56.756,CORVETTE
11,511,Peter Granberg,CLUB TR - RWD,56.855,BRZ
12,211,Ryan Mathews,STREET GT - RWD,57.007,CORVETTE
13,125,Jeremy Lowder,UNLIMITED - RWD,57.417,CAMARO
14,514,Evan Mclaren,CLUB TR - FWD,57.538,INTEGRA
15,63,Rich Kirouac,UNLIMITED - RWD,57.859,CORVETTE
16,55,Paul Darling,TRACK MOD - RWD,57.882,M3
17,909,Mark Kilgore,STREET GT - RWD,58.079,M4
18,868,Steven Cheng,STREET GT - RWD,58.183,M3
19,220,Jesse Echanique,TRACK MOD - AWD,58.407,ECLIPSE
20,167,Michael Kosior,STREET MOD - AWD,58.764,LANCER
21,230,Daniel Persing,CLUB TR - RWD,58.817,BRZ
22,518,Michael Budai,CLUB TR - FWD,59.093,CIVIC
23,540,Bucky Lasek,TRACK MOD - AWD,59.297,WRX
24,387,Clay Coughlin,SUPER UNLIMITED - RWD,59.314,Cardinal
25,669,Carlos Alvarez,STREET GT - RWD,59.413,M2
26,777,Joshua Halka,STREET - AWD,59.434,IMPREZA
27,327,Daley Pagano,STREET GT - RWD,59.477,M4
28,997,Jason Gaydos,CLUB TR - RWD,59.528,BRZ
29,241,Dariush Lotfi,CLUB TR - RWD,59.547,MX-5 MIATA
30,218,Jason Mulderig,CLUB TR - RWD,59.601,S2000
31,244,Mike Burroughs,TRACK MOD - RWD,59.764,244 GTK
32,127,Mark Johnson,UNLIMITED - RWD,59.904,CIVIC
33,13,Jerami Bailey,CLUB TR - RWD,59.935,FR-S
34,470,Eddy Segal,STREET - FWD,1:00.147,CIVIC TYPE R
35,42,Logan Geyer,CLUB TR - RWD,1:00.160,BRZ
36,238,Garrett Gloceri,CLUB TR - RWD,1:00.307,RX-8
37,71,Kevin Horn,CLUB TR - RWD,1:00.311,FR-S
38,494,Tom Ogorman,TRACK MOD - RWD,1:00.316 DQ,442
39,145,Devin Hofmann,STREET MOD - AWD,1:00.464,WRX
40,2,Connor Gallagher,STREET GT - AWD,1:00.517,GT-R
41,15,Adam Wrobel,CLUB TR - FWD,1:00.658,INTEGRA
42,69,Cody Umbaugh,STREET - FWD,1:00.805,CIVIC TYPE R
43,114,Bronson Mcnemar,TRACK MOD - RWD,1:00.877,MX-5 MIATA
44,80,Chris Nahill,STREET - FWD,1:01.654,CIVIC
45,48,Jeremy Hensley,STREET - AWD,1:01.718,IMPREZA
46,40,Ben Bulthuis,STREET GT - RWD,1:01.840,GR SUPRA
47,915,Dylan Rodgers,CLUB TR - RWD,1:01.987,MX-5 MIATA
48,262,Noah Janke,CLUB TR - RWD,1:02.043,MR2
49,541,Chuck Mayer,STREET - AWD,1:02.180,IMPREZA
50,203,Christopher Gaydos,UNLIMITED - RWD,1:02.190,M3
51,156,Mike Janssen,STREET GT - AWD,1:02.674,M3
52,198,Bruce Yhun,CLUB TR - FWD,1:02.750,CIVIC
53,67,Jonathan Denk,STREET MOD - FWD,1:03.201,CIVIC
54,412,Austin Obrien,CLUB SC - FWD,1:03.856 DQ,FIT
55,432,Connor Omara,CLUB TR - AWD,1:03.909,R32
56,370,Sam Deuling,CLUB SC - FWD,1:04.014,FIT
57,401,Sean Sullivan,STREET - FWD,1:04.464,GOLF GTI
58,973,Luke Paglione,CLUB TR - FWD,1:05.747,INTEGRA
59,534,Max Gourley,STREET MOD - AWD,1:05.772,WRX
60,357,Luis Rodriguez,CLUB SC - FWD,1:06.328,FIT
61,981,Tim Pforzheimer,CLUB SC - FWD,1:06.414,FIT
62,122,Jason Davidson,CLUB SC - FWD,1:06.452,FIT
63,744,Ian Stone,CLUB SC - FWD,1:06.904,FIT
64,7,Thomas Halka,STREET - AWD,1:07.551,IMPREZA
65,986,Jeff Daniels,STREET MOD - AWD,1:08.781,OUTBACK
66,328,Dominick Tucci,STREET MOD - FWD,1:09.029,FIESTA
67,888,Amos Winter,STREET - RWD,1:09.951,911 SC
68,444,Mark Gaydos,TRACK MOD - RWD,1:11.270,3 SERIES
69,343,Matthew Reinhart,CLUB SC - FWD,,FIT
70,93,John Veloso,SUPER UNLIMITED - RWD,,NSX
Penalty Car 921: Pass Under Yellow - Disallow all times in session,,,,,
Penalty Car 494: Change of chassis and class - Invalidate all times Heat 1-5,,,,,
"Penalty Car 412: Impound Violation, Class Compliance - Invalidate all times Heat 1-5",,,,,
"Penalty Car 369: Impound Violation, Class Compliance - Invalidate all times Heat 1-5",,,,,
,,,,,Officials results 8/15 11:13
