TrackBattle Heat 5 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,921,Jim Rauck,UNLIMITED - FWD,52.449,CIVIC
2,33,Chris Boersma,TRACK MOD - FWD,55.109,CIVIC
3,369,Igor Kesilyov,TRACK MOD - AWD,55.172 DQ,MODEL S
4,212,Chris Smith,TRACK MOD - RWD,55.349,1 SERIES
5,150,Alex Moss,STREET MOD - RWD,56.056,S2000
6,125,Jeremy Lowder,UNLIMITED - RWD,56.320,CAMARO
7,14,Kal Fortner,STREET MOD - RWD,56.606,MERCEDES-AMG GT
8,114,Bronson Mcnemar,TRACK MOD - RWD,56.778,MX-5 MIATA
9,93,John Veloso,SUPER UNLIMITED - RWD,57.062,NSX
10,211,Ryan Mathews,STREET GT - RWD,57.481,CORVETTE
11,364,Nicholas Hendrix,STREET GT - RWD,57.695,CORVETTE
12,540,Bucky Lasek,TRACK MOD - AWD,57.780,WRX
13,909,Mark Kilgore,STREET GT - RWD,57.795,M4
14,777,Joshua Halka,STREET - AWD,57.838,IMPREZA
15,514,Evan Mclaren,CLUB TR - FWD,57.977,INTEGRA
16,511,Peter Granberg,CLUB TR - RWD,58.186,BRZ
17,868,Steven Cheng,STREET GT - RWD,58.237,M3
18,220,Jesse Echanique,TRACK MOD - AWD,58.259,ECLIPSE
19,494,Tom Ogorman,TRACK MOD - RWD,59.005 DQ,442
20,13,Jerami Bailey,CLUB TR - RWD,59.162,FR-S
21,518,Michael Budai,CLUB TR - FWD,59.389,CIVIC
22,230,Daniel Persing,CLUB TR - RWD,59.430,BRZ
23,534,Max Gourley,STREET MOD - AWD,59.603,WRX
24,145,Devin Hofmann,STREET MOD - AWD,59.809,WRX
25,15,Adam Wrobel,CLUB TR - FWD,59.880,INTEGRA
26,327,Daley Pagano,STREET GT - RWD,1:00.086,M4
27,387,Clay Coughlin,SUPER UNLIMITED - RWD,1:00.163,Cardinal
28,470,Eddy Segal,STREET - FWD,1:00.178,CIVIC TYPE R
29,218,Jason Mulderig,CLUB TR - RWD,1:00.351,S2000
30,40,Ben Bulthuis,STREET GT - RWD,1:00.372,GR SUPRA
31,241,Dariush Lotfi,CLUB TR - RWD,1:00.419,MX-5 MIATA
32,997,Jason Gaydos,CLUB TR - RWD,1:00.428,BRZ
33,973,Luke Paglione,CLUB TR - FWD,1:00.438,INTEGRA
34,156,Mike Janssen,STREET GT - AWD,1:00.531,M3
35,244,Mike Burroughs,TRACK MOD - RWD,1:00.594,244 GTK
36,238,Garrett Gloceri,CLUB TR - RWD,1:00.712,RX-8
37,442,Logan Geyer,CLUB TR - RWD,1:00.933,BRZ
38,48,Jeremy Hensley,STREET - AWD,1:01.126,IMPREZA
39,203,Christopher Gaydos,UNLIMITED - RWD,1:01.132,M3
40,71,Kevin Horn,CLUB TR - RWD,1:01.245,FR-S
41,67,Jonathan Denk,STREET MOD - FWD,1:01.301,CIVIC
42,669,Carlos Alvarez,STREET GT - RWD,1:01.384,M2
43,76,Ethan Brown,STREET MOD - FWD,1:01.459,GTI
44,80,Chris Nahill,STREET - FWD,1:01.862,CIVIC
45,7,Thomas Halka,STREET - AWD,1:02.040,IMPREZA
46,69,Cody Umbaugh,STREET - FWD,1:02.087,CIVIC TYPE R
47,541,Chuck Mayer,STREET - AWD,1:02.137,IMPREZA
48,915,Dylan Rodgers,CLUB TR - RWD,1:02.427,MX-5 MIATA
49,262,Noah Janke,CLUB TR - RWD,1:03.010,MR2
50,432,Connor Omara,CLUB TR - AWD,1:03.056,R32
51,198,Bruce Yhun,CLUB TR - FWD,1:03.184,CIVIC
52,370,Sam Deuling,CLUB SC - FWD,1:04.402,FIT
53,412,Austin Obrien,CLUB SC - FWD,1:04.475 DQ,FIT
54,357,Luis Rodriguez,CLUB SC - FWD,1:05.121,FIT
55,401,Sean Sullivan,STREET - FWD,1:05.922,GOLF GTI
56,986,Jeff Daniels,STREET MOD - AWD,1:05.956,OUTBACK
57,122,Jason Davidson,CLUB SC - FWD,1:06.280,FIT
58,981,Tim Pforzheimer,CLUB SC - FWD,1:06.414,FIT
59,744,Ian Stone,CLUB SC - FWD,1:06.805,FIT
60,888,Amos Winter,STREET - RWD,1:07.280,911 SC
61,343,Matthew Reinhart,CLUB SC - FWD,1:12.007,FIT
62,82,Jaime Santos,STREET MOD - RWD,,1 SERIES
63,328,Dominick Tucci,STREET MOD - FWD,,FIESTA
64,379,Jake Ertel,UNLIMITED - RWD,,CORVETTE
Penalty Car 82: Failure to self report 4 off - Session Invalidated,,,,,
Penalty Car 494: Change of chassis and class - Invalidate all times Heat 1-5,,,,,
"Penalty Car 412: Impound Violation, Class Compliance - Invalidate all times Heat 1-5",,,,,
"Penalty Car 369: Impound Violation, Class Compliance - Invalidate all times Heat 1-5",,,,,
,,,,,Official 8/16 14:29
