TrackBattle Heat 1 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,304,Allen Patten,TRACK MOD - RWD,1:30.317,CORVETTE
2,70,Dewey Dewitt,STREET MOD - AWD,1:30.604,IMPREZA
3,150,Andy Smedegard,STREET MOD - RWD,1:30.973,S2000
4,29,Kyle Mckiou,STREET MOD - RWD,1:32.289,GR SUPRA
5,51,Jon Roed,STREET MOD - RWD,1:33.059,MX-5 MIATA
6,444,Luca Barberis,STREET MOD - RWD,1:33.437,GR SUPRA
7,121,Ryan Mathews,STREET MOD - RWD,1:33.594,CORVETTE
8,212,Chris Smith,TRACK MOD - RWD,1:33.608,1 SERIES
9,171,Andrius Bertulis,UNLIMITED - RWD,1:33.608,RCF
10,299,Colton Drescosky,TRACK MOD - RWD,1:34.409,VIPER
11,14,Kal Fortner,STREET MOD - RWD,1:34.938,MERCEDES-AMG GT
12,93,John Veloso,SUPER UNLIMITED - RWD,1:35.075,CIVIC
13,717,Luke Mcgrew+,STREET GT - RWD,1:35.214,CORVETTE
14,606,Christian Aranha,TRACK MOD - RWD,1:35.500,GR SUPRA
15,443,Andy Holst,STREET - AWD,1:35.982,LANCER
16,211,Ryan Mathews,STREET GT - RWD,1:36.066,CORVETTE
17,364,Nicholas Hendrix,STREET GT - RWD,1:36.452,CORVETTE
18,773,Luie Zendejas,UNLIMITED - RWD,1:36.676,CORVETTE
19,128,Daniel Moore,TRACK MOD - FWD,1:37.013,CIVIC
20,727,Mario Mirone,CLUB TR - FWD,1:37.751,CIVIC
21,193,Brad Moore,STREET - RWD,1:37.875,718 CAYMAN
22,22,Dallas Reed,STREET GT - AWD,1:37.901,CORVETTE
23,777,Joshua Halka,STREET - AWD,1:38.074,IMPREZA
24,96,Michael Young,TRACK MOD - RWD,1:38.196,CORVETTE
25,326,Stan Fayngold,CLUB TR - RWD,1:38.370,FR-S
26,310,Mike Coons,STREET - AWD,1:38.462,IMPREZA
27,94,Mike Bryant,CLUB TR - RWD,1:38.764,MX-5 MIATA
28,571,John Laughlin,STREET - FWD,1:38.775,CIVIC
29,13,Jerami Bailey,CLUB TR - RWD,1:38.835,FR-S
30,33,Chris Boersma,TRACK MOD - FWD,1:39.221,CIVIC
31,199,Ian Flavin,CLUB TR - RWD,1:39.638,BRZ
32,290,Brian Van Orsdol,STREET MOD - RWD,1:39.825,GR SUPRA
33,311,Jan Wildner,STREET - RWD,1:39.830,240SX
34,228,Brad Smith,STREET GT - RWD,1:39.890,CAMARO
35,466,Willem Drees,STREET - FWD,1:40.011,ELANTRA N
36,40,Ben Bulthuis,STREET GT - RWD,1:40.037,GR SUPRA
37,194,Mike Callaway,STREET - AWD,1:40.102,IMPREZA
38,44,Joel Phillips,STREET GT - RWD,1:40.110 DQ,911
39,625,Sam Bosnian,STREET - RWD,1:40.406,350Z
40,11,Graham Gaylord,STREET MOD - AWD,1:40.534,IMPREZA
41,511,Peter Granberg,CLUB TR - RWD,1:41.245,BRZ
42,23,King Thao,CLUB TR - FWD,1:41.256,CIVIC
43,15,Adam Wrobel,CLUB TR - FWD,1:41.262,INTEGRA
44,145,Devin Hofmann,STREET MOD - AWD,1:41.532,WRX
45,718x,Zach Moore,STREET - RWD,1:41.542,CAYMAN
46,716,Darius Zajac,TRACK MOD - RWD,1:41.574,CORVETTE
47,740,Alexis Fregoso,CLUB TR - FWD,1:41.749,RSX
48,445,Justin Peachey,TRACK MOD - RWD,1:42.159,CORVETTE
49,238,Garrett Gloceri,CLUB TR - RWD,1:42.253,RX-8
50,83,Ben Ciric,STREET - RWD,1:42.572,370Z
51,262,Noah Janke,CLUB TR - RWD,1:42.617,MR2
52,319,Chris Schuster,CLUB TR - RWD,1:42.637,GR86
53,241,Dariush Lotfi,CLUB TR - RWD,1:42.706,MX-5 MIATA
54,30,Seth Brown,STREET GT - RWD,1:42.797,CORVETTE
55,244,Mike Burroughs,TRACK MOD - RWD,1:43.123,244 GTK
56,49,Nicholas Zelisko,STREET - RWD,1:43.192,RX-8
57,202,Rebekah Cohen,STREET - FWD,1:43.249,CIVIC TYPE R
58,67,Jonathan Denk,STREET MOD - FWD,1:43.325,CIVIC
59,48,Jeremy Hensley,STREET - AWD,1:43.405,IMPREZA
60,521,Juniper Zarder,STREET MOD - RWD,1:43.568,Z
61,498,Bradley Folse,STREET - AWD,1:43.896,IMPREZA
62,360,Randy Ramchand,CLUB TR - RWD,1:43.991,S2000
63,169,Dan Mai,CLUB TR - RWD,1:44.267,325I
64,598,Cory Gordinier,STREET MOD - RWD,1:44.679,MX-5 MIATA
65,541,Chuck Mayer,STREET - AWD,1:44.980,WRX
66,7,Thomas Halka,STREET - AWD,1:45.105,IMPREZA
67,287x,Luis Rodriguez,CLUB TR - RWD,1:46.676 DQ,86
68,432,Connor Omara,CLUB TR - AWD,1:46.746,R32
69,614,Mark Riehle,CLUB TR - FWD,1:47.672,COOPER
70,56,Nicholas Alpin,TRACK MOD - RWD,1:49.261,CORVETTE
71,509,Kevin Wendt,CLUB TR - FWD,1:50.439,CR-X
72,806,Jordan Gunther,CLUB TR - RWD,1:51.491,BRZ
73,370,Sam Deuling,CLUB SC - FWD,1:51.535,FIT
74,144,Ryan Mukherjee,CLUB SC - FWD,1:51.933,FIT
75,156,Mike Janssen,CLUB SC - FWD,1:52.099,CIVIC
76,91,Chris Rice,CLUB SC - FWD,1:52.613,FIT
77,216,Nickolas Berg,CLUB SC - FWD,1:53.039,CIVIC
78,134,David Best,CLUB SC - FWD,1:53.105,FIT
79,302,Adam Cook,TRACK MOD - RWD,1:53.650,MARK VIII
80,122,Jason Davidson,CLUB SC - FWD,1:54.050,FIT
81,16,Justin Lachausse,STREET - AWD,1:54.658,COROLLA
82,95,Alex Gomez,CLUB SC - FWD,1:56.348,FIT
83,142,Juan Johnson,CLUB TR - RWD,1:58.064,S2000
84,343,Matthew Reinhart,CLUB SC - FWD,2:06.571,FIT
85,58,Grant White,STREET MOD - RWD,2:34.450,MUSTANG
86,338,Ernestas Puzelis,UNLIMITED - RWD,,CORVETTE
87,117,Daniel Glasgow,CLUB SC - FWD,,FIT
88,451,Christopher Lewis,TRACK MOD - RWD,,CORVETTE
"Penalty Car 44: Impound Violation, Technical Compliance for Class - Heat 1 - 5 Times Invalidated",,,,,
"Penalty Car 470: Impound Violation, Technical Compliance for Class - Heat 1 - 7 Times Invalidated",,,,,
"Penalty Car 287x: Change of Registration, Class and Car - Heat 1 - 5 Times Invalidated",,,,,
