TrackBattle Heat 4 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
90,343,Matthew Reinhart,CLUB SC - FWD,2:01.177,FIT
91,117,Daniel Glasgow,CLUB SC - FWD,2:04.742,FIT
92,55,Charles Miller,STREET - AWD,7:13.682,EVO
93,20,Israel Trejo,CLUB SC - FWD,,DEL SOL
94,93,John Veloso,SUPER UNLIMITED - RWD,,CIVIC
95,55,Charles Miller,STREET - AWD,,EVO
96,127,Mark Johnson,UNLIMITED - RWD,,CIVIC
97,240,Eric Knerr,CLUB TR - FWD,,CIVIC
98,269,Shawn Bassett,UNLIMITED - RWD,,240Z
99,290,Brian Van Orsdol,STREET MOD - RWD,,GR SUPRA
100,302,Adam Cook,TRACK MOD - RWD,,MARK VIII
101,470,Zac Zhou,TRACK MOD - RWD,,GALLARDO
102,500,Steven Luca,UNLIMITED - RWD,,MUSTANG
103,525,Jeremy Lowder,UNLIMITED - RWD,,CAMARO
104,606,Christian Aranha,TRACK MOD - RWD,,GR SUPRA
Penalty Car 169: Improper Full Course Yellow Procedure - Lap 4 invalidated.,,,,,
Penalty Car 95: Improper Full Course Yellow Procedure - Lap 2 invalidated.,,,,,
Penalty Car 51: Improper Full Course Yellow Procedure - Lap 2 invalidated.,,,,,
Penalty Car 212: Improper Full Course Yellow Procedure - Lap 3 invalidated.,,,,,
Penalty Car 29: Taking 2 Checkered Flags - Lap 5 invalidated,,,,,
Penalty Car 70:  Taking 2 Checkered Flags - Lap 8 invalidated.,,,,,
"Penalty Car 44: Impound Violation, Technical Compliance for Class - Heat 1 - 5 Times Invalidated",,,,,
"Penalty Car 287x: Change of Registration, Class and Car - Heat 1 - 5 Times Invalidated",,,,,
"Penalty Car 470: Impound Violation, Technical Compliance for Class - Heat 1 - 7 Times Invalidated",,,,,
,,,,,Official Results published  6/7/25 11:30
