TrackBattle Heat 6 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,29,Kyle Mckiou,STREET MOD - RWD,1:31.584,GR SUPRA
2,338,Ernestas Puzelis,UNLIMITED - RWD,1:31.702,CORVETTE
3,14,Kal Fortner,STREET MOD - RWD,1:33.330,MERCEDES-AMG GT
4,551,Austin Barnes,TRACK MOD - RWD,1:33.519,CORVETTE
5,299,Colton Drescosky,TRACK MOD - RWD,1:33.756,VIPER
6,212,Chris Smith,TRACK MOD - RWD,1:33.966,1 SERIES
7,304,Allen Patten,TRACK MOD - RWD,1:34.002,CORVETTE
8,444,Luca Barberis,STREET MOD - RWD,1:34.726,GR SUPRA
9,51,Jon Roed,STREET MOD - RWD,1:34.866,MX-5 MIATA
10,171,Andrius Bertulis,UNLIMITED - RWD,1:35.132,RCF
11,1,Luke Mcgrew,STREET GT - RWD,1:35.714,CORVETTE
12,606,Christian Aranha,TRACK MOD - RWD,1:35.765,GR SUPRA
13,451,Christopher Lewis,TRACK MOD - RWD,1:36.084,CORVETTE
14,445,Justin Peachey,TRACK MOD - RWD,1:36.222,CORVETTE
15,777,Joshua Halka,STREET - AWD,1:36.489,IMPREZA
16,193,Brad Moore,STREET - RWD,1:37.797,718 CAYMAN
17,30,Seth Brown,STREET GT - RWD,1:38.821,CORVETTE
18,96,Michael Young,TRACK MOD - RWD,1:39.150,CORVETTE
19,716,Darius Zajac,TRACK MOD - RWD,1:39.214,CORVETTE
20,511,Peter Granberg,CLUB TR - RWD,1:39.711,BRZ
21,310,Mike Coons,STREET - AWD,1:39.762,IMPREZA
22,93,John Veloso,SUPER UNLIMITED - RWD,1:39.807,CIVIC
23,40,Ben Bulthuis,STREET GT - RWD,1:40.188,GR SUPRA
24,13,Jerami Bailey,CLUB TR - RWD,1:40.408,FR-S
25,199,Ian Flavin,CLUB TR - RWD,1:40.481,BRZ
26,145,Devin Hofmann,STREET MOD - AWD,1:40.542,WRX
27,194,Mike Callaway,STREET - AWD,1:40.797,IMPREZA
28,470,Zac Zhou,TRACK MOD - RWD,1:40.906 DQ,GALLARDO
29,22,Dallas Reed,STREET GT - AWD,1:41.044,CORVETTE
30,625,Sam Bosnian,STREET - RWD,1:41.318,350Z
31,23,King Thao,CLUB TR - FWD,1:41.716,CIVIC
32,204,Christopher Heideman,CLUB TR - RWD,1:42.050,S2000
33,740,Alexis Fregoso,CLUB TR - FWD,1:42.088,RSX
34,311,Jan Wildner,STREET - RWD,1:42.419,240SX
35,15,Adam Wrobel,CLUB TR - FWD,1:42.438,INTEGRA
36,319,Chris Schuster,CLUB TR - RWD,1:42.698,GR86
37,718,Ruben Manrique,STREET - RWD,1:43.014,718 CAYMAN
38,360,Randy Ramchand,CLUB TR - RWD,1:43.139,S2000
39,7,Thomas Halka,STREET - AWD,1:43.473,IMPREZA
40,26,Arthur Dvortsen,CLUB TR - RWD,1:43.812,MX-5 MIATA
41,83,Ben Ciric,STREET - RWD,1:43.829,370Z
42,238,Garrett Gloceri,CLUB TR - RWD,1:44.153,RX-8
43,498,Bradley Folse,STREET - AWD,1:44.376,IMPREZA
44,48,Jeremy Hensley,STREET - AWD,1:44.455,IMPREZA
45,818,Sonya Klaus,STREET MOD - RWD,1:44.533,350Z
46,241,Dariush Lotfi,CLUB TR - RWD,1:44.594,MX-5 MIATA
47,598,Cory Gordinier,STREET MOD - RWD,1:44.742,MX-5 MIATA
48,541,Chuck Mayer,STREET - AWD,1:44.809,WRX
49,262,Noah Janke,CLUB TR - RWD,1:45.109,MR2
50,169,Dan Mai,CLUB TR - RWD,1:45.153,325I
51,56,Nicholas Alpin,TRACK MOD - RWD,1:45.171,CORVETTE
52,240,Eric Knerr,CLUB TR - FWD,1:46.127,CIVIC
53,67,Jonathan Denk,STREET MOD - FWD,1:46.568,CIVIC
54,142,Juan Johnson,CLUB TR - RWD,1:46.754,S2000
55,432,Connor Omara,CLUB TR - AWD,1:47.044,R32
56,614,Mark Riehle,CLUB TR - FWD,1:48.326,COOPER
57,16,Justin Lachausse,STREET - AWD,1:49.272,COROLLA
58,509,Kevin Wendt,CLUB TR - FWD,1:49.589,CR-X
59,806,Jordan Gunther,CLUB TR - RWD,1:50.903,BRZ
60,156,Mike Janssen,CLUB SC - FWD,1:52.199,CIVIC
61,134,David Best,CLUB SC - FWD,1:52.977,FIT
62,144,Ryan Mukherjee,CLUB SC - FWD,1:53.531,FIT
63,91,Chris Rice,CLUB SC - FWD,1:53.684,FIT
64,216,Nickolas Berg,CLUB SC - FWD,1:53.845,CIVIC
65,370,Sam Deuling,CLUB SC - FWD,1:53.924,FIT
66,122,Jason Davidson,CLUB SC - FWD,1:56.091,FIT
67,357,Luis Rodriguez,CLUB TR - RWD,1:58.651,FIT
68,117,Daniel Glasgow,CLUB SC - FWD,2:03.112,FIT
69,20,Israel Trejo,CLUB SC - FWD,2:05.117,DEL SOL
70,128,Daniel Moore,TRACK MOD - FWD,6:23.909,CIVIC
71,94,Mike Bryant,CLUB TR - RWD,,MX-5 MIATA
72,33,Chris Boersma,TRACK MOD - FWD,,CIVIC
"Penalty Car 470: Impound Violation, Technical Compliance for Class - Heat 1 - 7 Times Invalidated",,,,,
,,,,,Official Results Posted 6/7/25 at 22:01
