TrackBattle Heat 2 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,70,Dewey Dewitt,STREET MOD - AWD,1:31.727,IMPREZA
2,150,Andy Smedegard,STREET MOD - RWD,1:31.824,S2000
3,29,Kyle Mckiou,STREET MOD - RWD,1:33.142,GR SUPRA
4,445,Justin Peachey,TRACK MOD - RWD,1:33.780,CORVETTE
5,93,John Veloso,SUPER UNLIMITED - RWD,1:33.958,CIVIC
6,121,Ryan Mathews,STREET MOD - RWD,1:34.149,CORVETTE
7,212,Chris Smith,TRACK MOD - RWD,1:34.172,1 SERIES
8,299,Colton Drescosky,TRACK MOD - RWD,1:34.237,VIPER
9,444,Luca Barberis,STREET MOD - RWD,1:34.365,GR SUPRA
10,51,Jon Roed,STREET MOD - RWD,1:34.625,MX-5 MIATA
11,14,Kal Fortner,STREET MOD - RWD,1:34.972,MERCEDES-AMG GT
12,551,Austin Barnes,TRACK MOD - RWD,1:35.524,CORVETTE
13,290,Brian Van Orsdol,STREET MOD - RWD,1:35.620,GR SUPRA
14,171,Andrius Bertulis,UNLIMITED - RWD,1:35.623,RCF
15,717,Luke Mcgrew,STREET GT - RWD,1:35.782,CORVETTE
16,211,Ryan Mathews,STREET GT - RWD,1:36.553,CORVETTE
17,606,Christian Aranha,TRACK MOD - RWD,1:36.733,GR SUPRA
18,96,Michael Young,TRACK MOD - RWD,1:37.399,CORVETTE
19,128,Daniel Moore,TRACK MOD - FWD,1:37.982,CIVIC
20,773,Luie Zendejas,UNLIMITED - RWD,1:38.053,CORVETTE
21,364,Nicholas Hendrix,STREET GT - RWD,1:38.196,CORVETTE
22,11,Graham Gaylord,STREET MOD - AWD,1:38.345,IMPREZA
23,193,Brad Moore,STREET - RWD,1:38.489,718 CAYMAN
24,777,Joshua Halka,STREET - AWD,1:38.564,IMPREZA
25,326,Stan Fayngold,CLUB TR - RWD,1:38.962,FR-S
26,466,Willem Drees,STREET - FWD,1:39.622,ELANTRA N
27,204,Christopher Heideman,CLUB TR - RWD,1:39.774,S2000
28,727,Mario Mirone,CLUB TR - FWD,1:39.794,CIVIC
29,199,Ian Flavin,CLUB TR - RWD,1:39.865,BRZ
30,716,Darius Zajac,TRACK MOD - RWD,1:39.872,CORVETTE
31,311,Jan Wildner,STREET - RWD,1:39.910,240SX
32,571,John Laughlin,STREET - FWD,1:40.027,CIVIC
33,310,Mike Coons,STREET - AWD,1:40.156,IMPREZA
34,22,Dallas Reed,STREET GT - AWD,1:40.210,CORVETTE
35,94,Mike Bryant,CLUB TR - RWD,1:40.290,MX-5 MIATA
36,228,Brad Smith,STREET GT - RWD,1:40.624,CAMARO
37,13,Jerami Bailey,CLUB TR - RWD,1:40.721,FR-S
38,511,Peter Granberg,CLUB TR - RWD,1:41.325,BRZ
39,15,Adam Wrobel,CLUB TR - FWD,1:41.334,INTEGRA
40,30,Seth Brown,STREET GT - RWD,1:41.630,CORVETTE
41,244,Mike Burroughs,TRACK MOD - RWD,1:41.682,244 GTK
42,625,Sam Bosnian,STREET - RWD,1:41.970,350Z
43,740,Alexis Fregoso,CLUB TR - FWD,1:42.054,RSX
44,23,King Thao,CLUB TR - FWD,1:42.200,CIVIC
45,40,Ben Bulthuis,STREET GT - RWD,1:42.321,GR SUPRA
46,718,Ruben Manrique,STREET - RWD,1:42.536,718 CAYMAN
47,304,Allen Patten,TRACK MOD - RWD,1:42.596,CORVETTE
48,470,Zac Zhou,TRACK MOD - RWD,1:42.801 DQ,GALLARDO
49,319,Chris Schuster,CLUB TR - RWD,1:42.833,GR86
50,48,Jeremy Hensley,STREET - AWD,1:43.276,IMPREZA
51,360,Randy Ramchand,CLUB TR - RWD,1:43.283,S2000
52,194,Mike Callaway,STREET - AWD,1:43.470,IMPREZA
53,58,Grant White,STREET MOD - RWD,1:43.622,MUSTANG
54,238,Garrett Gloceri,CLUB TR - RWD,1:43.635,RX-8
55,241,Dariush Lotfi,CLUB TR - RWD,1:44.069,MX-5 MIATA
56,262,Noah Janke,CLUB TR - RWD,1:44.107,MR2
57,49,Nicholas Zelisko,STREET - RWD,1:44.279,RX-8
58,26,Arthur Dvortsen,CLUB TR - RWD,1:44.436,MX-5 MIATA
59,541,Chuck Mayer,STREET - AWD,1:44.564,WRX
60,202,Rebekah Cohen,STREET - FWD,1:44.656,CIVIC TYPE R
61,169,Dan Mai,CLUB TR - RWD,1:45.008,325I
62,240,Eric Knerr,CLUB TR - FWD,1:45.704,CIVIC
63,521,Juniper Zarder,STREET MOD - RWD,1:46.290,Z
64,432,Connor Omara,CLUB TR - AWD,1:46.460,R32
65,83,Ben Ciric,STREET - RWD,1:46.663,370Z
66,142,Juan Johnson,CLUB TR - RWD,1:46.739,S2000
67,598,Cory Gordinier,STREET MOD - RWD,1:46.849,MX-5 MIATA
68,498,Bradley Folse,STREET - AWD,1:47.238,IMPREZA
69,614,Mark Riehle,CLUB TR - FWD,1:48.128,COOPER
70,56,Nicholas Alpin,TRACK MOD - RWD,1:48.181,CORVETTE
71,7,Thomas Halka,STREET - AWD,1:49.421,IMPREZA
72,509,Kevin Wendt,CLUB TR - FWD,1:49.775,CR-X
73,806,Jordan Gunther,CLUB TR - RWD,1:51.405,BRZ
74,156,Mike Janssen,CLUB SC - FWD,1:52.083,CIVIC
75,370,Sam Deuling,CLUB SC - FWD,1:52.210,FIT
76,67,Jonathan Denk,STREET MOD - FWD,1:52.457,CIVIC
77,134,David Best,CLUB SC - FWD,1:52.469,FIT
78,144,Ryan Mukherjee,CLUB SC - FWD,1:52.579,FIT
79,91,Chris Rice,CLUB SC - FWD,1:53.222,FIT
80,16,Justin Lachausse,STREET - AWD,1:53.541,COROLLA
81,216,Nickolas Berg,CLUB SC - FWD,1:54.295,CIVIC
82,302,Adam Cook,TRACK MOD - RWD,1:56.315,MARK VIII
83,122,Jason Davidson,CLUB SC - FWD,1:56.771,FIT
84,95,Alex Gomez,CLUB SC - FWD,1:57.592,FIT
85,343,Matthew Reinhart,CLUB SC - FWD,2:05.257,FIT
86,117,Daniel Glasgow,CLUB SC - FWD,2:06.041,FIT
87,287x,Luis Rodriguez,CLUB TR - RWD,,86
88,145,Devin Hofmann,STREET MOD - AWD,,WRX
89,33,Chris Boersma,TRACK MOD - FWD,,CIVIC
"Penalty Car 287x: Change of Registration, Class and Car - Heat 1 - 5 Times Invalidated",,,,,
