TrackBattle Overall Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
90,370,Sam Deuling,CLUB SC - FWD,1:51.535,FIT
91,144,Ryan Mukherjee,CLUB SC - FWD,1:51.933,FIT
92,91,Chris Rice,CLUB SC - FWD,1:52.427,FIT
93,216,Nickolas Berg,CLUB SC - FWD,1:53.039,CIVIC
94,302,Adam Cook,TRACK MOD - RWD,1:53.226,MARK VIII
95,122,Jason Davidson,CLUB SC - FWD,1:54.050,FIT
96,343,Matthew Reinhart,CLUB SC - FWD,1:55.316,FIT
97,95,Alex Gomez,CLUB SC - FWD,1:56.348,FIT
98,117,Daniel Glasgow,CLUB SC - FWD,2:00.982,FIT
99,20,Israel Trejo,CLUB SC - FWD,2:01.865,DEL SOL
100,500,Steven Luca,UNLIMITED - RWD,,MUSTANG
101,127,Mark Johnson,UNLIMITED - RWD,,CIVIC
102,269,Shawn Bassett,UNLIMITED - RWD,,240Z
103,44,Joel Phillips,STREET GT - RWD,,911
104,287x,Luis Rodriguez,CLUB TR - RWD,,86
"Penalty Car 287x: Change of Registration, Class and Car - Heat 1 - 5 Times Invalidated",,,,,
"Penalty Car 44: Impound Violation, Technical Compliance for Class - Heat 1 - 5 Times Invalidated",,,,,
"Penalty Car 470: Impound Violation, Technical Compliance for Class - Heat 1 - 7 Times Invalidated",,,,,Official Results published  6/8/25 9:35
