TrackBattle Heat 3 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,304,Allen Patten,TRACK MOD - RWD,1:31.384,CORVETTE
2,29,Kyle Mckiou,STREET MOD - RWD,1:32.354,GR SUPRA
3,51,Jon Roed,STREET MOD - RWD,1:33.534,MX-5 MIATA
4,121,Ryan Mathews,STREET MOD - RWD,1:33.652,CORVETTE
5,444,Luca Barberis,STREET MOD - RWD,1:33.919,GR SUPRA
6,299,Colton Drescosky,TRACK MOD - RWD,1:34.184,VIPER
7,551,Austin Barnes,TRACK MOD - RWD,1:34.373,CORVETTE
8,93,John Veloso,SUPER UNLIMITED - RWD,1:34.752,CIVIC
9,14,Kal Fortner,STREET MOD - RWD,1:35.073,MERCEDES-AMG GT
10,445,Justin Peachey,TRACK MOD - RWD,1:35.152,CORVETTE
11,717,Luke Mcgrew,STREET GT - RWD,1:35.206,CORVETTE
12,211,Ryan Mathews,STREET GT - RWD,1:36.258,CORVETTE
13,606,Christian Aranha,TRACK MOD - RWD,1:36.382,GR SUPRA
14,193,Brad Moore,STREET - RWD,1:37.352,718 CAYMAN
15,33,Chris Boersma,TRACK MOD - FWD,1:37.855,CIVIC
16,128,Daniel Moore,TRACK MOD - FWD,1:37.857,CIVIC
17,364,Nicholas Hendrix,STREET GT - RWD,1:37.998,CORVETTE
18,96,Michael Young,TRACK MOD - RWD,1:38.262,CORVETTE
19,773,Luie Zendejas,UNLIMITED - RWD,1:38.277,CORVETTE
20,777,Joshua Halka,STREET - AWD,1:38.903,IMPREZA
21,22,Dallas Reed,STREET GT - AWD,1:39.375,CORVETTE
22,511,Peter Granberg,CLUB TR - RWD,1:39.441,BRZ
23,145,Devin Hofmann,STREET MOD - AWD,1:39.501,WRX
24,311,Jan Wildner,STREET - RWD,1:39.885,240SX
25,466,Willem Drees,STREET - FWD,1:39.913,ELANTRA N
26,716,Darius Zajac,TRACK MOD - RWD,1:39.980,CORVETTE
27,228,Brad Smith,STREET GT - RWD,1:40.087,CAMARO
28,204,Christopher Heideman,CLUB TR - RWD,1:40.136,S2000
29,199,Ian Flavin,CLUB TR - RWD,1:40.277,BRZ
30,30,Seth Brown,STREET GT - RWD,1:40.318,CORVETTE
31,571,John Laughlin,STREET - FWD,1:40.567,CIVIC
32,470,Zac Zhou,TRACK MOD - RWD,1:40.651 DQ,GALLARDO
33,326,Stan Fayngold,CLUB TR - RWD,1:40.726,FR-S
34,310,Mike Coons,STREET - AWD,1:40.957,IMPREZA
35,13,Jerami Bailey,CLUB TR - RWD,1:41.044,FR-S
36,58,Grant White,STREET MOD - RWD,1:41.345,MUSTANG
37,718x,Zach Moore,STREET - RWD,1:42.100,CAYMAN
38,15,Adam Wrobel,CLUB TR - FWD,1:42.104,INTEGRA
39,625,Sam Bosnian,STREET - RWD,1:42.209,350Z
40,23,King Thao,CLUB TR - FWD,1:42.356,CIVIC
41,26,Arthur Dvortsen,CLUB TR - RWD,1:42.411,MX-5 MIATA
42,94,Mike Bryant,CLUB TR - RWD,1:42.423,MX-5 MIATA
43,740,Alexis Fregoso,CLUB TR - FWD,1:42.630,RSX
44,521,Juniper Zarder,STREET MOD - RWD,1:42.890,Z
45,319,Chris Schuster,CLUB TR - RWD,1:42.943,GR86
46,40,Ben Bulthuis,STREET GT - RWD,1:43.149,GR SUPRA
47,48,Jeremy Hensley,STREET - AWD,1:43.370,IMPREZA
48,238,Garrett Gloceri,CLUB TR - RWD,1:43.603,RX-8
49,194,Mike Callaway,STREET - AWD,1:43.614,IMPREZA
50,360,Randy Ramchand,CLUB TR - RWD,1:43.870,S2000
51,262,Noah Janke,CLUB TR - RWD,1:44.404,MR2
52,498,Bradley Folse,STREET - AWD,1:44.498,IMPREZA
53,49,Nicholas Zelisko,STREET - RWD,1:44.517,RX-8
54,541,Chuck Mayer,STREET - AWD,1:44.926,WRX
55,56,Nicholas Alpin,TRACK MOD - RWD,1:44.999,CORVETTE
56,83,Ben Ciric,STREET - RWD,1:45.012,370Z
57,202,Rebekah Cohen,STREET - FWD,1:45.068,CIVIC TYPE R
58,240,Eric Knerr,CLUB TR - FWD,1:45.219,CIVIC
59,169,Dan Mai,CLUB TR - RWD,1:45.420,325I
60,142,Juan Johnson,CLUB TR - RWD,1:45.842,S2000
61,432,Connor Omara,CLUB TR - AWD,1:46.500,R32
62,67,Jonathan Denk,STREET MOD - FWD,1:48.520,CIVIC
63,806,Jordan Gunther,CLUB TR - RWD,1:51.562,BRZ
64,16,Justin Lachausse,STREET - AWD,1:51.716,COROLLA
65,614,Mark Riehle,CLUB TR - FWD,1:51.888,COOPER
66,134,David Best,CLUB SC - FWD,1:51.942,FIT
67,156,Mike Janssen,CLUB SC - FWD,1:52.366,CIVIC
68,144,Ryan Mukherjee,CLUB SC - FWD,1:52.862,FIT
69,91,Chris Rice,CLUB SC - FWD,1:53.582,FIT
70,216,Nickolas Berg,CLUB SC - FWD,1:53.874,CIVIC
71,509,Kevin Wendt,CLUB TR - FWD,1:55.311,CR-X
72,122,Jason Davidson,CLUB SC - FWD,1:55.485,FIT
73,95,Alex Gomez,CLUB SC - FWD,1:59.244,FIT
74,117,Daniel Glasgow,CLUB SC - FWD,2:07.067,FIT
75,287x,Luis Rodriguez,CLUB TR - RWD,,86
"Penalty Car 44: Impound Violation, Technical Compliance for Class - Heat 1 - 5 Times Invalidated",,,,,
"Penalty Car 287x: Change of Registration, Class and Car - Heat 1 - 5 Times Invalidated",,,,,
"Penalty Car 470: Impound Violation, Technical Compliance for Class - Heat 1 - 7 Times Invalidated",,,,,
