TrackBattle Heat 1 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model/Engine
1,77,Jason Kanakry,TRACK MOD - RWD,1:32.784,M3
2,299,Colton Drescosky,TRACK MOD - RWD,1:34.055,VIPER
3,687,Jackie Ding,TRACK MOD - RWD,1:34.528 DQ,M2
4,14,Kal Fortner,STREET MOD - RWD,1:35.439,AMG GT S
5,34,Andy Voelkel,STREET GT - RWD,1:36.362,CORVETTE
6,6,Michael Aumick,STREET MOD - AWD,1:36.419,IMPREZA
7,84,Ido Waksman,STREET GT - RWD,1:36.614,CORVETTE
8,51,Jon Roed,STREET MOD - RWD,1:36.966,MX-5 MIATA
9,44,Joel Phillips,STREET GT - RWD,1:37.495,911
10,555,Joe Mielke,STREET - AWD,1:38.164,WRX STI
11,297,Brian Van Orsdol,STREET MOD - RWD,1:38.922,GR SUPRA
12,22,Team VitourP1.com,STREET GT - RWD,1:38.965 DQ,CORVETTE
13,625,Sam Bosnian,STREET - RWD,1:38.978,350Z
14,511,Peter Granberg,CLUB TR - RWD,1:39.010,BRZ
15,187,Keenan Prusank,STREET GT - RWD,1:39.030,CAMARO
16,41,James Houghton,CLUB TR - FWD,1:39.388,TSX
17,236,Jimmy Vajdak,CLUB TR - RWD,1:39.464,GR86
18,326,Stan Fayngold,CLUB TR - RWD,1:39.622,86
19,531,Evan Weider,CLUB TR - FWD,1:39.676,CIVIC
20,445,Justin Peachey,TRACK MOD - RWD,1:40.089,CORVETTE
21,404,David Bamforth,TRACK MOD - RWD,1:40.209,CAYMAN
22,61,Fez Babar,CLUB TR - RWD,1:40.353,GR86
23,525,Jeremy Lowder,UNLIMITED - RWD,1:40.386,CAMARO
24,215,Vito Jin,STREET GT - RWD,1:40.551,GR SUPRA
25,29,Kyle Mckiou,STREET MOD - RWD,1:40.663,GR SUPRA
26,171,Andrius Bertulis,UNLIMITED - RWD,1:40.840,RCF
27,410,Foster Johnson,CLUB TR - RWD,1:40.914,S2000
28,123,Whiskey Danger Racing,CLUB TR - RWD,1:40.946,S2000
29,470,Eddy Segal,STREET - FWD,1:41.430,CIVIC
30,54,Zachary Moore,STREET MOD - RWD,1:41.440,CORVETTE
31,654,Nick Aegerter,STREET - AWD,1:42.294,FOCUS
32,199,Ian Flavin,CLUB TR - RWD,1:42.422,BRZ
33,775,William Rori,STREET - FWD,1:42.473,ELANTRA
34,45,Ross Ligibel,STREET - RWD,1:42.498,M3
35,64,Alex Westergaard,TRACK MOD - RWD,1:42.767,S2000
36,194,Mike Callaway,STREET - AWD,1:43.032,IMPREZA
37,423,Jacob Elkins,STREET GT - RWD,1:43.113,CORVETTE
38,50,Azmath Mohammed,CLUB TR - RWD,1:44.042,MR2
39,82,Jaime Santos,STREET - FWD,1:44.098,FOCUS
40,609,Michael Hartigan,STREET - FWD,1:44.194,ELANTRA
41,155,Munzir Habibovic,STREET - RWD,1:44.310,350Z
42,86,Jackie Ding,UNLIMITED - RWD,1:44.341,Corolla AE86
43,98,Steven Stewart,TRACK MOD - AWD,1:44.367,IMPREZA
44,25,Christopher Quashnie,STREET - FWD,1:44.837,CIVIC
45,58,Grant White,STREET MOD - RWD,1:45.171,MUSTANG
46,700,Paul Jaquish,TRACK MOD - AWD,1:45.493,TALON
47,415,Ivan Onofriiciuc,STREET - RWD,1:45.573,370Z
48,462,Natalie Corder,TRACK MOD - RWD,1:47.131,MX-5 MIATA
49,281,Randy Reeves,STREET MOD - RWD,1:47.208,MX-5 MIATA
50,826,Tim Fleury,TRACK MOD - RWD,1:47.472,CAMARO
51,260,Matthew Morehouse,STREET - AWD,1:47.516,FORESTER
52,360,Gopihath Ramchand,CLUB TR - RWD,1:47.647,S2000
53,737,Cody Platschorre,STREET - RWD,1:48.163,G
54,169,Dan Mai,CLUB TR - RWD,1:48.685,325I
55,241,Dariush Lotfi,CLUB TR - RWD,1:48.721,MX-5 MIATA
56,519,Malindima Sampa,CLUB TR - RWD,1:49.093,350Z
57,327,Aaron Dukes,CLUB TR - FWD,1:49.825,RSX
58,614,Mark Riehle,CLUB TR - FWD,1:50.248,COOPER
59,718,Richard Moussa,STREET - RWD,1:50.346,718 CAYMAN
60,733,Edvinas Cinga,UNLIMITED - RWD,1:50.434,M3
61,598,Cory Gordinier,STREET MOD - RWD,1:50.797,MX-5 MIATA
62,611,Benjamin Carter,CLUB TR - RWD,1:51.025,S2000
63,728,Nathan Traxler,CLUB TR - RWD,1:51.043,BOXSTER
64,130,James Smith,SUNDAE CUP - FWD,1:52.124,FIT
65,707,Piotr Boczek,SUNDAE CUP - FWD,1:52.309,FIT
66,144,Ryan Mukherjee,SUNDAE CUP - FWD,1:52.350,FIT
67,156,Mike Janssen,SUNDAE CUP - FWD,1:52.530,COOPER
68,729,Chris Murray,SUNDAE CUP - RWD,1:52.674,MX-5 MIATA
69,961,John Veloso,STREET GT - RWD,1:52.676,GR SUPRA
70,134,Best David,SUNDAE CUP - FWD,1:52.696,FIT
71,124,Damian Mccann,STREET - AWD,1:53.070,IMPREZA
72,370,Sam Deuling,SUNDAE CUP - FWD,1:53.225,FIT
73,428,Brad Smith,SUNDAE CUP - FWD,1:53.407,FIT
74,806,Jordan Gunther,STREET - AWD,1:53.678,WRX
75,116,Lennon Radcliffe,SUNDAE CUP - FWD,1:55.310,COROLLA
76,99,George Reeves,CLUB TR - RWD,1:55.340,Miata
77,443,Andy Holst,STREET - RWD,1:55.695,M3
78,248,Nathan Schlawin,SUNDAE CUP - FWD,1:56.446,FIT
79,808,Lucas Schaar,SUNDAE CUP - FWD,1:57.028,YARIS
80,216,Nickolas Berg,SUNDAE CUP - FWD,1:57.716,CIVIC
81,823,Erin Weaver,CLUB TR - RWD,1:58.050,MX-5 MIATA
82,433,Robert Miller,SUNDAE CUP - FWD,1:58.340,RIO
83,509,Kevin Wendt,CLUB TR - FWD,1:59.194,CIVIC
84,762,Alec Lavelle,SUNDAE CUP - FWD,1:59.375,FIT
85,292,Jim Frohwirth,SUNDAE CUP - FWD,2:00.826,FIT
86,126,Jacob Abbott,CLUB TR - RWD,3:10.893,FR-S
87,781,Lyle Zyra,CLUB TR - RWD,DNF,GR86
88,993,Samuel Miller,SUNDAE CUP - RWD,DQ,MX-5 MIATA
89,600,Izak Ambrose,STREET - AWD,DNF,IMPREZA
90,727,Mario Mirone,CLUB TR - FWD,DNF,CIVIC
