GLTC Race 2 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,484,Matan Rosenberg,GLTC - RWD,1:32.772,4,7,,25
2,212,Andy Smedegard,GLTC - RWD,1:32.773,4,7,1.015,21
3,17,Tony Marchev,GLTC - RWD,1:33.746,6,7,1.241,18
4,19,Aaron Leichty,GLTC - RWD,1:33.742,6,7,3.148,16
5,109,Dana Basinski,GLTC - RWD,1:33.909,3,7,2.129,15
6,129,James Cathers,GLTC - RWD,1:34.156,3,7,4.523,14
7,130,James Smith,GLTC - RWD,1:33.620,6,7,0.626,13
8,77,Hans Horpedahl,GLTC - RWD,1:33.997,6,7,0.595,12
9,184,Eric Jensen,GLTC - RWD,1:34.282,5,7,1.333,11
10,41,James Houghton,GLTC - FWD,1:33.446,4,7,1.657,10
11,32,Jake Joraanstad,GLTC - RWD,1:34.766,4,7,1.194,9
12,202,Jake Price,GLTC - RWD,1:34.500,4,7,1.138,8
13,917,Lena Chin,GLTC - RWD,1:33.988,4,7,0.675,7
14,71,Joel Morrison,GLTC - RWD,1:34.924,4,7,0.721,6
15,10,Brian Tyson,GLTC - FWD,1:34.921,4,7,0.945,5
16,85,Samuel Scott,GLTC - RWD,1:34.987,4,7,0.573,4
17,24,Dustin Bartee,GLTC - FWD,1:36.109,4,7,1.626,3
18,26,Louis Chatroop,GLTC - RWD,1:36.780,4,7,7.92,2
19,144,Vytis Aranauskas,GLTC - RWD,1:36.653,3,7,0.808,1
20,69,James Forbis,GLTC - RWD,1:36.817,3,7,2.83,0
21,78,Jason Kanakry,GLTC - RWD,1:37.297,2,7,0.996,0
22,886,Jason Nguyen,GLTC - RWD,1:35.982,3,7,1.05,0
23,100,Andrew Cowden,GLTC - RWD,1:39.125,3,7,16.767,0
24,311,Jose Santacruz,GLTC - FWD,1:38.563,4,7,4.239,0
25,119,Matt Cater,GLTC - AWD,1:38.919,4,7,0.635,0
26,860,Nathan Manning,GLTC - RWD,1:39.794,4,7,5.488,0
27,67,Mat Beck,GLTC - RWD,1:38.498,4,7,0.946,0
28,177,Justin Lautz,GLTC - RWD,1:39.011,4,7,0.931,0
29,4,Adam Ulrich,GLTC - RWD,1:35.833,4,4,3 Laps,0
30,40,Jeremy Boysen,GLTC - FWD,1:35.761,3,4,2:20.142,0
31,82,Eric Kutil,GLTC - FWD,1:33.429,2,3,1 Lap,0
32,75,Adam Jabaay,GLTC - FWD,1:41.483,3,3,35.085,0
33,90,Matt Waldbaum,GLTC - RWD,1:35.873,2,2,1 Lap,0
DQ,86,Jackie Ding,GLTC - FWD,1:36.624,4,7,,0
DQ,462,Natalie Corder,GLTC - RWD,1:38.272,4,7,,0
