GLTC Race 4 Results,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,184,Eric Jensen,GLTC - RWD,1:33.625,7,7,,25
2,41,James Houghton,GLTC - FWD,1:33.202,7,7,0.428,21
3,109,Dana Basinski,GLTC - RWD,1:33.574,4,7,2.63,18
4,82,Eric Kutil,GLTC - FWD,1:33.149,4,7,0.108,16
5,484,Matan Rosenberg,GLTC - RWD,1:32.851,3,7,0.01,15
6,212,Andy Smedegard,GLTC - RWD,1:33.898,7,7,1.285,14
7,129,James Cathers,GLTC - RWD,1:33.919,3,7,1.143,13
8,19,Aaron Leichty,GLTC - RWD,1:33.591,4,7,0.36,12
9,17,Tony Marchev,GLTC - RWD,1:33.711,6,7,0.32,11
10,77,Hans Horpedahl,GLTC - RWD,1:34.538,4,7,5.275,10
11,85,Samuel Scott,GLTC - RWD,1:34.542,4,7,0.377,9
12,202,Jake Price,GLTC - RWD,1:34.601,7,7,1.398,8
13,32,Jake Joraanstad,GLTC - RWD,1:35.797,5,7,4.774,7
14,917,Lena Chin,GLTC - RWD,1:34.663,4,7,4.03,6
15,24,Dustin Bartee,GLTC - FWD,1:36.473,3,7,1.167,5
16,78,Jason Kanakry,GLTC - RWD,1:36.575,7,7,3.754,4
17,886,Jason Nguyen,GLTC - RWD,1:36.488,7,7,0.661,3
18,71,Joel Morrison,GLTC - RWD,1:35.829,7,7,0.038,2
19,311,Jose Santacruz,GLTC - FWD,1:38.394,2,7,8.392,1
20,86,Jackie Ding,GLTC - FWD,1:37.398,3,7,0.134,0
21,119,Matt Cater,GLTC - AWD,1:39.190,3,7,10.453,0
22,75,Adam Jabaay,GLTC - FWD,1:38.972,7,7,2.629,0
23,462,Natalie Corder,GLTC - RWD,1:38.549,7,7,0.4,0
24,100,Andrew Cowden,GLTC - RWD,1:38.483,7,7,0.519,0
25,860,Nathan Manning,GLTC - RWD,1:39.787,5,7,1.917,0
