TrackBattle Heat 6 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,921,Jim Rauck,UNLIMITED - FWD,1:33.986,CIVIC
2,82,Jaime Santos,STREET MOD - RWD,1:36.460,1 SERIES
3,171,Andrius Bertulis,UNLIMITED - RWD,1:36.758,RCF
4,70,Dewey Dewitt,STREET MOD - AWD,1:37.085,IMPREZA
5,212,Chris Smith,TRACK MOD - RWD,1:37.493,1 SERIES
6,14,Kal Fortner,STREET MOD - RWD,1:38.166,MERCEDES-AMG GT
7,985,Dayton Delahoussaye,STREET MOD - RWD,1:38.417,MX-5 MIATA
8,525,Jeremy Lowder,UNLIMITED - RWD,1:38.502,CAMARO
9,111,Phillip Glass-Hess,UNLIMITED - RWD,1:38.850,MX-5 MIATA
10,445,Team VitourP1.com,TRACK MOD - RWD,1:39.006,CORVETTE
11,773,Luie Zendejas,UNLIMITED - RWD,1:39.099,CORVETTE
12,717,Luke Mcgrew,TRACK MOD - RWD,1:39.105,Z06
13,269,Shawn Bassett,UNLIMITED - RWD,1:39.296,240Z
14,777,Joshua Halka,STREET - AWD,1:39.465,IMPREZA
15,24,Aj Hartman,UNLIMITED - RWD,1:39.715,MUSTANG
16,256,Drew Vosk,STREET GT - RWD,1:40.070,GR SUPRA
17,47,Marc Flammia,UNLIMITED - RWD,1:40.405,M4
18,514,Evan Mclaren,CLUB TR - FWD,1:41.247,INTEGRA
19,40,Ben Bulthuis,STREET GT - AWD,1:41.658,GR SUPRA
20,33,Chris Boersma,TRACK MOD - FWD,1:41.989,CIVIC
21,310,Mike Coons,STREET - AWD,1:42.004,IMPREZA
22,7,Team Turn In Concepts,STREET - AWD,1:42.070,IMPREZA
23,727,Mario Mirone,CLUB TR - FWD,1:42.222,CIVIC
24,13,Jerami Bailey,CLUB TR - RWD,1:42.607,FR-S
25,101,Jason Witt,TRACK MOD - RWD,1:42.853,M4
26,58,Grant White,STREET MOD - RWD,1:42.869,MUSTANG
27,571,John Laughlin,STREET - FWD,1:43.176,CIVIC
28,466,Willem Drees,STREET - FWD,1:43.366,ELANTRA N
29,949,Evin Degirmencioglu,STREET GT - RWD,1:43.683,MUSTANG
30,85,Aj Keys,TRACK MOD - RWD,1:43.829,SHELBY GT350
31,2,Connor Gallagher,STREET GT - AWD,1:44.194,GT-R
32,18,Kevin Vue,CLUB TR - FWD,1:44.477,INTEGRA
33,65,Tim White,TRACK MOD - RWD,1:44.765,CORVETTE
34,909,Mark Kilgore,STREET GT - RWD,1:44.919,M4
35,470,Eddy Segal,STREET - FWD,1:45.104,CIVIC TYPE R
36,421,Logan Kenseth,STREET MOD - RWD,1:45.278,CTS
37,504,Kameron Newman,STREET MOD - RWD,1:45.360,BRZ
38,332,Team JST PERFORMANCE,CLUB TR - FWD,1:45.583,CIVIC
39,3,David Wilks,TRACK MOD - RWD,1:45.739,CAMARO
40,141,Marshal Moore,TRACK MOD - RWD,1:46.213,SUPRA
41,517,Tim Lutz,STREET MOD - RWD,1:46.315,CORVETTE
42,48,Jeremy Hensley,STREET - AWD,1:46.583,IMPREZA
43,110,William Gravely,STREET GT - RWD,1:47.022,911
44,434,Aaron Soffel,STREET - AWD,1:47.138,S3
45,498,Bradley Folse,STREET - AWD,1:47.455,IMPREZA
46,410,Foster Johnson,CLUB TR - RWD,1:47.711,S2000
47,78,Ryan Koblentz,STREET - AWD,1:48.147,WRX
48,518,Michael Budai,CLUB TR - FWD,1:48.511,CIVIC
49,224,Mike Day,CLUB TR - RWD,1:48.617,MX-5 MIATA
50,540,Charles Bucky Lasek,STREET MOD - AWD,1:48.845,WRX
51,520,Daniel Corliss,CLUB TR - FWD,1:49.496,3 SERIES
52,888,Matthew Bowers,TRACK MOD - RWD,1:50.048,CORVETTE
53,860,Joshua Garcia,STREET MOD - RWD,1:51.280,COROLLA AE86
54,704,Bryan Meyers,CLUB TR - FWD,1:51.464,CIVIC
55,360,Randy Ramchand,CLUB TR - RWD,1:51.831,S2000
56,107,Chris Owens,STREET - RWD,1:52.674,SILIVA
57,116,Lennon Radcliffe,CLUB SC - FWD,1:54.212 DQ,COROLLA
58,210,Mario Canga,CLUB TR - FWD,1:55.037,FIESTA
59,81,Brandon Marshall,CLUB TR - RWD,1:55.125,325I
60,144,Ryan Mukherjee,CLUB SC - FWD,1:55.458,FIT
61,91,Chris Rice,CLUB SC - FWD,1:55.505,FIT
62,370,Sam Deuling,CLUB SC - FWD,1:56.410,FIT
63,134,David Best,CLUB SC - FWD,1:56.459,FIT
64,244,Mike Burroughs,UNLIMITED - RWD,1:56.486,244 GTK
65,377,Jack Coughlin,CLUB SC - FWD,1:56.924,COUPE
66,129,Matt Williams,CLUB SC - FWD,1:58.017,FIT
67,222,Beth Conaway,STREET GT - RWD,1:58.388,CORVETTE
68,122,Jason Davidson,CLUB SC - FWD,1:58.890,FIT
69,117,Daniel Glasgow,CLUB SC - FWD,2:03.013,FIT
70,88,David Chang,CLUB TR - RWD,2:05.578,FR-S
71,193,Jon Braun,CLUB TR - FWD,,INTEGRA
72,440,Jonathan Wheeler,STREET MOD - RWD,,370Z
"Penalty, Car 116: Impound Violation, Class Compliance - All times set Heats 1-6 invalidated",,,,,
