TrackBattle Heat 7 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,14,Kal Fortner,STREET MOD - RWD,1:36.714,MERCEDES-AMG GT
2,111,Phillip Glass-Hess,UNLIMITED - RWD,1:36.869,MX-5 MIATA
3,171,Andrius Bertulis,UNLIMITED - RWD,1:37.047,RCF
4,70,Dewey Dewitt,STREET MOD - AWD,1:37.216,IMPREZA
5,445,Team VitourP1.com,TRACK MOD - RWD,1:37.405,CORVETTE
6,773,Luie Zendejas,UNLIMITED - RWD,1:37.688,CORVETTE
7,211,Ryan Mathews,STREET GT - RWD,1:38.194,CORVETTE
8,985,Dayton Delahoussaye,STREET MOD - RWD,1:38.504,MX-5 MIATA
9,717,Luke Mcgrew,TRACK MOD - RWD,1:39.029,Z06
10,525,Jeremy Lowder,UNLIMITED - RWD,1:39.479,CAMARO
11,24,Aj Hartman,UNLIMITED - RWD,1:39.712,MUSTANG
12,2,Connor Gallagher,STREET GT - AWD,1:39.894,GT-R
13,269,Shawn Bassett,UNLIMITED - RWD,1:40.080,240Z
14,909,Mark Kilgore,STREET GT - RWD,1:40.136,M4
15,404,David Bamforth,TRACK MOD - RWD,1:40.403,CAYMAN
16,777,Team Turn In Concepts,STREET - AWD,1:40.651,IMPREZA
17,40,Ben Bulthuis,STREET GT - AWD,1:40.711,GR SUPRA
18,7,Team Turn In Concepts,STREET - AWD,1:40.909,IMPREZA
19,727,Mario Mirone,CLUB TR - FWD,1:41.179,CIVIC
20,33,Chris Boersma,TRACK MOD - FWD,1:41.389,CIVIC
21,310,Mike Coons,STREET - AWD,1:41.523,IMPREZA
22,326,Stan Fayngold,CLUB TR - RWD,1:41.531,FR-S
23,514,Evan Mclaren,CLUB TR - FWD,1:41.802,INTEGRA
24,256,Drew Vosk,STREET GT - RWD,1:42.026,GR SUPRA
25,710,Hang Hu,TRACK MOD - RWD,1:42.190,MERCEDES-AMG GT
26,13,Jerami Bailey,CLUB TR - RWD,1:42.233,FR-S
27,470,Eddy Segal,STREET - FWD,1:42.312,CIVIC TYPE R
28,58,Grant White,STREET MOD - RWD,1:42.448,MUSTANG
29,85,Aj Keys,TRACK MOD - RWD,1:42.459,SHELBY GT350
30,185,Sam Corke,STREET GT - RWD,1:42.669,M2
31,101,Jason Witt,TRACK MOD - RWD,1:42.761,M4
32,127,Mark Johnson,UNLIMITED - FWD,1:42.838,CIVIC
33,3,David Wilks,TRACK MOD - RWD,1:42.993,CAMARO
34,571,John Laughlin,STREET - FWD,1:43.102,CIVIC
35,65,Tim White,TRACK MOD - RWD,1:43.116,CORVETTE
36,466,Willem Drees,STREET - FWD,1:43.335,ELANTRA N
37,440,Jonathan Wheeler,STREET MOD - RWD,1:43.428,370Z
38,141,Marshal Moore,TRACK MOD - RWD,1:44.186,SUPRA
39,18,Kevin Vue,CLUB TR - FWD,1:44.260,INTEGRA
40,949,Evin Degirmencioglu,STREET GT - RWD,1:44.503,MUSTANG
41,517,Tim Lutz,STREET MOD - RWD,1:44.626,CORVETTE
42,504,Kameron Newman,STREET MOD - RWD,1:44.733,BRZ
43,332,Team JST PERFORMANCE,CLUB TR - FWD,1:44.743,CIVIC
44,540,Charles Bucky Lasek,STREET MOD - AWD,1:46.166,WRX
45,421,Logan Kenseth,STREET MOD - RWD,1:46.418,CTS
46,360,Randy Ramchand,CLUB TR - RWD,1:46.706,S2000
47,410,Foster Johnson,CLUB TR - RWD,1:46.873,S2000
48,110,William Gravely,STREET GT - RWD,1:48.552,911
49,888,Matthew Bowers,TRACK MOD - RWD,1:49.132,CORVETTE
50,434,Aaron Soffel,STREET - AWD,1:49.202,S3
51,520,Daniel Corliss,CLUB TR - FWD,1:50.552,3 SERIES
52,498,Bradley Folse,STREET - AWD,1:50.972,IMPREZA
53,78,Ryan Koblentz,STREET - AWD,1:51.546,WRX
54,704,Bryan Meyers,CLUB TR - FWD,1:51.957,CIVIC
55,121,Ryan Mathews,STREET MOD - RWD,1:52.466,CORVETTE
56,860,Joshua Garcia,STREET MOD - RWD,1:52.898,COROLLA AE86
57,222,Beth Conaway,STREET GT - RWD,1:53.144,CORVETTE
58,193,Jon Braun,CLUB TR - FWD,1:53.157,INTEGRA
59,81,Brandon Marshall,CLUB TR - RWD,1:53.810,325I
60,107,Chris Owens,STREET - RWD,1:53.868,SILIVA
61,212,Chris Smith,TRACK MOD - RWD,1:53.999,1 SERIES
62,338,Ernestas Puzelis,UNLIMITED - RWD,1:54.154,CORVETTE C6
63,156,Mike Janssen,CLUB SC - FWD,1:54.724,COOPER
64,134,David Best,CLUB SC - FWD,1:54.785,FIT
65,144,Ryan Mukherjee,CLUB SC - FWD,1:54.990,FIT
66,129,Matt Williams,CLUB SC - FWD,1:55.337,FIT
67,370,Sam Deuling,CLUB SC - FWD,1:56.100,FIT
68,116,Lennon Radcliffe,CLUB SC - FWD,1:56.191,COROLLA
69,377,Jack Coughlin,CLUB SC - FWD,1:56.195,COUPE
70,91,Chris Rice,CLUB SC - FWD,1:56.291,FIT
71,122,Jason Davidson,CLUB SC - FWD,1:57.219,FIT
72,117,Daniel Glasgow,CLUB SC - FWD,2:02.981,FIT
73,536,Austin Hertel,STREET GT - RWD,2:03.599,CORVETTE
74,518,Michael Budai,CLUB TR - FWD,2:06.729,CIVIC
75,210,Mario Canga,CLUB TR - FWD,,FIESTA
76,100,Joshua Briggs,UNLIMITED - RWD,,MX-5 MIATA
