TrackBattle Heat 1 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,121,Ryan Mathews,STREET MOD - RWD,1:37.179,CORVETTE
2,171,Andrius Bertulis,UNLIMITED - RWD,1:37.267,RCF
3,338,Ernestas Puzelis,UNLIMITED - RWD,1:37.989,CORVETTE C6
4,212,Chris Smith,TRACK MOD - RWD,1:38.640,1 SERIES
5,211,Ryan Mathews,STREET GT - RWD,1:39.167,CORVETTE
6,773,Luie Zendejas,UNLIMITED - RWD,1:39.171,CORVETTE
7,82,Jaime Santos,STREET MOD - RWD,1:39.257,1 SERIES
8,536,Austin Hertel,STREET GT - RWD,1:39.364,CORVETTE
9,716,Darius Zajac,TRACK MOD - RWD,1:39.818,CORVETTE
10,14,Kal Fortner,STREET MOD - RWD,1:40.094,MERCEDES-AMG GT
11,70,Dewey Dewitt,STREET MOD - AWD,1:40.154,IMPREZA
12,47,Marc Flammia,UNLIMITED - RWD,1:40.723,M4
13,727,Mario Mirone,CLUB TR - FWD,1:41.225,CIVIC
14,777,Joshua Halka,STREET - AWD,1:41.242,IMPREZA
15,7,Thomas Halka,STREET - AWD,1:43.053 DQ,IMPREZA
16,24,Aj Hartman,UNLIMITED - RWD,1:43.090,MUSTANG
17,310,Mike Coons,STREET - AWD,1:43.224,IMPREZA
18,909,Mark Kilgore,STREET GT - RWD,1:43.259,M4
19,40,Ben Bulthuis,STREET GT - AWD,1:43.717,GR SUPRA
20,985,Dayton Delahoussaye,STREET MOD - RWD,1:44.595,MX-5 MIATA
21,466,Willem Drees,STREET - FWD,1:44.749 DQ,ELANTRA N
22,65,Tim White,TRACK MOD - RWD,1:44.811,CORVETTE
23,256,Drew Vosk,STREET GT - RWD,1:45.311,GR SUPRA
24,470,Eddy Segal,STREET - FWD,1:45.345,CIVIC TYPE R
25,127,Mark Johnson,UNLIMITED - FWD,1:45.889,CIVIC
26,440,Jonathan Wheeler,STREET MOD - RWD,1:45.903,370Z
27,2,Connor Gallagher,STREET GT - AWD,1:46.188,GT-R
28,514,Evan Mclaren,CLUB TR - FWD,1:46.259,INTEGRA
29,571,John Laughlin,STREET - FWD,1:47.120,CIVIC
30,111,Phillip Glass-Hess,UNLIMITED - RWD,1:47.500,MX-5 MIATA
31,326,Stan Fayngold,CLUB TR - RWD,1:47.673,FR-S
32,517,Tim Lutz,STREET MOD - RWD,1:47.735,CORVETTE
33,224,Mike Day,CLUB TR - RWD,1:48.438,MX-5 MIATA
34,48,Jeremy Hensley,STREET - AWD,1:48.439,IMPREZA
35,85,Aj Keys,TRACK MOD - RWD,1:48.706,SHELBY GT350
36,110,William Gravely,STREET GT - RWD,1:49.650,911
37,520,Daniel Corliss,CLUB TR - FWD,1:50.082,3 SERIES
38,888,Matthew Bowers,TRACK MOD - RWD,1:50.508,CORVETTE
39,141,Marshal Moore,TRACK MOD - RWD,1:51.319,SUPRA
40,360,Randy Ramchand,CLUB TR - RWD,1:51.348,S2000
41,445,Team VitourP1.com,TRACK MOD - RWD,1:52.350,CORVETTE
42,3,David Wilks,TRACK MOD - RWD,1:52.691,CAMARO
43,704,Bryan Meyers,CLUB TR - FWD,1:52.776,CIVIC
44,101,Jason Witt,TRACK MOD - RWD,1:52.886,M4
45,58,Grant White,STREET MOD - RWD,1:53.269,MUSTANG
46,504,Kameron Newman,STREET MOD - RWD,1:53.510,BRZ
47,518,Michael Budai,CLUB TR - FWD,1:56.168,CIVIC
48,144,Ryan Mukherjee,CLUB SC - FWD,1:56.581,FIT
49,222,Beth Conaway,STREET GT - RWD,1:57.162,CORVETTE
50,116,Lennon Radcliffe,CLUB SC - FWD,1:57.659 DQ,COROLLA
51,81,Brandon Marshall,CLUB TR - RWD,1:57.803,325I
52,156,Mike Janssen,CLUB SC - FWD,1:58.215,COOPER
53,210,Mario Canga,CLUB TR - FWD,1:59.299,FIESTA
54,404,David Bamforth,TRACK MOD - RWD,1:59.719,CAYMAN
55,411,Chris Rice,CLUB SC - FWD,1:59.865,FIT
56,370,Sam Deuling,CLUB SC - FWD,1:59.891,FIT
57,88,David Chang,CLUB TR - RWD,2:01.439,FR-S
58,332,Corrin Tyson,CLUB TR - FWD,2:02.258 DQ,CIVIC
59,107,Chris Owens,STREET - RWD,2:02.343,SILIVA
60,129,Matt Williams,CLUB SC - FWD,2:02.997 DQ,FIT
61,421,Logan Kenseth,STREET MOD - RWD,2:05.003,CTS
62,498,Bradley Folse,STREET - AWD,2:05.100,IMPREZA
63,117,Daniel Glasgow,CLUB SC - FWD,2:05.323,FIT
64,540,Charles Bucky Lasek,STREET MOD - AWD,2:13.290,WRX
65,18,Kevin Vue,CLUB TR - FWD,2:19.739,INTEGRA
66,377,Jack Coughlin,CLUB SC - FWD,5:42.760,COUPE
67,717,Luke Mcgrew,TRACK MOD - RWD,1:39.097 UO,Z06
68,13,Jerami Bailey,CLUB TR - RWD,,FR-S
69,33,Chris Boersma,TRACK MOD - FWD,,CIVIC
"Penalty, Car 332: Change of entry after start of event (team driving) - All times set in Heats 1-5 invalidated",,,,,
"Penalty, Car 7: Change of entry after start of event (team driving) - All times set in Heats 1-5 invalidated",,,,,
"Penalty, Car 466: Impound Violation, Class Compliance - All times set Heats 1-5 invalidated",,,,,
"Penalty, Car 129: Impound Violation, Class Compliance - All times set Heats 1-5 invalidated",,,,,
"Penalty, Car 116: Impound Violation, Class Compliance - All times set Heats 1-6 invalidated",,,,,
