TrackBattle Heat 2 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,338,Ernestas Puzelis,UNLIMITED - RWD,1:34.735,CORVETTE C6
2,100,Joshua Briggs,UNLIMITED - RWD,1:35.971,MX-5 MIATA
3,445,Team VitourP1.com,TRACK MOD - RWD,1:35.988,CORVETTE
4,171,Andrius Bertulis,UNLIMITED - RWD,1:36.250,RCF
5,121,Ryan Mathews,STREET MOD - RWD,1:36.423,CORVETTE
6,921,Jim Rauck,UNLIMITED - FWD,1:36.950,CIVIC
7,70,Dewey Dewitt,STREET MOD - AWD,1:37.197,IMPREZA
8,212,Chris Smith,TRACK MOD - RWD,1:38.057,1 SERIES
9,773,Luie Zendejas,UNLIMITED - RWD,1:38.295,CORVETTE
10,717,Luke Mcgrew,TRACK MOD - RWD,1:38.441,Z06
11,985,Dayton Delahoussaye,STREET MOD - RWD,1:38.521,MX-5 MIATA
12,211,Ryan Mathews,STREET GT - RWD,1:38.612,CORVETTE
13,14,Kal Fortner,STREET MOD - RWD,1:39.058,MERCEDES-AMG GT
14,777,Joshua Halka,STREET - AWD,1:39.272,IMPREZA
15,111,Phillip Glass-Hess,UNLIMITED - RWD,1:39.500,MX-5 MIATA
16,525,Jeremy Lowder,UNLIMITED - RWD,1:39.529,CAMARO
17,47,Marc Flammia,UNLIMITED - RWD,1:39.588,M4
18,82,Jaime Santos,STREET MOD - RWD,1:39.740,1 SERIES
19,536,Austin Hertel,STREET GT - RWD,1:39.893,CORVETTE
20,7,Thomas Halka,STREET - AWD,1:39.973 DQ,IMPREZA
21,24,Aj Hartman,UNLIMITED - RWD,1:40.537,MUSTANG
22,404,David Bamforth,TRACK MOD - RWD,1:41.126,CAYMAN
23,101,Jason Witt,TRACK MOD - RWD,1:41.263,M4
24,514,Evan Mclaren,CLUB TR - FWD,1:41.267,INTEGRA
25,310,Mike Coons,STREET - AWD,1:41.804,IMPREZA
26,65,Tim White,TRACK MOD - RWD,1:41.901,CORVETTE
27,727,Mario Mirone,CLUB TR - FWD,1:42.805,CIVIC
28,333,Tony Barber,TRACK MOD - RWD,1:42.852,350Z
29,326,Stan Fayngold,CLUB TR - RWD,1:43.404,FR-S
30,2,Connor Gallagher,STREET GT - AWD,1:43.438,GT-R
31,13,Jerami Bailey,CLUB TR - RWD,1:43.950,FR-S
32,40,Ben Bulthuis,STREET GT - AWD,1:43.978,GR SUPRA
33,185,Sam Corke,STREET GT - RWD,1:44.091,M2
34,466,Willem Drees,STREET - FWD,1:44.425 DQ,ELANTRA N
35,909,Mark Kilgore,STREET GT - RWD,1:44.927,M4
36,949,Evin Degirmencioglu,STREET GT - RWD,1:44.959,MUSTANG
37,517,Tim Lutz,STREET MOD - RWD,1:45.092,CORVETTE
38,470,Eddy Segal,STREET - FWD,1:45.098,CIVIC TYPE R
39,571,John Laughlin,STREET - FWD,1:45.157,CIVIC
40,58,Grant White,STREET MOD - RWD,1:45.423,MUSTANG
41,221,Kyle Hale,TRACK MOD - RWD,1:45.568,M3
42,3,David Wilks,TRACK MOD - RWD,1:45.720,CAMARO
43,244,Mike Burroughs,UNLIMITED - RWD,1:45.730,244 GTK
44,85,Aj Keys,TRACK MOD - RWD,1:45.997,SHELBY GT350
45,518,Michael Budai,CLUB TR - FWD,1:46.024,CIVIC
46,504,Kameron Newman,STREET MOD - RWD,1:46.478,BRZ
47,888,Matthew Bowers,TRACK MOD - RWD,1:47.219,CORVETTE
48,498,Bradley Folse,STREET - AWD,1:47.358,IMPREZA
49,710,Hang Hu,TRACK MOD - RWD,1:47.374,MERCEDES-AMG GT
50,421,Logan Kenseth,STREET MOD - RWD,1:47.490,CTS
51,224,Mike Day,CLUB TR - RWD,1:47.654,MX-5 MIATA
52,141,Marshal Moore,TRACK MOD - RWD,1:47.806,SUPRA
53,360,Randy Ramchand,CLUB TR - RWD,1:48.103,S2000
54,48,Jeremy Hensley,STREET - AWD,1:48.574,IMPREZA
55,434,Aaron Soffel,STREET - AWD,1:48.835,S3
56,520,Daniel Corliss,CLUB TR - FWD,1:50.404,3 SERIES
57,78,Ryan Koblentz,STREET - AWD,1:50.586,WRX
58,540,Charles Bucky Lasek,STREET MOD - AWD,1:50.711,WRX
59,410,Foster Johnson,CLUB TR - RWD,1:51.262,S2000
60,110,William Gravely,STREET GT - RWD,1:51.416,911
61,704,Bryan Meyers,CLUB TR - FWD,1:52.918,CIVIC
62,860,Joshua Garcia,STREET MOD - RWD,1:52.980,COROLLA AE86
63,210,Mario Canga,CLUB TR - FWD,1:53.886,FIESTA
64,116,Lennon Radcliffe,CLUB SC - FWD,1:55.772 DQ,COROLLA
65,144,Ryan Mukherjee,CLUB SC - FWD,1:55.899,FIT
66,959,James Wood,TRACK MOD - RWD,1:56.177,RX-7
67,377,Jack Coughlin,CLUB SC - FWD,1:56.602,COUPE
68,370,Sam Deuling,CLUB SC - FWD,1:56.605,FIT
69,134,David Best,CLUB SC - FWD,1:56.663,FIT
70,332,Corrin Tyson,CLUB TR - FWD,1:56.668 DQ,CIVIC
71,91,Chris Rice,CLUB SC - FWD,1:56.719,FIT
72,156,Mike Janssen,CLUB SC - FWD,1:56.874,COOPER
73,81,Brandon Marshall,CLUB TR - RWD,1:57.396,325I
74,122,Jason Davidson,CLUB SC - FWD,1:57.684,FIT
75,129,Matt Williams,CLUB SC - FWD,1:58.138 DQ,FIT
76,222,Beth Conaway,STREET GT - RWD,1:58.557,CORVETTE
77,88,David Chang,CLUB TR - RWD,2:01.287,FR-S
78,107,Chris Owens,STREET - RWD,2:02.159,SILIVA
79,117,Daniel Glasgow,CLUB SC - FWD,2:02.554,FIT
80,256,Drew Vosk,STREET GT - RWD,2:04.770,GR SUPRA
81,18,Kevin Vue,CLUB TR - FWD,2:09.558,INTEGRA
82,33,Chris Boersma,TRACK MOD - FWD,,CIVIC
"Penalty, Car 332: Change of entry after start of event (team driving) - All times set in Heats 1-5 invalidated",,,,,
"Penalty, Car 7: Change of entry after start of event (team driving) - All times set in Heats 1-5 invalidated",,,,,
"Penalty, Car 466: Impound Violation, Class Compliance - All times set Heats 1-5 invalidated",,,,,
"Penalty, Car 129: Impound Violation, Class Compliance - All times set Heats 1-5 invalidated",,,,,
"Penalty, Car 116: Impound Violation, Class Compliance - All times set Heats 1-6 invalidated",,,,,
