GLTC Race 4 Results *wet,,,,,,,,
Pos,No.,Name,Class,Best Tm,In Lap,Laps,Gap,Points
1,7,Luke McGrew,GLTC - RWD,2:30.961,3,3,,25
2,243,Kevin Zhu,GLTC - FWD,2:30.865,3,3,0.357,21
3,374,Emile Tabb,GLTC - RWD,2:30.310,2,3,0.800,18
4,82,Eric Kutil,GLTC - FWD,2:27.646,3,3,0.192,16
5,90,Matt Waldbaum,GLTC - RWD,2:29.078,3,3,2.334,15
6,41,James Houghton,GLTC - FWD,2:27.301,3,3,0.409,14
7,14,Carlos Mendez,GLTC - RWD,2:32.194,2,3,5.160,13
8,47,Ryan Power,GLTC - RWD,2:33.377,3,3,5.013,12
9,72,Scott Heckert,GLTC - RWD,2:31.650,3,3,2.533,11
10,213,Scott Robertson,GLTC - RWD,2:32.294,3,3,1.805,10
11,18,Colton Wade,GLTC - RWD,2:32.329,3,3,1.028,9
12,73,Jason Saini,GLTC - RWD,2:39.058,3,3,5.674,8
13,484,Matan Rosenberg,GLTC - RWD,2:38.434,3,3,0.105,7
14,17,Tony Marchev,GLTC - RWD,2:35.544,2,3,0.409,6
15,71,Joel Morrison,GLTC - RWD,2:37.208,3,3,1.178,5
16,42,Zac Lovoy,GLTC - RWD,2:40.426,3,3,9.671,4
17,55,Paul Darling,GLTC - RWD,2:40.133,3,3,0.941,3
18,1,Gary Wimble,GLTC - RWD,2:40.215,3,3,5.603,2
19,52,Mackenzie Korince,GLTC - FWD,2:41.190,2,3,1.599,1
20,917,Lena Chin,GLTC - RWD,2:45.669,3,3,12.542,0
21,363,Donald Lui,GLTC - FWD,2:47.029,3,3,0.633,0
22,515,Thomas Moss,GLTC - RWD,2:47.039,3,3,2.834,0
23,207,Adam Wood,GLTC - AWD,2:53.918,2,3,13.743,0
24,32,Lisa Keyes,GLTC - FWD,2:53.013,3,3,10.950,0
25,166,Ben Thorn,GLTC - FWD,2:53.899,3,3,2.216,0
26,528,Richard Sawicki,GLTC - RWD,2:55.070,3,3,3.066,0
27,2,Erik Meadows,GLTC - RWD,2:56.644,3,3,3.919,0
28,860,Nathan Manning,GLTC - FWD,2:54.689,3,3,1.708,0
29,99,Ronnie Vajdak,GLTC - FWD,2:38.013,1,1,2 Laps,0
30,87,Nicholas Stentiford,GLTC - RWD,3:01.884,1,1,26.811,0
31,22,Peter McParland,GLTC - RWD,DNF,0,,1 Lap,0
32,777,Michael McGinnis,GLTC - AWD,DNF,0,,1.184,0
33,34,Austin Hertel,GLTC - RWD,DNF,0,,,0
