Heat 6 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,3,Team Swurley Jeremy Swenson Paul Curley,TRACK MODIFIED - RWD,1:26.881,Corvette
2,126,Eric Fleming,TRACK MODIFIED - RWD,1:27.916,Corvette
3,86,Jackie Ding,STREET MODIFIED - RWD,1:29.457,Supra #TA90
4,121,Ryan Mathews,STREET MODIFIED - RWD,1:31.347,Z06
5,714,Eric Rockwell,TRACK MODIFIED - RWD,1:32.280,Shelby GT500
6,130,Coby Shield,STREET GT - RWD,1:32.849,Camaro
7,7,Joshua Halka,STREET - AWD,1:34.362,Impreza WRX
8,115,Electron Sport,STREET MODIFIED - RWD,1:34.658,Corvette
9,460,Grant Walker,TRACK MODIFIED - RWD,1:34.878,Miata
10,6,Michael Aumick,STREET MODIFIED - AWD,1:35.069,STI
11,34,Austin Hertel,TRACK MODIFIED - RWD,1:35.073,370z
12,32,Ron Mullet,TRACK MODIFIED - RWD,1:35.926,Corvette
13,22,Jeremy Boysen,STREET MODIFIED - RWD,1:36.021,GT4
14,335,Christopher Bickford,STREET GT - RWD,1:36.604,Corvette
15,82,Logan Carswell,UNLIMITED - RWD,1:36.802,RX7
16,117,Jared Garcia,STREET MODIFIED - RWD,1:36.964,S2000
17,70,Nicholas Kohrs,STREET MODIFIED - FWD,1:37.041,Civic Si
18,330,Vladimir Skirda,STREET - AWD,1:37.045,STi
19,60,Mark Brylo,STREET - AWD,1:37.491,Evo
20,991,James Rauck,TRACK MODIFIED - RWD,1:37.887,GT2RS
21,202,John Renna,TRACK MODIFIED - RWD,1:38.020,RX-7
22,298,Orange Crush Racing,STREET MODIFIED - AWD,1:38.082,WRX STI
23,155,Joseph Mielke,STREET - AWD,1:38.123,STI
24,23,Nilesh Patel,STREET MODIFIED - AWD,1:38.142,EVO 9
25,511,Peter Granberg,STREET MODIFIED - RWD,1:38.371,BRZ
26,36,Ben Mich,STREET MODIFIED - RWD,1:38.609,Rx7
27,575,Clay Davidson,STREET MODIFIED - RWD,1:38.958,Mustang
28,151,David McCallister,TRACK MODIFIED - AWD,1:38.968,Lancer Evolution IX
29,52,Nicholas Gardner,TRACK MODIFIED - RWD,1:39.071,Shelby GT500
30,13,Jerami Bailey,STREET MODIFIED - RWD,1:39.083,FRS
31,76,David Ottobre,STREET MODIFIED - RWD,1:39.104,240sx
32,16,Alex Peitz,STREET GT - RWD,1:39.335,Corvette
33,495,Richard Cho,STREET - RWD,1:39.482,370z
34,94,Nicholas Phillips,STREET GT - RWD,1:39.531,Z06
35,156,Neil Hancock,STREET - AWD,1:39.688,WRX
36,28,Peter Zhang,STREET MODIFIED - AWD,1:40.436,Impreza WRX
37,777,Dewey DeWitt,STREET - RWD,1:41.472,BRZ
38,64,Grant Mullet,STREET GT - RWD,1:42.071,Civic Si
39,118,Jason Owens,STREET - FWD,1:42.672,Civic Si
40,65,Ben Lin,STREET - AWD,1:43.925,Evo
41,619,Taylor Bowling,STREET - RWD,1:44.382,Cayman S
42,32,Yo Keutla,STREET - RWD,1:45.933,Cayman
43,444,Brian Smith,STREET MODIFIED - FWD,1:46.128,GTI
44,67,Yunan Liu,STREET - RWD,1:46.276,S2000
45,270,Max Rooney,STREET - FWD,1:48.824,Civic Si
46,46,Nehru Cheddie,STREET - RWD,1:49.388,M3
47,39,Kevin Tanakhone,STREET - RWD,1:49.589,S2000
48,83,Shane Duncan,STREET - RWD,1:49.746,S2000
49,48,Torry Skurski,STREET - RWD,1:50.913,328i
50,38,Ernestas Puzelis,TRACK MODIFIED - RWD,1:52.275,370z
51,20,Freddy Assuncao,TRACK MODIFIED - AWD,1:52.505,Jetta GLI
52,129,Matt Williams,SUNDAE CUP / SPECFIT - FWD,1:53.094,Fit
53,395,Michael Smith,SUNDAE CUP / SPECFIT - FWD,1:53.286,Fit
54,42,Ben Bulthuis,TRACK MODIFIED - FWD,1:54.211,Civic
55,440,Taylor Steck,STREET - RWD,1:56.106,350z
56,8,Not So Fit Racing,SUNDAE CUP / SPECFIT - FWD,1:57.892,Fit
57,14,Kal Fortner,UNLIMITED - AWD,5:02.011,S4
58,68,Daniel Montanez,STREET - RWD,6:07.604,BRZ
59,27,Ken Devriese,STREET - RWD,,S2000
60,133,Dan Foley,STREET MODIFIED - AWD,,Evo 10
61,145,Devin Hofmann,STREET MODIFIED - AWD,,WRX STI
62,414,RS Motors,STREET MODIFIED - AWD,,Evo IX
