Heat 2 Results All Groups,,,,,
Pos,No.,Name,Class,Best Time of Heat,Model/Engine
1,72,Feras Qartoumy,TRACK MODIFIED - RWD,1:31.641,Corvette
2,86,Jackie Ding,STREET MODIFIED - RWD,1:33.509,Supra #TA90
3,121,Ryan Mathews,STREET MODIFIED - RWD,1:34.866,Z06
4,414,RS Motors,STREET MODIFIED - AWD,1:35.087,Evo IX
5,6,Michael Aumick,STREET MODIFIED - AWD,1:35.378,STI
6,150,Alexander Moss,STREET MODIFIED - RWD,1:35.477,S2000
7,115,Darius Zajac,STREET MODIFIED - RWD,1:37.224,Corvette
8,714,Eric Rockwell,STREET MODIFIED - RWD,1:37.365,Shelby GT500
9,7,Joshua Halka,STREET - AWD,1:38.275,Impreza WRX
10,77,Alex Artayet,STREET GT - RWD,1:38.315,M3
11,991,James Rauck,TRACK MODIFIED - RWD,1:38.978,GT2RS
12,511,Peter Granberg,STREET MODIFIED - RWD,1:39.410,BRZ
13,55,Charles Miller,STREET - AWD,1:39.477,Evo IX
14,128,josh hanger,STREET MODIFIED - RWD,1:39.536,RX-7
15,87,Team Twitch,STREET - RWD,1:39.591,M3
16,222,Kevin Wesley,UNLIMITED - RWD,1:39.600,Challenger Redeye
17,130,Coby Shield,STREET GT - RWD,1:39.805,Camaro
18,35,Alex Westergaard,STREET MODIFIED - RWD,1:40.234,S2000
19,5,Dan Ireland,STREET GT - RWD,1:40.326,Grand Sport
20,777,Dewey DeWitt,STREET MODIFIED - AWD,1:40.660,Boogeyman
21,62,Brian Blaine,TRACK MODIFIED - RWD,1:40.716,Rx7
22,41,Sam Strano,STREET GT - RWD,1:40.756,Camaro SS 1LE
23,335,Christopher Bickford,STREET GT - RWD,1:40.843,Camaro
24,531,Evan Weider,STREET MODIFIED - FWD,1:41.725,Civic
25,174,James Rauck,STREET - FWD,1:42.127,Honda Type R
26,70,Nicholas Kohrs,STREET MODIFIED - FWD,1:42.709,Civic Si
27,117,Jared Garcia,STREET MODIFIED - RWD,1:42.808,S2000
28,625,samel meseljevic,STREET - RWD,1:43.027,350Z Nismo
29,66,Ben Thorn,STREET - FWD,1:43.782,Civic
30,64,Grant Mullet,STREET GT - RWD,1:43.971,Z06
31,85,Jimmy Diggs,STREET - RWD,1:44.003,S2000
32,97,Anthony Leclerc,STREET - RWD,1:44.394,4C
33,718,Mark Montayne,TRACK MODIFIED - RWD,1:44.869,Z06
34,16,Alex Peitz,STREET GT - RWD,1:45.351,Corvette
35,298,Anthony Carrie Novelli,STREET MODIFIED - AWD,1:45.851,WRX STI
36,31,BART GOLDENBELD,TRACK MODIFIED - RWD,1:46.224,Miata
37,91,JR Riley,STREET GT - RWD,1:46.276,M3
38,495,Richard Cho,STREET - RWD,1:46.544,370z
39,40,John Li,STREET - RWD,1:46.710,MX-5
40,9,Drew Turner,TRACK MODIFIED - RWD,1:47.130,S2000
41,606,Arwin Chen,TRACK MODIFIED - RWD,1:47.486,Z06
42,14,Kal Fortner,STREET MODIFIED - AWD,1:47.696,S3
43,118,Jason Owens,STREET - FWD,1:47.855,Civic Si
44,94,Nicholas Phillips,STREET GT - RWD,1:48.733,Z06
45,211,Troy Videkovich,STREET MODIFIED - AWD,1:49.386,WRX
46,69,Kevin Hardin,STREET - RWD,1:49.451,350z
47,39,Kevin Tanakhone,STREET - RWD,1:49.705,S2000
48,13,jerami bailey,STREET MODIFIED - RWD,1:49.906,FRS
49,96,Dalton Klein,STEET - RWD,1:50.856,Camaro
50,789,Darko Stojanovski,UNLIMITED - RWD,1:52.066,Silver Wraith
51,33,Dale Henry,STREET - RWD,1:52.391,FRS
52,48,Torry Skurski,STREET - RWD,1:52.768,328i
53,88,chad meeks,SUNDAE CUP/SPEC FIT - FWD,1:55.430,Fit Sport
54,129,Matt Williams,SUNDAE CUP/SPEC FIT - FWD,1:55.494,Fit
55,32,Mullet Racing,STREET - FWD,1:56.298,Civic Si
56,135,Charlie Ensslin,UNLIMITED - RWD,1:57.711,635csi
57,139,Kevin Head,SUNDAE CUP/SPEC FIT - FWD,2:01.296,Fit
58,95,ROBERT VIERHOUT,STREET - RWD,2:04.260,350z
59,8,Not So Fit Racing,SUNDAE CUP/SPEC FIT - FWD,2:05.287,Fit
60,412,Sally McNulty,STREET MODIFIED - AWS,,STi
61,323,Michael Peters,STREET MODIFIED - RWD,,S2000
