TrackBattle Heat 7 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,57,Mike Dusold,UNLIMITED - RWD,2:05.289,CAMARO
2,304,Allen Patten,TRACK MOD - RWD,2:09.929,CORVETTE
3,687,Jackie Ding,TRACK MOD - RWD,2:12.109,M2
4,338,Ernestas Puzelis,UNLIMITED - RWD,2:16.387,CORVETTE
5,445,Justin Peachey,TRACK MOD - RWD,2:18.126,CORVETTE
6,444,Luca Barberis,STREET MOD - RWD,2:18.219,GR SUPRA
7,14,Kal Fortner,STREET MOD - RWD,2:18.411,MERCEDES-AMG GT
8,212,Chris Smith,TRACK MOD - RWD,2:19.526,1 SERIES
9,171,Andrius Bertulis,UNLIMITED - RWD,2:19.972,RCF
10,717,Luke Mcgrew,STREET GT - RWD,2:20.294,Z06
11,121,Ryan Mathews,STREET MOD - RWD,2:20.668,CORVETTE
12,424,Derric Carter,UNLIMITED - RWD,2:21.670,MUSTANG
13,11,Graham Gaylord,STREET MOD - AWD,2:22.438,IMPREZA
14,298,Kurt Dieker,UNLIMITED - RWD,2:23.256,MUSTANG
15,364,Nicholas Hendrix,STREET GT - RWD,2:23.280,CORVETTE
16,426,Alex Roy,TRACK MOD - RWD,2:23.613,M2
17,211,Ryan Mathews,STREET GT - RWD,2:23.670,CORVETTE
18,773,Luie Zendejas,UNLIMITED - RWD,2:23.684,CORVETTE
19,150,Alex Moss,STREET MOD - RWD,2:24.810,S2000
20,125,Jeremy Lowder,UNLIMITED - RWD,2:25.135,CAMARO
21,909,Mark Kilgore,STREET GT - RWD,2:26.022,M4
22,540,Bucky Lasek,TRACK MOD - AWD,2:26.170,IMPREZA
23,96,Michael Young,TRACK MOD - RWD,2:26.193,CORVETTE
24,22,Dallas Reed,UNLIMITED - AWD,2:27.007,CORVETTE
25,228,Brad Smith,STREET GT - RWD,2:28.115,CAMARO
26,193,Brad Moore,STREET - RWD,2:29.509,718 CAYMAN
27,73,Jeremy Salenius,STREET MOD - RWD,2:29.694,CORVETTE
28,44,Joel Phillips,STREET GT - RWD,2:30.241,911
29,269,Shawn Bassett,UNLIMITED - RWD,2:30.381,240Z
30,511,Peter Granberg,CLUB TR - RWD,2:31.116,BRZ
31,310,Mike Coons,STREET - AWD,2:31.221,IMPREZA
32,326,Stan Fayngold,CLUB TR - RWD,2:31.411,FR-S
33,727,Mario Mirone,CLUB TR - FWD,2:31.429,CIVIC
34,145,Devin Hofmann,STREET MOD - AWD,2:32.170,WRX
35,276,Tj Ball,TRACK MOD - RWD,2:32.337,3 SERIES
36,205,Neal Scharte,STREET MOD - RWD,2:32.919,RX-8
37,13,Jerami Bailey,CLUB TR - RWD,2:32.932,FR-S
38,69,Cody Umbaugh,STREET - FWD,2:33.170,CIVIC TYPE R
39,38,Aaron Rekkedahl,STREET - FWD,2:33.221,CIVIC TYPE R
40,311,Jan Wildner,STREET - RWD,2:33.438,240SX
41,716,Darius Zajac,TRACK MOD - RWD,2:33.661,CORVETTE
42,997,Jason Gaydos,CLUB TR - RWD,2:34.430,BRZ
43,194,Mike Callaway,STREET - AWD,2:34.606,IMPREZA
44,199,Ian Flavin,CLUB TR - RWD,2:34.862,BRZ
45,23,King Thao,CLUB TR - FWD,2:35.228,CIVIC
46,622,Jake Rawson,CLUB TR - RWD,2:35.282,3 SERIES
47,26,Arthur Dvortsen,CLUB TR - RWD,2:36.206,MX-5 MIATA
48,521,Juniper Zarder,STREET MOD - RWD,2:36.885,Z
49,515,Jared Garcia,CLUB TR - RWD,2:37.261,S2000
50,169,Dan Mai,CLUB TR - RWD,2:39.171,325I
51,46,Nehru Cheddie,STREET - RWD,2:44.642,M3
52,222,Beth Conaway,STREET GT - RWD,2:46.590,CORVETTE
53,247,Erik Pylypchuk,UNLIMITED - RWD,2:47.461,3 SERIES
54,94,Mike Bryant,CLUB TR - RWD,2:51.767,MX-5 MIATA
55,156,Mike Janssen,CLUB SC - FWD,2:55.135,CIVIC
56,130,James Smith,CLUB SC - FWD,2:55.867,FIT
57,377,Jack Coughlin,CLUB SC - FWD,2:56.263,COUPE
58,122,Jason Davidson,CLUB SC - FWD,2:57.499,FIT
59,82,Jaime Santos,STREET MOD - RWD,,1 SERIES
60,201,Joseph Lynch,STREET MOD - RWD,,S2000
,,,,,Official Results published 07/27/25 09:25
