TrackBattle Heat 6 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,57,Mike Dusold,UNLIMITED - RWD,2:05.916,CAMARO
2,830,Eric Fleming,UNLIMITED - RWD,2:06.800,CORVETTE
3,687,Jackie Ding,TRACK MOD - RWD,2:12.596,M2
4,338,Ernestas Puzelis,UNLIMITED - RWD,2:14.965,CORVETTE
5,70,Dewey Dewitt,STREET MOD - AWD,2:15.791,IMPREZA
6,14,Kal Fortner,STREET MOD - RWD,2:18.274,MERCEDES-AMG GT
7,212,Chris Smith,TRACK MOD - RWD,2:19.152,1 SERIES
8,304,Allen Patten,TRACK MOD - RWD,2:20.534,CORVETTE
9,171,Andrius Bertulis,UNLIMITED - RWD,2:20.672,RCF
10,717,Luke Mcgrew,STREET GT - RWD,2:20.721,Z06
11,369,Igor Kesilyov,TRACK MOD - AWD,2:21.023,MODEL S
12,424,Derric Carter,UNLIMITED - RWD,2:21.547,MUSTANG
13,364,Nicholas Hendrix,STREET GT - RWD,2:22.691,CORVETTE
14,773,Luie Zendejas,UNLIMITED - RWD,2:23.314,CORVETTE
15,125,Jeremy Lowder,UNLIMITED - RWD,2:25.333,CAMARO
16,909,Mark Kilgore,STREET GT - RWD,2:25.565,M4
17,96,Michael Young,TRACK MOD - RWD,2:27.195,CORVETTE
18,193,Brad Moore,STREET - RWD,2:27.483,718 CAYMAN
19,540,Bucky Lasek,TRACK MOD - AWD,2:28.542,IMPREZA
20,205,Neal Scharte,STREET MOD - RWD,2:28.974,RX-8
21,276,Tj Ball,TRACK MOD - RWD,2:29.083,3 SERIES
22,310,Mike Coons,STREET - AWD,2:29.619,IMPREZA
23,38,Aaron Rekkedahl,STREET - FWD,2:30.056,CIVIC TYPE R
24,511,Peter Granberg,CLUB TR - RWD,2:30.207,BRZ
25,128,Daniel Moore,TRACK MOD - FWD,2:30.465,CIVIC
26,716,Darius Zajac,TRACK MOD - RWD,2:31.301,CORVETTE
27,244,Mike Burroughs,TRACK MOD - RWD,2:31.460,244 GTK
28,13,Jerami Bailey,CLUB TR - RWD,2:31.688,FR-S
29,326,Stan Fayngold,CLUB TR - RWD,2:32.777,FR-S
30,247,Erik Pylypchuk,UNLIMITED - RWD,2:33.402,3 SERIES
31,622,Jake Rawson,CLUB TR - RWD,2:35.046,3 SERIES
32,145,Devin Hofmann,STREET MOD - AWD,2:35.394,WRX
33,521,Juniper Zarder,STREET MOD - RWD,2:41.204,Z
34,238,Garrett Gloceri,CLUB TR - RWD,2:41.944,RX-8
35,515,Jared Garcia,CLUB TR - RWD,2:42.019,S2000
36,11,Graham Gaylord,STREET MOD - AWD,2:42.281,IMPREZA
37,169,Dan Mai,CLUB TR - RWD,2:46.821,325I
38,46,Nehru Cheddie,STREET - RWD,2:47.610,M3
39,26,Arthur Dvortsen,CLUB TR - RWD,2:49.734,MX-5 MIATA
40,222,Beth Conaway,STREET GT - RWD,2:56.804,CORVETTE
41,122,Jason Davidson,CLUB SC - FWD,2:58.005,FIT
42,377,Jack Coughlin,CLUB SC - FWD,2:58.066,COUPE
43,302,Adam Cook,STREET MOD - RWD,3:00.843,MARK VIII
44,194,Mike Callaway,STREET - AWD,,IMPREZA
45,130,James Smith,CLUB SC - FWD,,FIT
46,82,Jaime Santos,STREET MOD - RWD,,1 SERIES
,,,,,Official Results Posted 7/26/25 17:40
