TrackBattle Heat 4 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,57,Mike Dusold,UNLIMITED - RWD,2:05.024,CAMARO
2,830,Eric Fleming,UNLIMITED - RWD,2:06.107,CORVETTE
3,304,Allen Patten,TRACK MOD - RWD,2:09.354,CORVETTE
4,687,Jackie Ding,TRACK MOD - RWD,2:11.742,M2
5,338,Ernestas Puzelis,UNLIMITED - RWD,2:13.330,CORVETTE
6,444,Luca Barberis,STREET MOD - RWD,2:16.707,GR SUPRA
7,70,Dewey Dewitt,STREET MOD - AWD,2:17.319,IMPREZA
8,14,Kal Fortner,STREET MOD - RWD,2:17.477,MERCEDES-AMG GT
9,121,Ryan Mathews,STREET MOD - RWD,2:18.842,CORVETTE
10,445,Justin Peachey,TRACK MOD - RWD,2:19.891,CORVETTE
11,212,Chris Smith,TRACK MOD - RWD,2:19.931,1 SERIES
12,369,Igor Kesilyov,TRACK MOD - AWD,2:20.095,MODEL S
13,717,Luke Mcgrew,STREET GT - RWD,2:20.680,Z06
14,773,Luie Zendejas,UNLIMITED - RWD,2:20.866,CORVETTE
15,150,Alex Moss,STREET MOD - RWD,2:21.324,S2000
16,211,Ryan Mathews,STREET GT - RWD,2:21.723,CORVETTE
17,426,Alex Roy,TRACK MOD - RWD,2:22.015,M2
18,364,Nicholas Hendrix,STREET GT - RWD,2:22.063,CORVETTE
19,314,Michael Puglisi,TRACK MOD - AWD,2:22.322,LANCER
20,424,Derric Carter,UNLIMITED - RWD,2:23.262,MUSTANG
21,298,Kurt Dieker,UNLIMITED - RWD,2:24.196,MUSTANG
22,909,Mark Kilgore,STREET GT - RWD,2:24.273,M4
23,125,Jeremy Lowder,UNLIMITED - RWD,2:24.874,CAMARO
24,269,Shawn Bassett,UNLIMITED - RWD,2:25.192,240Z
25,96,Michael Young,TRACK MOD - RWD,2:25.885,CORVETTE
26,193,Brad Moore,STREET - RWD,2:25.912,718 CAYMAN
27,22,Dallas Reed,UNLIMITED - AWD,2:26.619,CORVETTE
28,540,Bucky Lasek,TRACK MOD - AWD,2:27.102,IMPREZA
29,310,Mike Coons,STREET - AWD,2:27.271,IMPREZA
30,228,Brad Smith,STREET GT - RWD,2:27.727,CAMARO
31,276,Tj Ball,TRACK MOD - RWD,2:28.236,3 SERIES
32,38,Aaron Rekkedahl,STREET - FWD,2:28.590,CIVIC TYPE R
33,466,Willem Drees,STREET - FWD,2:28.609,ELANTRA N
34,247,Erik Pylypchuk,UNLIMITED - RWD,2:28.773,3 SERIES
35,44,Joel Phillips,STREET GT - RWD,2:28.926,911
36,727,Mario Mirone,CLUB TR - FWD,2:29.669,CIVIC
37,511,Peter Granberg,CLUB TR - RWD,2:30.000,BRZ
38,45,Ross Ligibel,STREET - RWD,2:31.545,
39,13,Jerami Bailey,CLUB TR - RWD,2:31.590,FR-S
40,716,Darius Zajac,TRACK MOD - RWD,2:31.689,CORVETTE
41,244,Mike Burroughs,TRACK MOD - RWD,2:31.737,244 GTK
42,622,Jake Rawson,CLUB TR - RWD,2:32.675,3 SERIES
43,69,Cody Umbaugh,STREET - FWD,2:32.719,CIVIC TYPE R
44,194,Mike Callaway,STREET - AWD,2:33.233,IMPREZA
45,94,Mike Bryant,CLUB TR - RWD,2:33.332,MX-5 MIATA
46,199,Ian Flavin,CLUB TR - RWD,2:33.481,BRZ
47,997,Jason Gaydos,CLUB TR - RWD,2:33.837,BRZ
48,311,Jan Wildner,STREET - RWD,2:34.145,240SX
49,128,Daniel Moore,TRACK MOD - FWD,2:34.338,CIVIC
50,205,Neal Scharte,STREET MOD - RWD,2:34.470,RX-8
51,521,Juniper Zarder,STREET MOD - RWD,2:34.509,Z
52,241,Dariush Lotfi,CLUB TR - RWD,2:36.009,MX-5 MIATA
53,73,Jeremy Salenius,STREET MOD - RWD,2:36.141,CORVETTE
54,326,Stan Fayngold,CLUB TR - RWD,2:37.677,FR-S
55,238,Garrett Gloceri,CLUB TR - RWD,2:37.958,RX-8
56,515,Jared Garcia,CLUB TR - RWD,2:38.017,S2000
57,23,King Thao,CLUB TR - FWD,2:40.120,CIVIC
58,169,Dan Mai,CLUB TR - RWD,2:40.126,325I
59,262,Noah Janke,CLUB TR - RWD,2:41.679,MR2
60,46,Nehru Cheddie,STREET - RWD,2:41.893,M3
61,133,Lars Vogler,STREET - RWD,2:43.321,M3
62,222,Beth Conaway,STREET GT - RWD,2:48.403,CORVETTE
63,156,Mike Janssen,CLUB SC - FWD,2:53.331,CIVIC
64,130,James Smith,CLUB SC - FWD,2:53.994,FIT
65,67,Jonathan Denk,STREET MOD - FWD,2:54.428,CIVIC
66,377,Jack Coughlin,CLUB SC - FWD,2:55.706,COUPE
67,122,Jason Davidson,CLUB SC - FWD,2:58.150,FIT
68,201,Joseph Lynch,STREET MOD - RWD,2:59.620,S2000
69,48,Jeremy Hensley,STREET - AWD,3:05.297,IMPREZA
70,171,Andrius Bertulis,UNLIMITED - RWD,3:43.797,RCF
71,11,Graham Gaylord,STREET MOD - AWD,8:30.890,IMPREZA
72,949,Evin Degirmencioglu,STREET GT - RWD,,MUSTANG
73,302,Adam Cook,STREET MOD - RWD,,MARK VIII
74,82,Jaime Santos,STREET MOD - RWD,,1 SERIES
,,,,,Official Results published  07/26/25 09:20
