TrackBattle Heat 3 Results (all groups),,,,,
Pos,No.,Name,Class,Best Time/Heat,Model
1,830,Eric Fleming,UNLIMITED - RWD,2:04.663,CORVETTE
2,57,Mike Dusold,UNLIMITED - RWD,2:05.854,CAMARO
3,921,Jim Rauck,UNLIMITED - FWD,2:11.338,CIVIC
4,338,Ernestas Puzelis,UNLIMITED - RWD,2:14.670,CORVETTE
5,687,Jackie Ding,TRACK MOD - RWD,2:15.251,M2
6,14,Kal Fortner,STREET MOD - RWD,2:17.877,MERCEDES-AMG GT
7,445,Justin Peachey,TRACK MOD - RWD,2:18.269,CORVETTE
8,121,Ryan Mathews,STREET MOD - RWD,2:19.161,CORVETTE
9,717,Luke Mcgrew,STREET GT - RWD,2:20.052,Z06
10,82,Jaime Santos,STREET MOD - RWD,2:20.101,1 SERIES
11,369,Igor Kesilyov,TRACK MOD - AWD,2:22.134,MODEL S
12,424,Derric Carter,UNLIMITED - RWD,2:22.571,MUSTANG
13,364,Nicholas Hendrix,STREET GT - RWD,2:22.683,CORVETTE
14,150,Alex Moss,STREET MOD - RWD,2:22.829,S2000
15,115,Wesley Penn,UNLIMITED - RWD,2:22.983,CORVETTE
16,211,Ryan Mathews,STREET GT - RWD,2:23.199,CORVETTE
17,773,Luie Zendejas,UNLIMITED - RWD,2:23.418,CORVETTE
18,426,Alex Roy,TRACK MOD - RWD,2:23.445,M2
19,909,Mark Kilgore,STREET GT - RWD,2:25.543,M4
20,314,Michael Puglisi,TRACK MOD - AWD,2:25.798,LANCER
21,22,Dallas Reed,UNLIMITED - AWD,2:26.248,CORVETTE
22,96,Michael Young,TRACK MOD - RWD,2:26.312,CORVETTE
23,193,Brad Moore,STREET - RWD,2:26.423,718 CAYMAN
24,276,Tj Ball,TRACK MOD - RWD,2:27.127,3 SERIES
25,247,Erik Pylypchuk,UNLIMITED - RWD,2:27.388,3 SERIES
26,228,Brad Smith,STREET GT - RWD,2:28.685,CAMARO
27,125,Jeremy Lowder,UNLIMITED - RWD,2:29.370,CAMARO
28,310,Mike Coons,STREET - AWD,2:29.438,IMPREZA
29,466,Willem Drees,STREET - FWD,2:29.888,ELANTRA N
30,38,Aaron Rekkedahl,STREET - FWD,2:30.220,CIVIC TYPE R
31,727,Mario Mirone,CLUB TR - FWD,2:30.292,CIVIC
32,511,Peter Granberg,CLUB TR - RWD,2:30.415,BRZ
33,55,Charles Miller,STREET - AWD,2:30.799,LANCER
34,269,Shawn Bassett,UNLIMITED - RWD,2:30.819,240Z
35,44,Joel Phillips,STREET GT - RWD,2:31.120,911
36,69,Cody Umbaugh,STREET - FWD,2:32.979,CIVIC TYPE R
37,326,Stan Fayngold,CLUB TR - RWD,2:33.274,FR-S
38,128,Daniel Moore,TRACK MOD - FWD,2:33.282,CIVIC
39,94,Mike Bryant,CLUB TR - RWD,2:33.630,MX-5 MIATA
40,622,Jake Rawson,CLUB TR - RWD,2:34.119,3 SERIES
41,71,Joel Morrison,TRACK MOD - RWD,2:34.253,S2000
42,23,King Thao,CLUB TR - FWD,2:34.421,CIVIC
43,145,Devin Hofmann,STREET MOD - AWD,2:35.233,WRX
44,716,Darius Zajac,TRACK MOD - RWD,2:35.728,CORVETTE
45,997,Jason Gaydos,CLUB TR - RWD,2:36.317,BRZ
46,521,Juniper Zarder,STREET MOD - RWD,2:36.673,Z
47,244,Mike Burroughs,TRACK MOD - RWD,2:36.865,244 GTK
48,241,Dariush Lotfi,CLUB TR - RWD,2:37.017,MX-5 MIATA
49,212,Chris Smith,TRACK MOD - RWD,2:38.570,1 SERIES
50,238,Garrett Gloceri,CLUB TR - RWD,2:39.042,RX-8
51,48,Jeremy Hensley,STREET - AWD,2:40.783,IMPREZA
52,515,Jared Garcia,CLUB TR - RWD,2:40.947,S2000
53,46,Nehru Cheddie,STREET - RWD,2:45.059,M3
54,133,Lars Vogler,STREET - RWD,2:47.952,M3
55,67,Jonathan Denk,STREET MOD - FWD,2:53.653,CIVIC
56,222,Beth Conaway,STREET GT - RWD,2:57.205,CORVETTE
57,377,Jack Coughlin,CLUB SC - FWD,2:59.467,COUPE
58,122,Jason Davidson,CLUB SC - FWD,3:00.296,FIT
59,156,Mike Janssen,CLUB SC - FWD,3:01.337,CIVIC
60,302,Adam Cook,STREET MOD - RWD,3:04.322,MARK VIII
61,13,Jerami Bailey,CLUB TR - RWD,9:52.853,FR-S
62,45,Ross Ligibel,STREET - RWD,9:53.567,
63,949,Evin Degirmencioglu,STREET GT - RWD,,MUSTANG
64,194,Mike Callaway,STREET - AWD,,IMPREZA
65,444x,Mark Gaydos,TRACK MOD - RWD,,3 SERIES
66,311,Jan Wildner,STREET - RWD,,240SX
67,73,Jeremy Salenius,STREET MOD - RWD,,CORVETTE
68,205,Neal Scharte,STREET MOD - RWD,,RX-8
69,540,Bucky Lasek,TRACK MOD - AWD,,IMPREZA
70,304,Allen Patten,TRACK MOD - RWD,,CORVETTE
,,,,,Official Results Published 7/25/25 8:15
