RUSH SR Race 1 Results,,,,,,,,
Pos,No.,Name,Model,Best Tm,In Lap,Laps,Gap,Points
1,8,Blair Hosie,SR,55.274,10,13,,25
2,56,Ryan Leach,SR,55.384,8,13,0.879,21
3,34,Andy Voelkel,SR,55.798,11,13,4.230,18
4,70,James French,SR,56.190,11,13,1.504,16
5,74,Jason Oehler,SR,56.393,11,13,3.194,15
6,7,Nico Bratz,SR,56.552,13,13,1.337,14
7,33,Ethan Alexander,SR,57.029,10,13,2.184,13
8,31,Michael Perrotti,SR,56.841,11,13,0.291,12
9,12,Bret Digiacomo,SR,56.650,13,13,0.165,11
10,144,Nate Hamilton,SR,57.215,11,13,2.313,10
11,28,Tj Hunt,SR,57.152,11,13,0.394,9
12,121,Aryton Grim,SR,57.279,13,13,3.002,8
13,13,Lee Kellert,SR,57.944,9,13,2.371,7
14,51,Gage Hughes,SR,57.857,11,13,0.056,6
15,188,Matt Wilson,SR,57.915,13,13,0.267,5
16,59,Larry Brady,SR,58.816,12,13,7.722,4
17,77,Jake Sanders,SR,59.186,13,13,2.180,3
18,22,Jeremy Boysen,SR,58.392,13,13,0.251,2
19,171,Michael Woodward,SR,58.663,10,13,2.922,1
20,20,Bill Dorrance,SR,59.684,9,13,0.781,0
21,29,Jeff Hardesty,SR,59.756,11,13,4.371,0
22,148,Joseph Tang,SR,59.181,10,13,1.657,0
23,71,Paul Klich,SR,1:00.722,11,13,7.141,0
24,227,Aj Campo,SR,1:00.621,12,12,1 Lap,0
25,114,Bryce Mersberger,SR,1:00.110,2,2,10 Laps,0
26,88,Jaylan Battley,SR,1:19.481,1,1,1 Lap,0
,,,,,,,,Official results 8/15 15:42
